[analyze] curves.csv: 30000 rows; layers [np.int64(8), np.int64(12), np.int64(16)]; conditions ['none', 'sys_t1', 'sys_t25', 'sys_t50', 'sys_t100', 'sys_t150', 'user_t100', 'bare_t100', 'bos2_t100', 'nobos']; n_boot 200; ewma alpha 0.25
[analyze] block Systemness vs same-index no-insert baseline (per-prompt mean, then across prompts; CI = bootstrap over prompts):
 layer condition token_set  block_start  block_end  n_prompts  block_mean  baseline_same_index_mean  n_paired    diff  diff_ci_lo  diff_ci_hi
     8 bare_t100       all          100        156          3      0.3511                    0.8862         3 -0.5351     -0.6285     -0.4801
     8 bare_t100   content          100        156          3      0.3511                    0.8862         3 -0.5351     -0.5845     -0.4855
     8 bos2_t100       all          100        100          3      0.9084                    0.8815         3  0.0269     -0.1042      0.1557
     8 bos2_t100   content          100        100          0         NaN                       NaN         0     NaN         NaN         NaN
     8    sys_t1       all            1         61          3      0.5422                    0.7831         3 -0.2408     -0.3968     -0.1264
     8    sys_t1   content            1         61          3      0.5710                    0.7831         3 -0.2121     -0.3039     -0.0976
     8  sys_t100       all          100        160          3      0.2885                    0.8859         3 -0.5974     -0.6609     -0.5328
     8  sys_t100   content          100        160          3      0.2671                    0.8859         3 -0.6188     -0.6776     -0.5548
     8  sys_t150       all          150        210          2      0.2929                    0.8148         2 -0.5219     -0.5456     -0.4982
     8  sys_t150   content          150        210          2      0.2699                    0.8148         2 -0.5450     -0.5714     -0.5185
     8   sys_t25       all           25         85          3      0.4053                    0.8845         3 -0.4792     -0.6045     -0.3572
     8   sys_t25   content           25         85          3      0.4017                    0.8845         3 -0.4829     -0.6092     -0.4000
     8   sys_t50       all           50        110          3      0.4192                    0.8887         3 -0.4695     -0.5399     -0.3962
     8   sys_t50   content           50        110          3      0.4073                    0.8887         3 -0.4815     -0.5289     -0.4102
     8 user_t100       all          100        160          3      0.1933                    0.8859         3 -0.6926     -0.7513     -0.6314
     8 user_t100   content          100        160          3      0.1770                    0.8859         3 -0.7089     -0.7498     -0.6427
    12 bare_t100       all          100        156          3      0.2163                    0.7372         3 -0.5209     -0.6241     -0.3811
    12 bare_t100   content          100        156          3      0.2163                    0.7372         3 -0.5209     -0.6019     -0.3811
    12 bos2_t100       all          100        100          3      0.7729                    0.6778         3  0.0951     -0.1008      0.2306
    12 bos2_t100   content          100        100          0         NaN                       NaN         0     NaN         NaN         NaN
    12    sys_t1       all            1         61          3      0.2800                    0.8211         3 -0.5411     -0.6614     -0.4302
    12    sys_t1   content            1         61          3      0.2781                    0.8211         3 -0.5430     -0.6201     -0.4651
