layer,condition,token_set,block_start,block_end,n_prompts,block_mean,baseline_same_index_mean,n_paired,diff,diff_ci_lo,diff_ci_hi
8,bare_t100,all,100,156,3,0.35113325715065,0.8862242102622986,3,-0.5350908637046814,-0.6285073757171631,-0.4801393449306488
8,bare_t100,content,100,156,3,0.35113325715065,0.8862242102622986,3,-0.5350908637046814,-0.5845469236373901,-0.48549750447273254
8,bos2_t100,all,100,100,3,0.9083988070487976,0.8815374374389648,3,0.02686131000518799,-0.10415852069854736,0.15566468238830566
8,bos2_t100,content,100,100,0,,,0,,,
8,sys_t1,all,1,61,3,0.5422268509864807,0.7830645442008972,3,-0.24083761870861053,-0.3967568874359131,-0.12637174129486084
8,sys_t1,content,1,61,3,0.5709853768348694,0.7830645442008972,3,-0.21207915246486664,-0.30386367440223694,-0.09760218858718872
8,sys_t100,all,100,160,3,0.2885228097438812,0.8859044909477234,3,-0.5973817706108093,-0.6609162092208862,-0.5327933430671692
8,sys_t100,content,100,160,3,0.26707401871681213,0.8859044909477234,3,-0.6188305020332336,-0.6775836944580078,-0.554760754108429
8,sys_t150,all,150,210,2,0.29289352893829346,0.8148053288459778,2,-0.5219117999076843,-0.5456222295761108,-0.4982013702392578
8,sys_t150,content,150,210,2,0.26985225081443787,0.8148053288459778,2,-0.5449531078338623,-0.5714154839515686,-0.5184906721115112
8,sys_t25,all,25,85,3,0.4052821397781372,0.8845241665840149,3,-0.47924208641052246,-0.604518473148346,-0.3572045862674713
8,sys_t25,content,25,85,3,0.4016512334346771,0.8845241665840149,3,-0.48287299275398254,-0.6092003583908081,-0.3999769389629364
8,sys_t50,all,50,110,3,0.41923224925994873,0.8887367248535156,3,-0.4695044457912445,-0.5399302244186401,-0.3962424695491791
8,sys_t50,content,50,110,3,0.4072817265987396,0.8887367248535156,3,-0.481454998254776,-0.5288621783256531,-0.4102148711681366
8,user_t100,all,100,160,3,0.19326384365558624,0.8859044909477234,3,-0.6926406025886536,-0.7513039112091064,-0.631437361240387
8,user_t100,content,100,160,3,0.17696543037891388,0.8859044909477234,3,-0.7089390754699707,-0.7498359680175781,-0.6427434682846069
12,bare_t100,all,100,156,3,0.21634124219417572,0.7372457981109619,3,-0.520904541015625,-0.6240522861480713,-0.38113048672676086
12,bare_t100,content,100,156,3,0.21634124219417572,0.7372457981109619,3,-0.520904541015625,-0.6018784642219543,-0.38113048672676086
12,bos2_t100,all,100,100,3,0.7728707194328308,0.6777772903442383,3,0.09509334713220596,-0.10076791048049927,0.23061120510101318
12,bos2_t100,content,100,100,0,,,0,,,
12,sys_t1,all,1,61,3,0.2800234854221344,0.821124255657196,3,-0.5411006808280945,-0.6614088416099548,-0.4301501214504242
12,sys_t1,content,1,61,3,0.2781405448913574,0.821124255657196,3,-0.5429837107658386,-0.6200594902038574,-0.4650613069534302
12,sys_t100,all,100,160,3,0.12379904836416245,0.7430799007415771,3,-0.6192808747291565,-0.683265209197998,-0.5634020566940308
12,sys_t100,content,100,160,3,0.103351891040802,0.7430799007415771,3,-0.6397280097007751,-0.6913948059082031,-0.5415328741073608
12,sys_t150,all,150,210,2,0.15179243683815002,0.7654423713684082,2,-0.6136499047279358,-0.6397378444671631,-0.5875619649887085
12,sys_t150,content,150,210,2,0.12684673070907593,0.7654423713684082,2,-0.6385955810546875,-0.6608140468597412,-0.6163771748542786
12,sys_t25,all,25,85,3,0.2135717123746872,0.8303006291389465,3,-0.6167289614677429,-0.6961635947227478,-0.5163869857788086
12,sys_t25,content,25,85,3,0.19522464275360107,0.8303006291389465,3,-0.6350759863853455,-0.7196038961410522,-0.5272084474563599
12,sys_t50,all,50,110,3,0.16613447666168213,0.8073136210441589,3,-0.6411791443824768,-0.6966679692268372,-0.5663282871246338
12,sys_t50,content,50,110,3,0.14786769449710846,0.8073136210441589,3,-0.6594458818435669,-0.751708984375,-0.5725449323654175
12,user_t100,all,100,160,3,0.09494208544492722,0.7430799007415771,3,-0.6481378078460693,-0.7302516102790833,-0.5387362241744995
12,user_t100,content,100,160,3,0.0829402431845665,0.7430799007415771,3,-0.6601396799087524,-0.7378848195075989,-0.554995059967041
16,bare_t100,all,100,156,3,0.28421273827552795,0.9634050726890564,3,-0.6791923642158508,-0.6888226270675659,-0.6676490306854248
16,bare_t100,content,100,156,3,0.28421273827552795,0.9634050726890564,3,-0.6791923642158508,-0.695988655090332,-0.6676490306854248
16,bos2_t100,all,100,100,3,0.8178977966308594,0.9783664345741272,3,-0.16046863794326782,-0.4572117328643799,-0.008773531764745712
16,bos2_t100,content,100,100,0,,,0,,,
16,sys_t1,all,1,61,3,0.28606322407722473,0.8522185683250427,3,-0.5661552548408508,-0.6453879475593567,-0.4592588245868683
16,sys_t1,content,1,61,3,0.24013374745845795,0.8522185683250427,3,-0.6120848059654236,-0.6911898255348206,-0.5052521228790283
16,sys_t100,all,100,160,3,0.17684195935726166,0.9635792374610901,3,-0.7867372632026672,-0.8173773288726807,-0.7568047642707825
16,sys_t100,content,100,160,3,0.1403018832206726,0.9635792374610901,3,-0.8232772946357727,-0.8477945923805237,-0.7852312922477722
16,sys_t150,all,150,210,2,0.1835976392030716,0.9659862518310547,2,-0.7823885679244995,-0.8276984691619873,-0.7370786666870117
16,sys_t150,content,150,210,2,0.14248026907444,0.9659862518310547,2,-0.8235059976577759,-0.8645769953727722,-0.7824349403381348
16,sys_t25,all,25,85,3,0.19642452895641327,0.9090874791145325,3,-0.7126629948616028,-0.8207951188087463,-0.6012579798698425
16,sys_t25,content,25,85,3,0.15581025183200836,0.9090874791145325,3,-0.7532773017883301,-0.8573145270347595,-0.6465029716491699
16,sys_t50,all,50,110,3,0.18757788836956024,0.9451010823249817,3,-0.7575232982635498,-0.7934803366661072,-0.7312076091766357
16,sys_t50,content,50,110,3,0.14755214750766754,0.9451010823249817,3,-0.7975490093231201,-0.8364359736442566,-0.7678969502449036
16,user_t100,all,100,160,3,0.11737612634897232,0.9635792374610901,3,-0.846203088760376,-0.885807454586029,-0.7768917679786682
16,user_t100,content,100,160,3,0.08411451429128647,0.9635792374610901,3,-0.8794646859169006,-0.9193093776702881,-0.8107998371124268
