layer,condition,token_set,smoothing,token_in_prompt_ix,mean,ci_lo,ci_hi,n,input_set
8,none,all,raw,0,0.44601902,0.44592074,0.44606817,3,neutral
8,none,all,raw,1,0.68066806,0.4436333,0.9345639,3,neutral
8,none,all,raw,2,0.67146033,0.3868183,0.9866374,3,neutral
8,none,all,raw,3,0.47776937,0.22569089,0.9029971,3,neutral
8,none,all,raw,4,0.50528365,0.31603637,0.8296969,3,neutral
8,none,all,raw,5,0.49700347,0.25538847,0.94459635,3,neutral
8,none,all,raw,6,0.58313495,0.42402473,0.88937837,3,neutral
8,none,all,raw,7,0.539179,0.33858183,0.92029315,3,neutral
8,none,all,raw,8,0.5766676,0.35375687,0.81672436,3,neutral
8,none,all,raw,9,0.43916973,0.09870568,0.8077051,3,neutral
8,none,all,raw,10,0.40293577,0.055561457,0.93091506,3,neutral
8,none,all,raw,11,0.450915,0.24308713,0.82840174,3,neutral
8,none,all,raw,12,0.60696715,0.40702447,0.96489924,3,neutral
8,none,all,raw,13,0.47176477,0.2205069,0.9474663,3,neutral
8,none,all,raw,14,0.4059652,0.09271925,0.96797013,3,neutral
8,none,all,raw,15,0.60063374,0.34595582,0.9710715,3,neutral
8,none,all,raw,16,0.45317426,0.17968924,0.93729717,3,neutral
8,none,all,raw,17,0.7680354,0.35973302,0.97392625,3,neutral
8,none,all,raw,18,0.75424343,0.33518323,0.97060996,3,neutral
8,none,all,raw,19,0.9399619,0.9276528,0.95865536,3,neutral
8,none,all,raw,20,0.89350843,0.7316788,0.9799438,3,neutral
8,none,all,raw,21,0.88064927,0.78426677,0.9879704,3,neutral
8,none,all,raw,22,0.9261368,0.8980661,0.97096515,3,neutral
8,none,all,raw,23,0.94928473,0.9321856,0.97911674,3,neutral
8,none,all,raw,24,0.9588483,0.94337654,0.9686842,3,neutral
8,none,all,raw,25,0.8908772,0.8633849,0.9219597,3,neutral
8,none,all,raw,26,0.9667986,0.96066546,0.9748147,3,neutral
8,none,all,raw,27,0.9243734,0.89669514,0.94044226,3,neutral
8,none,all,raw,28,0.96530795,0.9545341,0.9722112,3,neutral
8,none,all,raw,29,0.8724186,0.781441,0.98245114,3,neutral
8,none,all,raw,30,0.94381,0.85704273,0.99565625,3,neutral
8,none,all,raw,31,0.94640654,0.9248941,0.9608402,3,neutral
8,none,all,raw,32,0.92562515,0.88513774,0.9618767,3,neutral
8,none,all,raw,33,0.90021497,0.8109541,0.9651992,3,neutral
8,none,all,raw,34,0.9366567,0.8952927,0.9653294,3,neutral
8,none,all,raw,35,0.8427828,0.7703435,0.96881694,3,neutral
8,none,all,raw,36,0.8417823,0.7403808,0.97404885,3,neutral
8,none,all,raw,37,0.8834369,0.8352573,0.966923,3,neutral
8,none,all,raw,38,0.89962214,0.8764803,0.9147348,3,neutral
8,none,all,raw,39,0.86142635,0.7339018,0.96984965,3,neutral
8,none,all,raw,40,0.76466113,0.54802084,0.9428966,3,neutral
8,none,all,raw,41,0.6665668,0.5198856,0.91469336,3,neutral
8,none,all,raw,42,0.8782585,0.77662975,0.99288684,3,neutral
8,none,all,raw,43,0.70888394,0.49209842,0.9325374,3,neutral
8,none,all,raw,44,0.93547887,0.8970413,0.9755071,3,neutral
8,none,all,raw,45,0.7298693,0.48441568,0.98516434,3,neutral
8,none,all,raw,46,0.80517286,0.66892487,0.9537819,3,neutral
8,none,all,raw,47,0.89739656,0.8334763,0.9736256,3,neutral
8,none,all,raw,48,0.76552844,0.5790872,0.972717,3,neutral
8,none,all,raw,49,0.7522897,0.60138625,0.97485274,3,neutral
8,none,all,raw,50,0.81594247,0.68663245,0.98495954,3,neutral
8,none,all,raw,51,0.8536506,0.8027635,0.92118496,3,neutral
8,none,all,raw,52,0.7759309,0.60498255,0.9948365,3,neutral
8,none,all,raw,53,0.9620471,0.95542186,0.96639484,3,neutral
8,none,all,raw,54,0.9698164,0.93554956,0.9876592,3,neutral
8,none,all,raw,55,0.9767682,0.95335466,0.99121886,3,neutral
8,none,all,raw,56,0.906693,0.8455288,0.95680994,3,neutral
8,none,all,raw,57,0.9575727,0.9210146,0.98220116,3,neutral
8,none,all,raw,58,0.9308788,0.83922076,0.9854748,3,neutral
8,none,all,raw,59,0.90986234,0.738807,0.9954625,3,neutral
8,none,all,raw,60,0.8817006,0.79214174,0.9395885,3,neutral
8,none,all,raw,61,0.887064,0.7037638,0.98194283,3,neutral
8,none,all,raw,62,0.86103374,0.7105801,0.951073,3,neutral
8,none,all,raw,63,0.9543449,0.9443137,0.9647425,3,neutral
8,none,all,raw,64,0.92538756,0.80564636,0.98663884,3,neutral
8,none,all,raw,65,0.9130712,0.84561795,0.95665836,3,neutral
8,none,all,raw,66,0.95535475,0.92567176,0.9930005,3,neutral
8,none,all,raw,67,0.8976155,0.8096021,0.95279294,3,neutral
8,none,all,raw,68,0.91761094,0.8188587,0.9696209,3,neutral
8,none,all,raw,69,0.9168468,0.8807799,0.96706253,3,neutral
8,none,all,raw,70,0.84925413,0.7698338,0.9625773,3,neutral
8,none,all,raw,71,0.92694145,0.8917958,0.9552169,3,neutral
8,none,all,raw,72,0.8795832,0.8378217,0.94542676,3,neutral
8,none,all,raw,73,0.80388516,0.7398536,0.8384022,3,neutral
8,none,all,raw,74,0.8870923,0.81894714,0.93144804,3,neutral
8,none,all,raw,75,0.88977957,0.77806425,0.9690211,3,neutral
8,none,all,raw,76,0.864856,0.7321078,0.9440427,3,neutral
8,none,all,raw,77,0.8888337,0.8735543,0.9018782,3,neutral
8,none,all,raw,78,0.85405254,0.8244385,0.87661403,3,neutral
8,none,all,raw,79,0.90909964,0.7498805,0.9915492,3,neutral
8,none,all,raw,80,0.8924846,0.7501629,0.9722068,3,neutral
8,none,all,raw,81,0.93344146,0.8348686,0.98742026,3,neutral
8,none,all,raw,82,0.91446286,0.8347769,0.9660049,3,neutral
8,none,all,raw,83,0.9521777,0.90968853,0.9863226,3,neutral
8,none,all,raw,84,0.9099176,0.8465032,0.9578502,3,neutral
8,none,all,raw,85,0.92527825,0.8709926,0.95559496,3,neutral
8,none,all,raw,86,0.91042614,0.8784357,0.9358914,3,neutral
8,none,all,raw,87,0.92586106,0.848388,0.96739966,3,neutral
8,none,all,raw,88,0.7990734,0.7605682,0.8188951,3,neutral
8,none,all,raw,89,0.8834347,0.8261606,0.953391,3,neutral
8,none,all,raw,90,0.8782055,0.77942973,0.9840853,3,neutral
8,none,all,raw,91,0.9249906,0.84852475,0.97020954,3,neutral
8,none,all,raw,92,0.9329451,0.8686855,0.9743748,3,neutral
8,none,all,raw,93,0.819283,0.76507264,0.89659494,3,neutral
8,none,all,raw,94,0.8843806,0.8441534,0.95285434,3,neutral
8,none,all,raw,95,0.87734944,0.8253436,0.96300006,3,neutral
8,none,all,raw,96,0.8177807,0.7921026,0.85957783,3,neutral
8,none,all,raw,97,0.8121298,0.755107,0.84848213,3,neutral
8,none,all,raw,98,0.88239765,0.7321653,0.9596372,3,neutral
8,none,all,raw,99,0.93353516,0.8498146,0.97608215,3,neutral
8,none,all,raw,100,0.88153744,0.7533996,0.9550937,3,neutral
8,none,all,raw,101,0.908492,0.8120753,0.967309,3,neutral
8,none,all,raw,102,0.8931357,0.7584222,0.9900698,3,neutral
8,none,all,raw,103,0.92619205,0.9243415,0.9280426,2,neutral
8,none,all,raw,104,0.93180996,0.8953703,0.9682496,2,neutral
8,none,all,raw,105,0.83560574,0.70315564,0.9680559,2,neutral
8,none,all,raw,106,0.8409282,0.7109071,0.97094923,2,neutral
8,none,all,raw,107,0.5482838,0.5077118,0.5888558,2,neutral
8,none,all,raw,108,0.79264176,0.7207872,0.86449623,2,neutral
8,none,all,raw,109,0.7547885,0.68894273,0.82063437,2,neutral
8,none,all,raw,110,0.83223784,0.7055867,0.95888895,2,neutral
8,none,all,raw,111,0.8706959,0.78182626,0.9595655,2,neutral
8,none,all,raw,112,0.8750198,0.76168495,0.9883547,2,neutral
8,none,all,raw,113,0.6731411,0.4192911,0.92699116,2,neutral
8,none,all,raw,114,0.7541682,0.53607845,0.972258,2,neutral
8,none,all,raw,115,0.9516922,0.93930584,0.9640786,2,neutral
8,none,all,raw,116,0.9151123,0.85150445,0.9787202,2,neutral
8,none,all,raw,117,0.7915918,0.59064454,0.9925391,2,neutral
8,none,all,raw,118,0.85183525,0.7199157,0.9837547,2,neutral
8,none,all,raw,119,0.885785,0.7908632,0.9807068,2,neutral
8,none,all,raw,120,0.8990075,0.8122664,0.9857486,2,neutral
8,none,all,raw,121,0.88864005,0.78090006,0.99638003,2,neutral
8,none,all,raw,122,0.87967443,0.7683924,0.9909565,2,neutral
8,none,all,raw,123,0.85362774,0.77162117,0.9356343,2,neutral
8,none,all,raw,124,0.80278444,0.74584025,0.8597286,2,neutral
8,none,all,raw,125,0.8843618,0.8655058,0.9032178,2,neutral
8,none,all,raw,126,0.8492803,0.7629078,0.9356528,2,neutral
8,none,all,raw,127,0.74254656,0.73798674,0.7471063,2,neutral
8,none,all,raw,128,0.560992,0.54420894,0.5777751,2,neutral
8,none,all,raw,129,0.55711925,0.40758282,0.70665574,2,neutral
