prompt_key,base_message_ix,base_message_type,mean,size
basic_no_format,1.0,user,0.07378024505132505,74
basic_no_format,2.0,cot,0.8838252097138213,4
basic_no_format,3.0,assistant,0.018018751575387366,120
basic_no_format,4.0,user,0.13316859799116615,40
basic_no_format,5.0,cot,0.3670980652525131,7
basic_no_format,6.0,assistant,0.024775862766071875,120
everything_in_user_tags,1.0,user,0.061068091502128614,74
everything_in_user_tags,2.0,cot,0.8478506352987701,4
everything_in_user_tags,3.0,assistant,0.017394933367116363,120
everything_in_user_tags,4.0,user,0.14905998118522693,40
everything_in_user_tags,5.0,cot,0.3763047771985863,7
everything_in_user_tags,6.0,assistant,0.028329822117284312,120
proper_tags,1.0,user,0.03281029719284811,74
proper_tags,2.0,cot,0.9176588874661333,4
proper_tags,3.0,assistant,0.006102703342628881,120
proper_tags,4.0,user,0.026960028364234955,40
proper_tags,5.0,cot,0.28423815671439084,7
proper_tags,6.0,assistant,0.0007613893816976243,120
