prompt_key,base_message_ix,base_message_type,mean,size,candidate
basic_no_format,1.0,user,0.037184116689508225,45,mats-01
basic_no_format,2.0,cot,0.7328788372951345,96,mats-01
basic_no_format,3.0,assistant,0.35609095242670546,109,mats-01
basic_no_format,4.0,user,0.5271477693562105,41,mats-01
basic_no_format,5.0,cot,0.33968542945506697,93,mats-01
basic_no_format,6.0,assistant,0.15908116668059302,111,mats-01
everything_in_user_tags,1.0,user,0.015039457572708269,45,mats-01
everything_in_user_tags,2.0,cot,0.7364099201522082,96,mats-01
everything_in_user_tags,3.0,assistant,0.36540673145852304,109,mats-01
everything_in_user_tags,4.0,user,0.5046362793075766,41,mats-01
everything_in_user_tags,5.0,cot,0.3401909210639917,93,mats-01
everything_in_user_tags,6.0,assistant,0.1621141307577314,111,mats-01
proper_tags,1.0,user,0.01148372121170433,45,mats-01
proper_tags,2.0,cot,0.5361770830072694,96,mats-01
proper_tags,3.0,assistant,0.0004078586576156095,109,mats-01
proper_tags,4.0,user,0.18930767189902842,41,mats-01
proper_tags,5.0,cot,0.03349264491002943,93,mats-01
proper_tags,6.0,assistant,3.659799246187124e-06,111,mats-01
basic_no_format,1.0,user,0.05094838730221896,41,mats-02
basic_no_format,2.0,cot,0.6761297810093264,100,mats-02
basic_no_format,3.0,assistant,0.6086874636687599,116,mats-02
basic_no_format,4.0,user,0.3141015078140382,43,mats-02
basic_no_format,5.0,cot,0.5673459791396652,101,mats-02
basic_no_format,6.0,assistant,0.36366213587215823,112,mats-02
everything_in_user_tags,1.0,user,0.029488570295601438,41,mats-02
everything_in_user_tags,2.0,cot,0.6794065790827187,100,mats-02
everything_in_user_tags,3.0,assistant,0.6107265915792377,116,mats-02
everything_in_user_tags,4.0,user,0.2927464302803689,43,mats-02
everything_in_user_tags,5.0,cot,0.5559966087664819,101,mats-02
everything_in_user_tags,6.0,assistant,0.3572347700318631,112,mats-02
proper_tags,1.0,user,0.0069981113341648,41,mats-02
proper_tags,2.0,cot,0.3321776574403966,100,mats-02
proper_tags,3.0,assistant,0.0004639523661590757,116,mats-02
proper_tags,4.0,user,0.08396751461517657,43,mats-02
proper_tags,5.0,cot,0.06376919543642595,101,mats-02
proper_tags,6.0,assistant,2.264535853009007e-05,112,mats-02
basic_no_format,1.0,user,0.025131771167759078,44,mats-03
basic_no_format,2.0,cot,0.7085635904955021,97,mats-03
basic_no_format,3.0,assistant,0.47885874871411865,118,mats-03
basic_no_format,4.0,user,0.7115003785745765,41,mats-03
basic_no_format,5.0,cot,0.7888403830437156,100,mats-03
basic_no_format,6.0,assistant,0.7797178607234074,116,mats-03
everything_in_user_tags,1.0,user,0.013676847985586866,44,mats-03
everything_in_user_tags,2.0,cot,0.7430565586905408,97,mats-03
everything_in_user_tags,3.0,assistant,0.5056292486173863,118,mats-03
everything_in_user_tags,4.0,user,0.6958296874576115,41,mats-03
everything_in_user_tags,5.0,cot,0.7928370598177006,100,mats-03
everything_in_user_tags,6.0,assistant,0.7772174602027921,116,mats-03
proper_tags,1.0,user,0.000928394741277145,44,mats-03
proper_tags,2.0,cot,0.3456725761583843,97,mats-03
proper_tags,3.0,assistant,0.0002901290194483642,118,mats-03
proper_tags,4.0,user,0.07284722334045311,41,mats-03
proper_tags,5.0,cot,0.045679710822899004,100,mats-03
proper_tags,6.0,assistant,0.0003917110502682169,116,mats-03
basic_no_format,1.0,user,0.05104610977698762,44,mats-04
basic_no_format,2.0,cot,0.6445473904675867,104,mats-04
basic_no_format,3.0,assistant,0.4899081020852873,117,mats-04
basic_no_format,4.0,user,0.3054240094709258,42,mats-04
basic_no_format,5.0,cot,0.5823275325791454,100,mats-04
basic_no_format,6.0,assistant,0.3469032266999643,113,mats-04
everything_in_user_tags,1.0,user,0.03029015048539813,44,mats-04
everything_in_user_tags,2.0,cot,0.6371006911709205,104,mats-04
everything_in_user_tags,3.0,assistant,0.4805691910867862,117,mats-04
everything_in_user_tags,4.0,user,0.29860281327499216,42,mats-04
everything_in_user_tags,5.0,cot,0.5764041809846231,100,mats-04
everything_in_user_tags,6.0,assistant,0.34445223570961897,113,mats-04
proper_tags,1.0,user,0.0013379348890492494,44,mats-04
proper_tags,2.0,cot,0.3145828634189121,104,mats-04
proper_tags,3.0,assistant,0.0002804030066001456,117,mats-04
proper_tags,4.0,user,0.07664156902636939,42,mats-04
proper_tags,5.0,cot,0.023318219202165737,100,mats-04
proper_tags,6.0,assistant,2.3542999886161233e-06,113,mats-04
basic_no_format,1.0,user,0.03463076084866456,43,mats-05
basic_no_format,2.0,cot,0.6082433234125448,101,mats-05
basic_no_format,3.0,assistant,0.3349638199181253,111,mats-05
basic_no_format,4.0,user,0.556128921640125,40,mats-05
basic_no_format,5.0,cot,0.6117436778112678,102,mats-05
basic_no_format,6.0,assistant,0.5471975638358392,120,mats-05
everything_in_user_tags,1.0,user,0.013423555938783983,43,mats-05
everything_in_user_tags,2.0,cot,0.6124054604676432,101,mats-05
everything_in_user_tags,3.0,assistant,0.32871305959916475,111,mats-05
everything_in_user_tags,4.0,user,0.5382858638692876,40,mats-05
everything_in_user_tags,5.0,cot,0.5998754734821443,102,mats-05
everything_in_user_tags,6.0,assistant,0.5309551999766957,120,mats-05
proper_tags,1.0,user,0.012152644503100073,43,mats-05
proper_tags,2.0,cot,0.31069343780432407,101,mats-05
proper_tags,3.0,assistant,0.000804961814297351,111,mats-05
proper_tags,4.0,user,0.06330156342102447,40,mats-05
proper_tags,5.0,cot,0.02346820273185712,102,mats-05
proper_tags,6.0,assistant,7.33171036227009e-05,120,mats-05
basic_no_format,1.0,user,0.06553676295313039,44,mats-06
basic_no_format,2.0,cot,0.8361360147038331,104,mats-06
basic_no_format,3.0,assistant,0.6318238090831512,116,mats-06
basic_no_format,4.0,user,0.1815850606194058,43,mats-06
basic_no_format,5.0,cot,0.6597722595848973,102,mats-06
basic_no_format,6.0,assistant,0.5113702949570906,108,mats-06
everything_in_user_tags,1.0,user,0.036536982719304334,44,mats-06
everything_in_user_tags,2.0,cot,0.8204067647222263,104,mats-06
everything_in_user_tags,3.0,assistant,0.6307912890813444,116,mats-06
everything_in_user_tags,4.0,user,0.17128564149085068,43,mats-06
everything_in_user_tags,5.0,cot,0.6461577795926334,102,mats-06
everything_in_user_tags,6.0,assistant,0.49715474094684114,108,mats-06
proper_tags,1.0,user,0.016080762304362246,44,mats-06
proper_tags,2.0,cot,0.5757658247811898,104,mats-06
proper_tags,3.0,assistant,0.002481627828016317,116,mats-06
proper_tags,4.0,user,0.06047346726333881,43,mats-06
proper_tags,5.0,cot,0.05394874200934468,102,mats-06
proper_tags,6.0,assistant,3.834386269310752e-05,108,mats-06
basic_no_format,1.0,user,0.032574660989242915,44,mats-07
basic_no_format,2.0,cot,0.6150580121512954,100,mats-07
basic_no_format,3.0,assistant,0.19972542236973964,118,mats-07
basic_no_format,4.0,user,0.34176823756229946,43,mats-07
basic_no_format,5.0,cot,0.5736347533637665,103,mats-07
basic_no_format,6.0,assistant,0.38098956812020635,119,mats-07
everything_in_user_tags,1.0,user,0.01653367814267057,44,mats-07
everything_in_user_tags,2.0,cot,0.6103169896730178,100,mats-07
