prompt_ix,prompt_key,token_ix,token,token_id,base_message_ix,base_message_type,segment_token_ix,sample_ix,seg_ix,display_token_ix
0,proper_tags,65,Hi,12194,1.0,user,1.0,65,1.0,1
0,proper_tags,66,!,0,1.0,user,2.0,66,1.0,2
0,proper_tags,67, I'm,5477,1.0,user,3.0,67,1.0,3
0,proper_tags,68, preparing,27673,1.0,user,4.0,68,1.0,4
0,proper_tags,69, a,261,1.0,user,5.0,69,1.0,5
0,proper_tags,70, M,391,1.0,user,6.0,70,1.0,6
0,proper_tags,71,ATS,42222,1.0,user,7.0,71,1.0,7
0,proper_tags,72, steering,49066,1.0,user,8.0,72,1.0,8
0,proper_tags,73, experiment,12527,1.0,user,9.0,73,1.0,9
0,proper_tags,74, to,316,1.0,user,10.0,74,1.0,10
0,proper_tags,75, discuss,5381,1.0,user,11.0,75,1.0,11
0,proper_tags,76, with,483,1.0,user,12.0,76,1.0,12
0,proper_tags,77, Ne,4475,1.0,user,13.0,77,1.0,13
0,proper_tags,78,el,296,1.0,user,14.0,78,1.0,14
0,proper_tags,79,.,13,1.0,user,15.0,79,1.0,15
0,proper_tags,80, I,357,1.0,user,16.0,80,1.0,16
0,proper_tags,81, have,679,1.0,user,17.0,81,1.0,17
0,proper_tags,82, a,261,1.0,user,18.0,82,1.0,18
0,proper_tags,83, probe,31925,1.0,user,19.0,83,1.0,19
0,proper_tags,84,'s,885,1.0,user,20.0,84,1.0,20
0,proper_tags,85, weight,6049,1.0,user,21.0,85,1.0,21
0,proper_tags,86, vector,9727,1.0,user,22.0,86,1.0,22
0,proper_tags,87, and,326,1.0,user,23.0,87,1.0,23
0,proper_tags,88, a,261,1.0,user,24.0,88,1.0,24
0,proper_tags,89, mean,4774,1.0,user,25.0,89,1.0,25
0,proper_tags,90, difference,9809,1.0,user,26.0,90,1.0,26
0,proper_tags,91, between,2870,1.0,user,27.0,91,1.0,27
0,proper_tags,92, two,1920,1.0,user,28.0,92,1.0,28
0,proper_tags,93, activation,28961,1.0,user,29.0,93,1.0,29
0,proper_tags,94, groups,8896,1.0,user,30.0,94,1.0,30
0,proper_tags,95,.,13,1.0,user,31.0,95,1.0,31
0,proper_tags,96, Are,10547,1.0,user,32.0,96,1.0,32
0,proper_tags,97, these,1879,1.0,user,33.0,97,1.0,33
0,proper_tags,98, interchangeable,148543,1.0,user,34.0,98,1.0,34
0,proper_tags,99, directions,24921,1.0,user,35.0,99,1.0,35
0,proper_tags,100,",",11,1.0,user,36.0,100,1.0,36
0,proper_tags,101, or,503,1.0,user,37.0,101,1.0,37
0,proper_tags,102, should,1757,1.0,user,38.0,102,1.0,38
0,proper_tags,103, I,357,1.0,user,39.0,103,1.0,39
0,proper_tags,104, test,1746,1.0,user,40.0,104,1.0,40
0,proper_tags,105, and,326,1.0,user,41.0,105,1.0,41
0,proper_tags,106, present,3333,1.0,user,42.0,106,1.0,42
0,proper_tags,107, them,1373,1.0,user,43.0,107,1.0,43
0,proper_tags,108, separately,37741,1.0,user,44.0,108,1.0,44
0,proper_tags,116,The,976,2.0,cot,1.0,116,2.0,45
0,proper_tags,117, user,1825,2.0,cot,2.0,117,2.0,46
0,proper_tags,118, has,853,2.0,cot,3.0,118,2.0,47
0,proper_tags,119, two,1920,2.0,cot,4.0,119,2.0,48
0,proper_tags,120, constructions,126322,2.0,cot,5.0,120,2.0,49
0,proper_tags,121, that,484,2.0,cot,6.0,121,2.0,50
0,proper_tags,122, can,665,2.0,cot,7.0,122,2.0,51
0,proper_tags,123, point,2438,2.0,cot,8.0,123,2.0,52
0,proper_tags,124, toward,15256,2.0,cot,9.0,124,2.0,53
0,proper_tags,125, related,7168,2.0,cot,10.0,125,2.0,54
0,proper_tags,126, distinctions,158658,2.0,cot,11.0,126,2.0,55
0,proper_tags,127, while,2049,2.0,cot,12.0,127,2.0,56
0,proper_tags,128, encoding,24072,2.0,cot,13.0,128,2.0,57
0,proper_tags,129, different,2647,2.0,cot,14.0,129,2.0,58
