candidate,minimum_passage_mean_gap,average_passage_mean_gap
mats-08,-0.004088223181806398,0.025022069715208373
mats-06,-0.006524725253994196,0.012263405253013643
mats-10,-0.020193143902007504,-0.008453087016200756
mats-07,-0.024619213029793304,0.11696576861679657
mats-05,-0.039833360689167305,0.024623550232036443
mats-04,-0.0533233498242036,0.04497702352249713
mats-02,-0.05472998281275576,-0.03875659550686702
mats-03,-0.07115427022790533,-0.04416089475257027
mats-11,-0.07341653690302721,0.04509872011635549
mats-12,-0.10121609139194088,-0.07986905659049985
mats-09,-0.1121251694717722,-0.08089299378072316
mats-01,-0.18746233990114364,-0.16924090837790917
