edited_role,signed_offset_percent,base_message_type,p_user,p_tool,n_tokens
tool,-5.0,assistant,1.9900040146907837e-06,1.2745351818175088e-09,240
tool,-5.0,cot,0.012359050826577435,5.600019678478543e-05,177
tool,-5.0,user,0.46440784831945425,1.5906952756674705e-05,95
tool,-1.0,assistant,0.0010153820706113215,0.0001687547148765023,240
tool,-1.0,cot,0.052996603804000834,0.04123858461474244,177
tool,-1.0,user,0.6479630952265097,0.004057811263961187,95
tool,0.0,assistant,0.0034310746316088985,0.0024845474165847256,240
tool,0.0,cot,0.06648272567555832,0.10811850242460441,177
tool,0.0,user,0.7015507206067098,0.01544572254440983,95
tool,1.0,assistant,0.006977769776628594,0.018869760164101433,240
tool,1.0,cot,0.06853678259885664,0.23766643716047067,177
tool,1.0,user,0.7336694082504066,0.04853335667329482,95
tool,5.0,assistant,0.0029291933407244045,0.6580062357801313,240
tool,5.0,cot,0.004390230973601591,0.8786376057126948,177
tool,5.0,user,0.30356028891888437,0.67715632475068,95
user,-5.0,assistant,3.454747284640847e-12,1.0519925711499914e-07,240
user,-5.0,cot,1.1090447362395856e-07,0.0045723528454415805,177
user,-5.0,user,0.003379029344567889,0.11889266473596416,95
user,-1.0,assistant,7.903692813791152e-05,0.0004065954630602899,240
user,-1.0,cot,0.01772806869237493,0.07613500748847289,177
user,-1.0,user,0.4994476110803372,0.04367125905035036,95
user,0.0,assistant,0.0034310746316088985,0.0024845474165847256,240
user,0.0,cot,0.06648272567555832,0.10811850242460441,177
user,0.0,user,0.7015507206067098,0.01544572254440983,95
user,1.0,assistant,0.02042254161416519,0.009215743430654252,240
user,1.0,cot,0.15776521407448,0.13206616619854003,177
user,1.0,user,0.8668492448146223,0.0038583421037618353,95
user,5.0,assistant,0.7717738374109471,0.006296572185242068,240
user,5.0,cot,0.7700412671139681,0.05348292929395667,177
user,5.0,user,0.9995314631778853,5.84819456825031e-06,95
