layer_ix,role,count,correct,recall,split
0,assistant,14793,1077,0.07280470492800649,prompt
0,cot,13765,2090,0.1518343625136215,prompt
0,system,9414,1747,0.18557467601444658,prompt
0,tool,16909,2863,0.16931811461351942,prompt
0,user,12846,1938,0.1508640822045773,prompt
1,assistant,14793,2928,0.19793145406611234,prompt
1,cot,13765,3197,0.23225572103160189,prompt
1,system,9414,2043,0.2170172084130019,prompt
1,tool,16909,7693,0.4549648116387722,prompt
1,user,12846,2773,0.21586486065701385,prompt
2,assistant,14793,3004,0.2030690191306699,prompt
2,cot,13765,3497,0.2540501271340356,prompt
2,system,9414,2064,0.21924792861695347,prompt
2,tool,16909,7093,0.4194807498965048,prompt
2,user,12846,3010,0.23431418340339405,prompt
3,assistant,14793,4146,0.28026769417967956,prompt
3,cot,13765,3729,0.270904467853251,prompt
3,system,9414,2692,0.2859570851922668,prompt
3,tool,16909,6560,0.38795907504879057,prompt
3,user,12846,4981,0.3877471586486066,prompt
4,assistant,14793,3629,0.24531873183262354,prompt
4,cot,13765,3149,0.2287686160552125,prompt
4,system,9414,2165,0.2299766305502443,prompt
4,tool,16909,6138,0.3630019516233958,prompt
4,user,12846,5110,0.3977891950801806,prompt
5,assistant,14793,5298,0.3581423646319205,prompt
5,cot,13765,3737,0.27148565201598257,prompt
5,system,9414,2689,0.2856384108774166,prompt
5,tool,16909,7574,0.44792713939322254,prompt
5,user,12846,6264,0.4876226062587576,prompt
6,assistant,14793,9548,0.6454404110052052,prompt
6,cot,13765,4995,0.36287686160552124,prompt
6,system,9414,3268,0.34714255364350965,prompt
6,tool,16909,8466,0.5006801111833935,prompt
6,user,12846,8293,0.6455706056359957,prompt
7,assistant,14793,13430,0.9078618265395796,prompt
7,cot,13765,8644,0.6279694878314566,prompt
7,system,9414,5367,0.5701083492670491,prompt
7,tool,16909,11846,0.7005736589981667,prompt
7,user,12846,10457,0.8140277129067414,prompt
8,assistant,14793,13303,0.8992766849185425,prompt
8,cot,13765,8333,0.605375953505267,prompt
8,system,9414,4834,0.5134905459953261,prompt
8,tool,16909,10738,0.6350464249807795,prompt
8,user,12846,10445,0.8130935699828741,prompt
9,assistant,14793,13013,0.8796728182248361,prompt
9,cot,13765,7694,0.5589538685070832,prompt
9,system,9414,4565,0.4849160824304228,prompt
9,tool,16909,9921,0.586728960908392,prompt
9,user,12846,10307,0.8023509263583996,prompt
10,assistant,14793,12648,0.8549989860068952,prompt
10,cot,13765,6899,0.5011986923356339,prompt
10,system,9414,4178,0.443807095814744,prompt
10,tool,16909,8449,0.49967472943402924,prompt
10,user,12846,9892,0.7700451502413203,prompt
11,assistant,14793,12597,0.8515514094504157,prompt
11,cot,13765,6781,0.4926262259353433,prompt
11,system,9414,4398,0.46717654557042704,prompt
11,tool,16909,8305,0.49115855461588503,prompt
11,user,12846,10013,0.7794644247236494,prompt
12,assistant,14793,12416,0.83931589265193,prompt
12,cot,13765,6360,0.4620414093715946,prompt
12,system,9414,4076,0.43297216910983644,prompt
12,tool,16909,7577,0.44810455970193386,prompt
12,user,12846,9853,0.7670091857387513,prompt
13,assistant,14793,12088,0.8171432434259447,prompt
13,cot,13765,6191,0.4497638939338903,prompt
13,system,9414,4215,0.44773741236456344,prompt
13,tool,16909,7494,0.4431959311609202,prompt
13,user,12846,9720,0.7566557683325549,prompt
14,assistant,14793,12716,0.8595957547488677,prompt
14,cot,13765,7235,0.5256084271703596,prompt
14,system,9414,4755,0.5050987890376035,prompt
14,tool,16909,8005,0.4734165237447513,prompt
14,user,12846,10486,0.8162852249727541,prompt
15,assistant,14793,13174,0.8905563442168594,prompt
15,cot,13765,8120,0.589901925172539,prompt
15,system,9414,6407,0.6805821117484597,prompt
15,tool,16909,9824,0.5809923709267254,prompt
15,user,12846,11614,0.9040946598162852,prompt
16,assistant,14793,13342,0.9019130669911445,prompt
16,cot,13765,8211,0.5965128950236106,prompt
16,system,9414,6363,0.6759082217973231,prompt
16,tool,16909,9235,0.5461588503163995,prompt
16,user,12846,11928,0.9285380663241476,prompt
17,assistant,14793,13223,0.8938687216926925,prompt
17,cot,13765,7591,0.5514711224119143,prompt
17,system,9414,6118,0.6498831527512215,prompt
17,tool,16909,9410,0.5565083683245609,prompt
17,user,12846,11848,0.9223104468316986,prompt
18,assistant,14793,13148,0.888798756168458,prompt
18,cot,13765,7481,0.5434798401743552,prompt
18,system,9414,6205,0.659124707881878,prompt
18,tool,16909,9371,0.5542019043113136,prompt
18,user,12846,11864,0.9235559707301884,prompt
19,assistant,14793,13062,0.8829851957006692,prompt
19,cot,13765,7136,0.5184162731565565,prompt
19,system,9414,5988,0.6360739324410453,prompt
19,tool,16909,8576,0.5071855225028091,prompt
19,user,12846,11721,0.9124241008874358,prompt
20,assistant,14793,12886,0.871087676603799,prompt
20,cot,13765,6927,0.5032328369051944,prompt
20,system,9414,5655,0.6007010834926705,prompt
20,tool,16909,7940,0.46957241705600566,prompt
20,user,12846,11763,0.9156936011209715,prompt
21,assistant,14793,13371,0.9038734536605151,prompt
21,cot,13765,7085,0.5147112241191427,prompt
21,system,9414,5862,0.6226896112173359,prompt
21,tool,16909,8394,0.4964220237743214,prompt
21,user,12846,11797,0.9183403394052624,prompt
22,assistant,14793,13109,0.8861623740958562,prompt
22,cot,13765,7114,0.5168180167090447,prompt
22,system,9414,5703,0.605799872530274,prompt
22,tool,16909,8093,0.4786208528002839,prompt
22,user,12846,11649,0.9068192433442317,prompt
23,assistant,14793,13685,0.9250997093219766,prompt
23,cot,13765,7762,0.5638939338903015,prompt
23,system,9414,6750,0.7170172084130019,prompt
