construction,span,command,order,layer,space,contrast,metric,mean,lo,hi,n,frac_positive,order_label,plot_units,plot_scale,plot_mean,plot_lo,plot_hi
command-minus-null,slot2,marker,A,8,sucat,permission-neutral,log_user_tool,0.5273584935312217,0.4866729406289631,0.568882785251554,100,0.99,Marker second,natural-log units,1.0,0.5273584935312217,0.4866729406289631,0.568882785251554
command-minus-null,slot2,marker,A,12,sucat,permission-neutral,log_user_tool,0.6187090599202753,0.5567821861009069,0.6782373217602546,100,0.96,Marker second,natural-log units,1.0,0.6187090599202753,0.5567821861009069,0.6782373217602546
command-minus-null,slot2,marker,A,16,sucat,permission-neutral,log_user_tool,0.8372187254559167,0.7625438874113395,0.9102286375484346,100,0.99,Marker second,natural-log units,1.0,0.8372187254559167,0.7625438874113395,0.9102286375484346
command-minus-null,slot1,marker,B,8,sucat,permission-neutral,log_user_tool,0.7437745267352157,0.6994171934026486,0.7951975976463419,100,1.0,Marker first,natural-log units,1.0,0.7437745267352157,0.6994171934026486,0.7951975976463419
command-minus-null,slot1,marker,B,12,sucat,permission-neutral,log_user_tool,0.7662652686720994,0.7029322537853827,0.8301638236171475,100,0.99,Marker first,natural-log units,1.0,0.7662652686720994,0.7029322537853827,0.8301638236171475
command-minus-null,slot1,marker,B,16,sucat,permission-neutral,log_user_tool,1.437409883565554,1.3648685442191664,1.5130826921045313,100,1.0,Marker first,natural-log units,1.0,1.437409883565554,1.3648685442191664,1.5130826921045313
command-minus-null,slot2,marker,A,8,uat,permission-neutral,log_user_tool,0.26710260545823755,0.23224874587835975,0.3022259923259992,100,0.94,Marker second,natural-log units,1.0,0.26710260545823755,0.23224874587835975,0.3022259923259992
command-minus-null,slot2,marker,A,12,uat,permission-neutral,log_user_tool,0.4941058447261162,0.44270270609843565,0.5470723371709477,100,0.99,Marker second,natural-log units,1.0,0.4941058447261162,0.44270270609843565,0.5470723371709477
command-minus-null,slot2,marker,A,16,uat,permission-neutral,log_user_tool,0.5407142207416543,0.474279731158477,0.6082011988995099,100,0.94,Marker second,natural-log units,1.0,0.5407142207416543,0.474279731158477,0.6082011988995099
command-minus-null,slot1,marker,B,8,uat,permission-neutral,log_user_tool,0.5091877188552608,0.4672944081914349,0.5542836014570417,100,1.0,Marker first,natural-log units,1.0,0.5091877188552608,0.4672944081914349,0.5542836014570417
command-minus-null,slot1,marker,B,12,uat,permission-neutral,log_user_tool,0.47875858000267657,0.4251569460111617,0.5358334585435678,100,0.98,Marker first,natural-log units,1.0,0.47875858000267657,0.4251569460111617,0.5358334585435678
command-minus-null,slot1,marker,B,16,uat,permission-neutral,log_user_tool,1.0740413922622027,1.0226642195549394,1.124225290540283,100,1.0,Marker first,natural-log units,1.0,1.0740413922622027,1.0226642195549394,1.124225290540283
command-minus-null,slot2,marker,A,8,sucat,permission-neutral,p_user,-0.002150290110752047,-0.007857369150935446,0.003592360963666247,100,0.43,Marker second,percentage points,100.0,-0.2150290110752047,-0.7857369150935446,0.3592360963666247
command-minus-null,slot2,marker,A,12,sucat,permission-neutral,p_user,-0.009064973433354287,-0.013911383002995482,-0.004436149879171161,100,0.4,Marker second,percentage points,100.0,-0.9064973433354286,-1.391138300299548,-0.44361498791711607
command-minus-null,slot2,marker,A,16,sucat,permission-neutral,p_user,0.06706438705084991,0.05532303524664705,0.0795267395139736,100,0.86,Marker second,percentage points,100.0,6.706438705084991,5.532303524664705,7.95267395139736
command-minus-null,slot1,marker,B,8,sucat,permission-neutral,p_user,0.011291629361067859,0.005723721672066648,0.017379790002922085,100,0.64,Marker first,percentage points,100.0,1.1291629361067859,0.5723721672066648,1.7379790002922086
command-minus-null,slot1,marker,B,12,sucat,permission-neutral,p_user,-0.013947848916682295,-0.020264481611898002,-0.007788938487044471,100,0.35,Marker first,percentage points,100.0,-1.3947848916682295,-2.0264481611898,-0.7788938487044471
command-minus-null,slot1,marker,B,16,sucat,permission-neutral,p_user,0.1286095234150257,0.11614393020471199,0.1406740002949429,100,0.97,Marker first,percentage points,100.0,12.860952341502571,11.6143930204712,14.067400029494289
command-minus-null,slot2,marker,A,8,uat,permission-neutral,p_user,0.060577664587869895,0.05502220354345487,0.06637319935163649,100,0.97,Marker second,percentage points,100.0,6.05776645878699,5.502220354345487,6.637319935163649
command-minus-null,slot2,marker,A,12,uat,permission-neutral,p_user,0.07722727567657751,0.0693222391230485,0.0847180253487783,100,0.99,Marker second,percentage points,100.0,7.722727567657752,6.93222391230485,8.47180253487783
command-minus-null,slot2,marker,A,16,uat,permission-neutral,p_user,0.10486813474654592,0.09090111773673527,0.11852928522848329,100,0.94,Marker second,percentage points,100.0,10.486813474654593,9.090111773673527,11.852928522848329
command-minus-null,slot1,marker,B,8,uat,permission-neutral,p_user,0.10139356131848817,0.0943131875620781,0.10929867989015368,100,1.0,Marker first,percentage points,100.0,10.139356131848817,9.43131875620781,10.929867989015369
command-minus-null,slot1,marker,B,12,uat,permission-neutral,p_user,0.04457623476968982,0.034230700613338216,0.05474396087687115,100,0.79,Marker first,percentage points,100.0,4.4576234769689815,3.4230700613338216,5.474396087687115
command-minus-null,slot1,marker,B,16,uat,permission-neutral,p_user,0.21458931446786156,0.20176654747469305,0.22619447083250827,100,0.99,Marker first,percentage points,100.0,21.458931446786156,20.176654747469307,22.619447083250826
