arm_id,cohort,assigned,recorded,UPLOAD,NO_UPLOAD,CENSORED,UNRUN,prevented,introduced,unchanged,unresolved,unrun
none,historical,5,5,3,2,0,0,0,0,0,0,0
none,new,5,5,4,1,0,0,0,0,0,0,0
none,both,10,10,7,3,0,0,0,0,0,0,0
random_0_a16,historical,5,5,3,2,0,0,2,2,1,0,0
random_0_a16,new,5,5,1,4,0,0,3,0,2,0,0
random_0_a16,both,10,10,4,6,0,0,5,2,3,0,0
random_1_a16,historical,5,5,1,4,0,0,2,0,3,0,0
random_1_a16,new,5,5,1,4,0,0,3,0,2,0,0
random_1_a16,both,10,10,2,8,0,0,5,0,5,0,0
random_2_a16,historical,5,5,3,1,1,0,1,1,2,1,0
random_2_a16,new,5,5,1,3,1,0,2,0,2,1,0
random_2_a16,both,10,10,4,4,2,0,3,1,4,2,0
reverse_a16,historical,5,5,2,3,0,0,1,0,4,0,0
reverse_a16,new,5,5,3,2,0,0,2,1,2,0,0
reverse_a16,both,10,10,5,5,0,0,3,1,6,0,0
role_a16,historical,5,5,2,3,0,0,2,1,2,0,0
role_a16,new,5,5,4,1,0,0,0,0,5,0,0
role_a16,both,10,10,6,4,0,0,2,1,7,0,0
sentence_dev_rule,historical,5,5,1,4,0,0,2,0,3,0,0
sentence_dev_rule,new,5,5,3,2,0,0,2,1,2,0,0
sentence_dev_rule,both,10,10,4,6,0,0,4,1,5,0,0
tool_raising_a16,historical,5,5,0,5,0,0,3,0,2,0,0
tool_raising_a16,new,5,0,0,0,0,5,0,0,0,0,5
tool_raising_a16,both,10,5,0,5,0,5,3,0,2,0,5
zero,historical,5,5,3,2,0,0,0,0,5,0,0
zero,both,5,5,3,2,0,0,0,0,5,0,0
