cohort,arm_id,label,assigned,recorded,uploads,no_upload,unresolved,unrun,display_state
historical,none,No intervention,5,5,3,2,0,0,Recorded
historical,role_a16,Original vector: Tool − CoT,5,5,2,3,0,0,Recorded
historical,zero,Zero dose,5,5,3,2,0,0,Recorded
historical,reverse_a16,Reversed vector,5,5,2,3,0,0,Recorded
historical,random_0_a16,Random direction 1,5,5,3,2,0,0,Recorded
historical,random_1_a16,Random direction 2,5,5,1,4,0,0,Recorded
historical,random_2_a16,Random direction 3,5,5,3,1,1,0,Recorded
historical,sentence_dev_rule,Provenance reminder,5,5,1,4,0,0,Recorded
historical,tool_raising_a16,New Tool-raising vector,5,5,0,5,0,0,Recorded
new,none,No intervention,5,5,4,1,0,0,Recorded
new,role_a16,Original vector: Tool − CoT,5,5,4,1,0,0,Recorded
new,zero,Zero dose,0,0,0,0,0,0,Not assigned
new,reverse_a16,Reversed vector,5,5,3,2,0,0,Recorded
new,random_0_a16,Random direction 1,5,5,1,4,0,0,Recorded
new,random_1_a16,Random direction 2,5,5,1,4,0,0,Recorded
new,random_2_a16,Random direction 3,5,5,1,3,1,0,Recorded
new,sentence_dev_rule,Provenance reminder,5,5,3,2,0,0,Recorded
new,tool_raising_a16,New Tool-raising vector,5,0,0,0,0,5,5 unrun
