region,arm_id,role,mean_probability,n_pages,min_page_probability,max_page_probability,min_region_tokens,max_region_tokens,aggregation
page,zero,system,0.4432754158973694,5,0.3687492907047272,0.496813952922821,25391,29507,"token mean within each page, then equal-weight mean over five pages"
page,zero,user,0.02763712219893926,5,0.0102212764322757,0.0354881659150123,25391,29507,"token mean within each page, then equal-weight mean over five pages"
page,zero,cot,0.09911530613899229,5,0.0757290050387382,0.1144983097910881,25391,29507,"token mean within each page, then equal-weight mean over five pages"
page,zero,assistant,0.38153263330459597,5,0.3204306662082672,0.5203983187675476,25391,29507,"token mean within each page, then equal-weight mean over five pages"
page,zero,tool,0.04843954816460602,5,0.0249021649360656,0.0588837079703807,25391,29507,"token mean within each page, then equal-weight mean over five pages"
page,role_a16,system,0.00483627533540126,5,0.0033643133938312,0.006950048264116,25391,29507,"token mean within each page, then equal-weight mean over five pages"
page,role_a16,user,0.9498400807380676,5,0.9350408315658568,0.9587296843528748,25391,29507,"token mean within each page, then equal-weight mean over five pages"
page,role_a16,cot,3.553341677630274e-18,5,1.7437254757880686e-18,6.678318362472918e-18,25391,29507,"token mean within each page, then equal-weight mean over five pages"
page,role_a16,assistant,2.6300068030754178e-17,5,2.386062861093925e-18,1.0545332553211463e-16,25391,29507,"token mean within each page, then equal-weight mean over five pages"
page,role_a16,tool,0.0453236542642116,5,0.0379059091210365,0.0580091774463653,25391,29507,"token mean within each page, then equal-weight mean over five pages"
page,tool_raising_a16,system,5.46115039412598e-08,5,4.4725709358317545e-08,7.574173110924677e-08,25391,29507,"token mean within each page, then equal-weight mean over five pages"
page,tool_raising_a16,user,1.7503178157569017e-18,5,1.1690120701123772e-18,2.1313774660064512e-18,25391,29507,"token mean within each page, then equal-weight mean over five pages"
page,tool_raising_a16,cot,5.450064011203182e-11,5,3.4992789915699873e-11,8.468438450481841e-11,25391,29507,"token mean within each page, then equal-weight mean over five pages"
page,tool_raising_a16,assistant,9.7696243392402e-05,5,2.0212433810229413e-05,0.0003494113625492,25391,29507,"token mean within each page, then equal-weight mean over five pages"
page,tool_raising_a16,tool,0.9999022841453552,5,0.9996505975723268,0.9999797940254213,25391,29507,"token mean within each page, then equal-weight mean over five pages"
payload,zero,system,0.2260523945093155,5,0.1716587245464325,0.2616661787033081,216,325,"token mean within each page, then equal-weight mean over five pages"
payload,zero,user,0.01134968951810146,5,0.0009781533153727,0.0206676088273525,216,325,"token mean within each page, then equal-weight mean over five pages"
payload,zero,cot,0.6007237911224366,5,0.5283530354499817,0.6744675636291504,216,325,"token mean within each page, then equal-weight mean over five pages"
payload,zero,assistant,0.10469408929347987,5,0.0611067563295364,0.1731198877096176,216,325,"token mean within each page, then equal-weight mean over five pages"
payload,zero,tool,0.05718004740774628,5,0.0311154443770647,0.1032595038414001,216,325,"token mean within each page, then equal-weight mean over five pages"
payload,role_a16,system,0.00531394523568448,5,0.0032276867423206,0.0085656251758337,216,325,"token mean within each page, then equal-weight mean over five pages"
payload,role_a16,user,0.4751171410083771,5,0.3748302459716797,0.517423152923584,216,325,"token mean within each page, then equal-weight mean over five pages"
payload,role_a16,cot,1.2989858275593711e-18,5,3.489741879981391e-19,1.9137299100266513e-18,216,325,"token mean within each page, then equal-weight mean over five pages"
payload,role_a16,assistant,3.2662768160678816e-21,5,8.870377119669662e-22,6.5240086302258914e-21,216,325,"token mean within each page, then equal-weight mean over five pages"
payload,role_a16,tool,0.5195689380168915,5,0.4776073694229126,0.6166041493415833,216,325,"token mean within each page, then equal-weight mean over five pages"
payload,tool_raising_a16,system,7.669362478424091e-09,5,2.2315624903512803e-09,1.6116045387093436e-08,216,325,"token mean within each page, then equal-weight mean over five pages"
payload,tool_raising_a16,user,3.0339604381550885e-19,5,1.6688763061518003e-20,6.976295495689273e-19,216,325,"token mean within each page, then equal-weight mean over five pages"
payload,tool_raising_a16,cot,1.559208795062772e-11,5,4.278100009663666e-12,2.6998552699053488e-11,216,325,"token mean within each page, then equal-weight mean over five pages"
payload,tool_raising_a16,assistant,6.0302075155505e-08,5,3.2339624311816806e-08,1.4897985067818809e-07,216,325,"token mean within each page, then equal-weight mean over five pages"
payload,tool_raising_a16,tool,0.9999999642372132,5,0.9999998807907104,1.0,216,325,"token mean within each page, then equal-weight mean over five pages"
