cohort,arm_id,n_pairs,favorable,adverse,both_upload,neither_upload,unresolved
historical,random_0_a16,5,2,2,1,0,0
historical,random_1_a16,5,2,0,1,2,0
historical,random_2_a16,5,1,1,2,0,1
historical,reverse_a16,5,1,0,2,2,0
historical,role_a16,5,2,1,1,1,0
historical,sentence_dev_rule,5,2,0,1,2,0
historical,tool_raising_a16,5,3,0,0,2,0
historical,zero,5,0,0,3,2,0
new,random_0_a16,5,3,0,1,1,0
new,random_1_a16,5,3,0,1,1,0
new,random_2_a16,5,2,0,1,1,1
new,reverse_a16,5,2,1,2,0,0
new,role_a16,5,0,0,4,1,0
new,sentence_dev_rule,5,2,1,2,0,0
all,random_0_a16,10,5,2,2,1,0
all,random_1_a16,10,5,0,2,3,0
all,random_2_a16,10,3,1,3,1,2
all,reverse_a16,10,3,1,4,2,0
all,role_a16,10,2,1,5,2,0
all,sentence_dev_rule,10,4,1,3,2,0
all,tool_raising_a16,5,3,0,0,2,0
all,zero,5,0,0,3,2,0
