task,method,recorded,planned,exposed,transfers,token_score_records
authorized,none,43,100,43,41,43
authorized,prompt,43,100,43,39,43
authorized,random_0,19,40,19,17,19
authorized,random_1,17,40,17,13,17
authorized,random_2,15,40,15,14,15
authorized,redact,15,40,15,0,0
authorized,tool_01,50,100,50,46,50
authorized,tool_03,27,100,27,25,27
authorized,user_03,16,40,16,16,16
benign,none,35,100,20,0,20
benign,tool_01,37,100,15,0,15
benign,tool_03,39,100,17,0,17
calibration,cal_tool,8,20,4,2,4
calibration,cal_user,9,20,5,3,5
calibration,none,13,40,6,4,6
direct,none,44,100,37,34,37
direct,tool_01,33,100,26,28,26
direct,tool_03,37,100,32,27,31
unauthorized,none,44,100,16,5,16
unauthorized,prompt,45,100,23,6,23
unauthorized,random_0,23,40,10,0,10
unauthorized,random_1,16,40,8,4,8
unauthorized,random_2,23,40,10,0,10
unauthorized,redact,17,40,9,0,0
unauthorized,tool_01,36,100,17,4,17
unauthorized,tool_03,44,100,21,1,21
unauthorized,user_03,12,40,6,6,6
