prompt_id,kind,split,available_arm_columns,arm_001,arm_002
277,harmful,selection,1,1,
11,harmful,selection,1,2,
278,harmful,selection,1,3,
302,harmful,selection,1,4,
166,harmful,selection,1,5,
263,harmful,selection,1,6,
147,harmful,selection,1,7,
20,harmful,selection,1,8,
128,harmful,selection,1,9,
79,harmful,selection,1,10,
95,harmful,selection,1,11,
249,harmful,selection,1,12,
31,harmful,selection,1,13,
42,harmful,selection,1,14,
265,harmful,selection,1,15,
192,harmful,selection,1,16,
48,harmful,selection,1,17,
185,harmful,selection,1,18,
102,harmful,selection,1,19,
174,harmful,selection,1,20,
301,harmful,selection,1,21,
197,harmful,selection,1,22,
160,harmful,selection,1,23,
203,harmful,selection,1,24,
125,harmful,selection,1,25,
291,harmful,selection,1,26,
279,harmful,selection,1,27,
75,harmful,selection,1,28,
71,harmful,selection,1,29,
26,harmful,selection,1,30,
12,harmful,selection,1,31,
220,harmful,selection,1,32,
221,harmful,selection,1,33,
136,harmful,selection,1,34,
267,harmful,selection,1,35,
238,harmful,selection,1,36,
90,harmful,selection,1,37,
54,harmful,selection,1,38,
245,harmful,selection,1,39,
209,harmful,selection,1,40,
33,harmful,selection,1,41,
170,harmful,selection,1,42,
173,harmful,selection,1,43,
215,harmful,selection,1,44,
219,harmful,selection,1,45,
41,harmful,selection,1,46,
105,harmful,selection,1,47,
181,harmful,selection,1,48,
175,harmful,selection,1,49,
137,harmful,selection,1,50,
29,harmful,selection,1,51,
218,harmful,selection,1,52,
306,harmful,selection,1,53,
190,harmful,selection,1,54,
228,harmful,selection,1,55,
107,harmful,selection,1,56,
30,harmful,selection,1,57,
19,harmful,selection,1,58,
120,harmful,selection,1,59,
72,harmful,selection,1,60,
210,harmful,selection,1,61,
223,harmful,selection,1,62,
114,harmful,selection,1,63,
296,harmful,selection,1,64,
53,harmful,selection,1,65,
22,harmful,selection,1,66,
115,harmful,selection,1,67,
282,harmful,selection,1,68,
52,harmful,selection,1,69,
269,harmful,selection,1,70,
235,harmful,selection,1,71,
117,harmful,selection,1,72,
35,harmful,selection,1,73,
171,harmful,selection,1,74,
251,harmful,selection,1,75,
298,harmful,selection,1,76,
94,harmful,selection,1,77,
4,harmful,selection,1,78,
274,harmful,selection,1,79,
216,harmful,selection,1,80,
24,harmful,selection,1,81,
80,harmful,selection,1,82,
155,harmful,selection,1,83,
297,harmful,selection,1,84,
127,harmful,selection,1,85,
78,harmful,selection,1,86,
240,harmful,selection,1,87,
61,harmful,selection,1,88,
81,harmful,selection,1,89,
309,harmful,selection,1,90,
236,harmful,selection,1,91,
36,harmful,selection,1,92,
239,harmful,selection,1,93,
89,harmful,selection,1,94,
21,harmful,selection,1,95,
187,harmful,selection,1,96,
206,harmful,selection,1,97,
179,harmful,selection,1,98,
242,harmful,selection,1,99,
5,harmful,selection,1,100,
232,harmful,holdout,1,,101
287,harmful,holdout,1,,102
82,harmful,holdout,1,,103
290,harmful,holdout,1,,104
165,harmful,holdout,1,,105
161,harmful,holdout,1,,106
275,harmful,holdout,1,,107
7,harmful,holdout,1,,108
272,harmful,holdout,1,,109
199,harmful,holdout,1,,110
144,harmful,holdout,1,,111
178,harmful,holdout,1,,112
294,harmful,holdout,1,,113
234,harmful,holdout,1,,114
162,harmful,holdout,1,,115
150,harmful,holdout,1,,116
151,harmful,holdout,1,,117
184,harmful,holdout,1,,118
167,harmful,holdout,1,,119
148,harmful,holdout,1,,120
143,harmful,holdout,1,,121
194,harmful,holdout,1,,122
49,harmful,holdout,1,,123
37,harmful,holdout,1,,124
34,harmful,holdout,1,,125
55,harmful,holdout,1,,126
91,harmful,holdout,1,,127
23,harmful,holdout,1,,128
207,harmful,holdout,1,,129
231,harmful,holdout,1,,130
10,harmful,holdout,1,,131
66,harmful,holdout,1,,132
28,harmful,holdout,1,,133
124,harmful,holdout,1,,134
152,harmful,holdout,1,,135
202,harmful,holdout,1,,136
142,harmful,holdout,1,,137
112,harmful,holdout,1,,138
69,harmful,holdout,1,,139
132,harmful,holdout,1,,140
100,harmful,holdout,1,,141
241,harmful,holdout,1,,142
257,harmful,holdout,1,,143
85,harmful,holdout,1,,144
304,harmful,holdout,1,,145
264,harmful,holdout,1,,146
229,harmful,holdout,1,,147
250,harmful,holdout,1,,148
262,harmful,holdout,1,,149
122,harmful,holdout,1,,150
159,harmful,holdout,1,,151
131,harmful,holdout,1,,152
138,harmful,holdout,1,,153
92,harmful,holdout,1,,154
270,harmful,holdout,1,,155
247,harmful,holdout,1,,156
62,harmful,holdout,1,,157
299,harmful,holdout,1,,158
261,harmful,holdout,1,,159
212,harmful,holdout,1,,160
252,harmful,holdout,1,,161
276,harmful,holdout,1,,162
130,harmful,holdout,1,,163
101,harmful,holdout,1,,164
50,harmful,holdout,1,,165
97,harmful,holdout,1,,166
195,harmful,holdout,1,,167
310,harmful,holdout,1,,168
246,harmful,holdout,1,,169
191,harmful,holdout,1,,170
169,harmful,holdout,1,,171
260,harmful,holdout,1,,172
172,harmful,holdout,1,,173
13,harmful,holdout,1,,174
196,harmful,holdout,1,,175
307,harmful,holdout,1,,176
283,harmful,holdout,1,,177
281,harmful,holdout,1,,178
188,harmful,holdout,1,,179
305,harmful,holdout,1,,180
201,harmful,holdout,1,,181
134,harmful,holdout,1,,182
8,harmful,holdout,1,,183
77,harmful,holdout,1,,184
58,harmful,holdout,1,,185
200,harmful,holdout,1,,186
280,harmful,holdout,1,,187
237,harmful,holdout,1,,188
119,harmful,holdout,1,,189
164,harmful,holdout,1,,190
289,harmful,holdout,1,,191
63,harmful,holdout,1,,192
108,harmful,holdout,1,,193
156,harmful,holdout,1,,194
141,harmful,holdout,1,,195
88,harmful,holdout,1,,196
204,harmful,holdout,1,,197
259,harmful,holdout,1,,198
44,harmful,holdout,1,,199
268,harmful,holdout,1,,200
226,harmful,holdout,1,,201
65,harmful,holdout,1,,202
60,harmful,holdout,1,,203
93,harmful,holdout,1,,204
286,harmful,holdout,1,,205
273,harmful,holdout,1,,206
292,harmful,holdout,1,,207
266,harmful,holdout,1,,208
157,harmful,holdout,1,,209
163,harmful,holdout,1,,210
0,harmful,holdout,1,,211
177,harmful,holdout,1,,212
45,harmful,holdout,1,,213
153,harmful,holdout,1,,214
40,harmful,holdout,1,,215
59,harmful,holdout,1,,216
15,harmful,holdout,1,,217
46,harmful,holdout,1,,218
86,harmful,holdout,1,,219
109,harmful,holdout,1,,220
104,harmful,holdout,1,,221
133,harmful,holdout,1,,222
16,harmful,holdout,1,,223
288,harmful,holdout,1,,224
193,harmful,holdout,1,,225
227,harmful,holdout,1,,226
116,harmful,holdout,1,,227
285,harmful,holdout,1,,228
74,harmful,holdout,1,,229
110,harmful,holdout,1,,230
189,harmful,holdout,1,,231
145,harmful,holdout,1,,232
38,harmful,holdout,1,,233
27,harmful,holdout,1,,234
182,harmful,holdout,1,,235
140,harmful,holdout,1,,236
198,harmful,holdout,1,,237
121,harmful,holdout,1,,238
211,harmful,holdout,1,,239
311,harmful,holdout,1,,240
14,harmful,holdout,1,,241
