layer,condition,token_set,block_start,block_end,n_prompts,block_mean,baseline_same_index_mean,n_paired,diff,diff_ci_lo,diff_ci_hi
8,sys_t1,content,1,61,200,0.2222701013088226,0.7796467542648315,200,-0.5573766827583313,-0.5766553282737732,-0.5364388227462769
8,sys_t100,content,100,160,184,0.2344140112400055,0.7339394688606262,184,-0.4995254874229431,-0.5184473991394043,-0.4799779951572418
8,sys_t150,content,150,210,169,0.2178595215082168,0.7229621410369873,169,-0.5051026344299316,-0.5256375670433044,-0.4849151968955993
8,sys_t25,content,25,85,199,0.2348219454288482,0.764239490032196,199,-0.5294176340103149,-0.5479711890220642,-0.5129650235176086
8,sys_t50,content,50,110,194,0.2194882482290268,0.7468648552894592,194,-0.527376651763916,-0.547753632068634,-0.5080289840698242
8,user_t100,content,100,160,184,0.117040254175663,0.7339394688606262,184,-0.616899311542511,-0.6412836909294128,-0.5934372544288635
12,sys_t1,content,1,61,200,0.1270375847816467,0.7811743021011353,200,-0.6541366577148438,-0.6684916615486145,-0.6375378966331482
12,sys_t100,content,100,160,184,0.1351518034934997,0.7141681909561157,184,-0.579016387462616,-0.5944874882698059,-0.5619618892669678
12,sys_t150,content,150,210,169,0.1248578652739524,0.7002929449081421,169,-0.5754350423812866,-0.5907213687896729,-0.5593675374984741
12,sys_t25,content,25,85,199,0.1408662050962448,0.7615896463394165,199,-0.6207234263420105,-0.6379848122596741,-0.6065226793289185
12,sys_t50,content,50,110,194,0.1372275501489639,0.732848048210144,194,-0.5956204533576965,-0.6121569275856018,-0.5782966017723083
12,user_t100,content,100,160,184,0.0857556536793708,0.7141681909561157,184,-0.6284125447273254,-0.6477534770965576,-0.6100255846977234
16,sys_t1,content,1,61,200,0.2050030529499054,0.8841561675071716,200,-0.6791530847549438,-0.6956049799919128,-0.6625210642814636
16,sys_t100,content,100,160,184,0.1050875484943389,0.8960015773773193,184,-0.7909141182899475,-0.8090588450431824,-0.7755628824234009
16,sys_t150,content,150,210,169,0.0924171432852745,0.876787543296814,169,-0.7843703627586365,-0.8021249175071716,-0.7692527770996094
16,sys_t25,content,25,85,199,0.1527398079633712,0.8976535797119141,199,-0.7449136972427368,-0.7618148922920227,-0.7320976257324219
16,sys_t50,content,50,110,194,0.1227412074804306,0.9060643911361694,194,-0.7833231687545776,-0.7955964803695679,-0.7704302072525024
16,user_t100,content,100,160,184,0.0255289915949106,0.8960015773773193,184,-0.8704726099967957,-0.8874532580375671,-0.8548592329025269
