seg_ix,token_in_seg_ix,n_distinct_toks,n_distinct_prompts
2,1,1,3
2,2,1,3
2,3,1,3
2,4,1,3
2,5,1,3
2,6,1,3
2,7,1,3
2,8,1,3
2,9,1,3
2,10,1,3
2,11,1,3
2,12,1,3
2,13,1,3
2,14,1,3
2,15,1,3
2,16,1,3
2,17,1,3
2,18,1,3
2,19,1,3
2,20,1,3
2,21,1,3
2,22,1,3
2,23,1,3
2,24,1,3
2,25,1,3
2,26,1,3
2,27,1,3
2,28,1,3
2,29,1,3
2,30,1,3
2,31,1,3
2,32,1,3
2,33,1,3
2,34,1,3
2,35,1,3
2,36,1,3
2,37,1,3
2,38,1,3
2,39,1,3
2,40,1,3
2,41,1,3
2,42,1,3
2,43,1,3
2,44,1,3
3,1,1,3
3,2,1,3
3,3,1,3
3,4,1,3
3,5,1,3
3,6,1,3
3,7,1,3
3,8,1,3
3,9,1,3
3,10,1,3
3,11,1,3
3,12,1,3
3,13,1,3
3,14,1,3
3,15,1,3
3,16,1,3
3,17,1,3
3,18,1,3
3,19,1,3
3,20,1,3
3,21,1,3
3,22,1,3
3,23,1,3
3,24,1,3
3,25,1,3
3,26,1,3
3,27,1,3
3,28,1,3
3,29,1,3
3,30,1,3
3,31,1,3
3,32,1,3
3,33,1,3
3,34,1,3
3,35,1,3
3,36,1,3
3,37,1,3
3,38,1,3
3,39,1,3
3,40,1,3
3,41,1,3
3,42,1,3
3,43,1,3
3,44,1,3
3,45,1,3
3,46,1,3
3,47,1,3
3,48,1,3
3,49,1,3
3,50,1,3
3,51,1,3
3,52,1,3
3,53,1,3
3,54,1,3
3,55,1,3
3,56,1,3
3,57,1,3
3,58,1,3
3,59,1,3
3,60,1,3
3,61,1,3
3,62,1,3
3,63,1,3
3,64,1,3
3,65,1,3
3,66,1,3
3,67,1,3
3,68,1,3
3,69,1,3
3,70,1,3
3,71,1,3
3,72,1,3
3,73,1,3
3,74,1,3
3,75,1,3
3,76,1,3
3,77,1,3
3,78,1,3
3,79,1,3
3,80,1,3
3,81,1,3
3,82,1,3
4,1,1,3
4,2,1,3
4,3,1,3
4,4,1,3
4,5,1,3
4,6,1,3
4,7,1,3
4,8,1,3
4,9,1,3
4,10,1,3
4,11,1,3
4,12,1,3
4,13,1,3
4,14,1,3
4,15,1,3
4,16,1,3
4,17,1,3
4,18,1,3
4,19,1,3
4,20,1,3
4,21,1,3
4,22,1,3
4,23,1,3
4,24,1,3
4,25,1,3
4,26,1,3
4,27,1,3
4,28,1,3
4,29,1,3
4,30,1,3
4,31,1,3
4,32,1,3
4,33,1,3
4,34,1,3
4,35,1,3
4,36,1,3
4,37,1,3
4,38,1,3
4,39,1,3
4,40,1,3
4,41,1,3
4,42,1,3
4,43,1,3
4,44,1,3
4,45,1,3
4,46,1,3
4,47,1,3
4,48,1,3
4,49,1,3
4,50,1,3
4,51,1,3
4,52,1,3
4,53,1,3
4,54,1,3
4,55,1,3
4,56,1,3
4,57,1,3
4,58,1,3
4,59,1,3
4,60,1,3
4,61,1,3
4,62,1,3
4,63,1,3
4,64,1,3
4,65,1,3
4,66,1,3
4,67,1,3
4,68,1,3
4,69,1,3
4,70,1,3
4,71,1,3
4,72,1,3
4,73,1,3
4,74,1,3
4,75,1,3
4,76,1,3
4,77,1,3
4,78,1,3
4,79,1,3
4,80,1,3
4,81,1,3
