sample_ix,target_role,prob,prob_unrounded,prompt_ix,prompt_key,base_message_ix,base_message_type,token_in_prompt_ix,token,token_ix,layer_ix,role_space,seg_ix,token_in_seg_ix,original_token_in_prompt_ix,n_distinct_toks,n_distinct_prompts,display_token_ix
58,cot,0.3001376,0.3001376,0,basic_no_format,1.0,user,58,Hi,1189,12,suca,2,1,58,1,3,1
59,cot,0.00062105,0.00062105135,0,basic_no_format,1.0,user,59,!,1190,12,suca,2,2,59,1,3,2
60,cot,0.1776698,0.17766981,0,basic_no_format,1.0,user,60, I'm,1191,12,suca,2,3,60,1,3,3
61,cot,0.00286111,0.0028611107,0,basic_no_format,1.0,user,61, learning,1192,12,suca,2,4,61,1,3,4
62,cot,0.00018231,0.00018230885,0,basic_no_format,1.0,user,62, how,1193,12,suca,2,5,62,1,3,5
63,cot,0.0006316,0.00063160283,0,basic_no_format,1.0,user,63, to,1194,12,suca,2,6,63,1,3,6
64,cot,0.00022003,0.00022003311,0,basic_no_format,1.0,user,64, garden,1195,12,suca,2,7,64,1,3,7
65,cot,5.89e-06,5.891296e-06,0,basic_no_format,1.0,user,65, and,1196,12,suca,2,8,65,1,3,8
66,cot,0.00105977,0.0010597719,0,basic_no_format,1.0,user,66, grow,1197,12,suca,2,9,66,1,3,9
67,cot,0.00138913,0.0013891269,0,basic_no_format,1.0,user,67, plants,1198,12,suca,2,10,67,1,3,10
68,cot,0.00023901,0.00023901163,0,basic_no_format,1.0,user,68,.,1199,12,suca,2,11,68,1,3,11
69,cot,0.02923588,0.029235883,0,basic_no_format,1.0,user,69, In,1200,12,suca,2,12,69,1,3,12
70,cot,0.00040052,0.00040051847,0,basic_no_format,1.0,user,70, a,1201,12,suca,2,13,70,1,3,13
71,cot,4.968e-05,4.968319e-05,0,basic_no_format,1.0,user,71, few,1202,12,suca,2,14,71,1,3,14
72,cot,0.00188625,0.0018862489,0,basic_no_format,1.0,user,72, sentences,1203,12,suca,2,15,72,1,3,15
73,cot,0.03442349,0.03442349,0,basic_no_format,1.0,user,73,",",1204,12,suca,2,16,73,1,3,16
74,cot,0.3018077,0.3018077,0,basic_no_format,1.0,user,74, can,1205,12,suca,2,17,74,1,3,17
75,cot,0.0674726,0.0674726,0,basic_no_format,1.0,user,75, you,1206,12,suca,2,18,75,1,3,18
76,cot,0.01993073,0.019930732,0,basic_no_format,1.0,user,76, please,1207,12,suca,2,19,76,1,3,19
77,cot,0.00286817,0.0028681722,0,basic_no_format,1.0,user,77, tell,1208,12,suca,2,20,77,1,3,20
78,cot,0.00053399,0.00053399045,0,basic_no_format,1.0,user,78, me,1209,12,suca,2,21,78,1,3,21
79,cot,0.00975775,0.009757749,0,basic_no_format,1.0,user,79, how,1210,12,suca,2,22,79,1,3,22
80,cot,0.00616573,0.006165727,0,basic_no_format,1.0,user,80, to,1211,12,suca,2,23,80,1,3,23
81,cot,0.00126842,0.0012684241,0,basic_no_format,1.0,user,81, grow,1212,12,suca,2,24,81,1,3,24
82,cot,4.77e-06,4.7745852e-06,0,basic_no_format,1.0,user,82, tomatoes,1213,12,suca,2,25,82,1,3,25
83,cot,0.00427245,0.00427245,0,basic_no_format,1.0,user,83,?,1214,12,suca,2,26,83,1,3,26
84,cot,0.3827983,0.3827983,0,basic_no_format,1.0,user,84, How,1215,12,suca,2,27,84,1,3,27
85,cot,0.00188325,0.0018832508,0,basic_no_format,1.0,user,85, much,1216,12,suca,2,28,85,1,3,28
86,cot,0.00039168,0.00039167577,0,basic_no_format,1.0,user,86, water,1217,12,suca,2,29,86,1,3,29
87,cot,0.00022034,0.00022033975,0,basic_no_format,1.0,user,87, and,1218,12,suca,2,30,87,1,3,30
88,cot,8.185e-05,8.185288e-05,0,basic_no_format,1.0,user,88, light,1219,12,suca,2,31,88,1,3,31
89,cot,2.372e-05,2.3715545e-05,0,basic_no_format,1.0,user,89, does,1220,12,suca,2,32,89,1,3,32
90,cot,0.00171096,0.0017109602,0,basic_no_format,1.0,user,90, it,1221,12,suca,2,33,90,1,3,33
91,cot,0.00021447,0.0002144691,0,basic_no_format,1.0,user,91, need,1222,12,suca,2,34,91,1,3,34
92,cot,0.00152532,0.0015253223,0,basic_no_format,1.0,user,92,?,1223,12,suca,2,35,92,1,3,35
93,cot,0.00191193,0.0019119269,0,basic_no_format,1.0,user,93, What,1224,12,suca,2,36,93,1,3,36
94,cot,9.286e-05,9.286258e-05,0,basic_no_format,1.0,user,94, kind,1225,12,suca,2,37,94,1,3,37
95,cot,2.53e-05,2.5297259e-05,0,basic_no_format,1.0,user,95, of,1226,12,suca,2,38,95,1,3,38
96,cot,1.589e-05,1.5893263e-05,0,basic_no_format,1.0,user,96, fertilizer,1227,12,suca,2,39,96,1,3,39
97,cot,0.00011082,0.000110823086,0,basic_no_format,1.0,user,97,?,1228,12,suca,2,40,97,1,3,40
98,cot,0.00103578,0.0010357792,0,basic_no_format,1.0,user,98, Any,1229,12,suca,2,41,98,1,3,41
99,cot,0.00085795,0.0008579542,0,basic_no_format,1.0,user,99, other,1230,12,suca,2,42,99,1,3,42
100,cot,0.00012202,0.000122023775,0,basic_no_format,1.0,user,100, important,1231,12,suca,2,43,100,1,3,43
101,cot,0.00037126,0.00037126438,0,basic_no_format,1.0,user,101, tips,1232,12,suca,2,44,101,1,3,44
103,cot,0.99994195,0.99994195,0,basic_no_format,2.0,cot,103,The,1234,12,suca,3,1,103,1,3,45
104,cot,0.99994606,0.9999461,0,basic_no_format,2.0,cot,104, user,1235,12,suca,3,2,104,1,3,46
105,cot,0.9999976,0.9999976,0,basic_no_format,2.0,cot,105, wants,1236,12,suca,3,3,105,1,3,47
106,cot,0.9997712,0.9997712,0,basic_no_format,2.0,cot,106, a,1237,12,suca,3,4,106,1,3,48
107,cot,0.9753506,0.9753507,0,basic_no_format,2.0,cot,107, concise,1238,12,suca,3,5,107,1,3,49
108,cot,0.9998135,0.9998135,0,basic_no_format,2.0,cot,108, yet,1239,12,suca,3,6,108,1,3,50
109,cot,0.9983566,0.9983565,0,basic_no_format,2.0,cot,109, informative,1240,12,suca,3,7,109,1,3,51
110,cot,0.9996339,0.9996339,0,basic_no_format,2.0,cot,110, answer,1241,12,suca,3,8,110,1,3,52
111,cot,0.99999046,0.99999046,0,basic_no_format,2.0,cot,111,:,1242,12,suca,3,9,111,1,3,53
112,cot,0.99975544,0.99975544,0,basic_no_format,2.0,cot,112, how,1243,12,suca,3,10,112,1,3,54
