prompt_key,base_message_type,target_role,n_tokens,mean_probability,subset,observed_percent
basic_no_format,assistant,assistant,582,0.9770531,full_labeled_tokens,97.70531
basic_no_format,assistant,cot,582,0.020793486,full_labeled_tokens,2.0793486
basic_no_format,assistant,system,582,0.0003445948,full_labeled_tokens,0.03445948
basic_no_format,assistant,user,582,0.0018088279,full_labeled_tokens,0.18088278
basic_no_format,cot,assistant,179,0.20759708,full_labeled_tokens,20.759708
basic_no_format,cot,cot,179,0.71043557,full_labeled_tokens,71.04356
basic_no_format,cot,system,179,0.00052425306,full_labeled_tokens,0.052425306
basic_no_format,cot,user,179,0.08144308,full_labeled_tokens,8.144308
basic_no_format,system,assistant,57,0.00011055755,full_labeled_tokens,0.011055755
basic_no_format,system,cot,57,0.47102416,full_labeled_tokens,47.102417
basic_no_format,system,system,57,0.19492477,full_labeled_tokens,19.492477
basic_no_format,system,user,57,0.3339405,full_labeled_tokens,33.39405
basic_no_format,user,assistant,97,0.2535748,full_labeled_tokens,25.35748
basic_no_format,user,cot,97,0.05568297,full_labeled_tokens,5.568297
basic_no_format,user,system,97,0.0010872609,full_labeled_tokens,0.10872609
basic_no_format,user,user,97,0.689655,full_labeled_tokens,68.9655
everything_in_user_tags,assistant,assistant,582,0.9794447,full_labeled_tokens,97.944466
everything_in_user_tags,assistant,cot,582,0.018690947,full_labeled_tokens,1.8690947
everything_in_user_tags,assistant,system,582,0.00032376815,full_labeled_tokens,0.032376815
everything_in_user_tags,assistant,user,582,0.0015405728,full_labeled_tokens,0.15405728
everything_in_user_tags,cot,assistant,179,0.20873533,full_labeled_tokens,20.873533
everything_in_user_tags,cot,cot,179,0.7097499,full_labeled_tokens,70.97499
everything_in_user_tags,cot,system,179,0.00049886905,full_labeled_tokens,0.049886905
everything_in_user_tags,cot,user,179,0.081015915,full_labeled_tokens,8.101591
everything_in_user_tags,system,assistant,57,0.00010948702,full_labeled_tokens,0.010948702
everything_in_user_tags,system,cot,57,0.30938807,full_labeled_tokens,30.938807
everything_in_user_tags,system,system,57,0.04103747,full_labeled_tokens,4.103747
everything_in_user_tags,system,user,57,0.64946496,full_labeled_tokens,64.946495
everything_in_user_tags,user,assistant,97,0.24336089,full_labeled_tokens,24.33609
everything_in_user_tags,user,cot,97,0.042668562,full_labeled_tokens,4.266856
everything_in_user_tags,user,system,97,0.00057026447,full_labeled_tokens,0.057026446
everything_in_user_tags,user,user,97,0.7134003,full_labeled_tokens,71.34003
proper_tags,assistant,assistant,582,0.99232435,full_labeled_tokens,99.23244
proper_tags,assistant,cot,582,0.007221376,full_labeled_tokens,0.72213763
proper_tags,assistant,system,582,0.00010440572,full_labeled_tokens,0.010440572
proper_tags,assistant,user,582,0.00034986506,full_labeled_tokens,0.034986507
proper_tags,cot,assistant,179,0.33581772,full_labeled_tokens,33.58177
proper_tags,cot,cot,179,0.6402582,full_labeled_tokens,64.02582
proper_tags,cot,system,179,0.000372462,full_labeled_tokens,0.0372462
proper_tags,cot,user,179,0.023551632,full_labeled_tokens,2.355163
proper_tags,system,assistant,57,0.00011482438,full_labeled_tokens,0.011482438
proper_tags,system,cot,57,0.4299936,full_labeled_tokens,42.99936
proper_tags,system,system,57,0.124064356,full_labeled_tokens,12.406436
proper_tags,system,user,57,0.44582722,full_labeled_tokens,44.58272
proper_tags,user,assistant,97,0.17860174,full_labeled_tokens,17.860174
proper_tags,user,cot,97,0.022809628,full_labeled_tokens,2.280963
proper_tags,user,system,97,0.0008627148,full_labeled_tokens,0.08627148
proper_tags,user,user,97,0.797726,full_labeled_tokens,79.7726
basic_no_format,assistant,assistant,320,0.9827728,figures_20_21_22_first_160,98.27728
basic_no_format,assistant,cot,320,0.014180082,figures_20_21_22_first_160,1.4180082
basic_no_format,assistant,system,320,0.0003814668,figures_20_21_22_first_160,0.03814668
basic_no_format,assistant,user,320,0.002665583,figures_20_21_22_first_160,0.2665583
basic_no_format,cot,assistant,179,0.20759708,figures_20_21_22_first_160,20.759708
basic_no_format,cot,cot,179,0.71043557,figures_20_21_22_first_160,71.04356
basic_no_format,cot,system,179,0.00052425306,figures_20_21_22_first_160,0.052425306
basic_no_format,cot,user,179,0.08144308,figures_20_21_22_first_160,8.144308
basic_no_format,user,assistant,97,0.2535748,figures_20_21_22_first_160,25.35748
basic_no_format,user,cot,97,0.05568297,figures_20_21_22_first_160,5.568297
basic_no_format,user,system,97,0.0010872609,figures_20_21_22_first_160,0.10872609
basic_no_format,user,user,97,0.689655,figures_20_21_22_first_160,68.9655
everything_in_user_tags,assistant,assistant,320,0.9834897,figures_20_21_22_first_160,98.34897
everything_in_user_tags,assistant,cot,320,0.01378914,figures_20_21_22_first_160,1.378914
everything_in_user_tags,assistant,system,320,0.00037776178,figures_20_21_22_first_160,0.03777618
everything_in_user_tags,assistant,user,320,0.0023433531,figures_20_21_22_first_160,0.23433532
everything_in_user_tags,cot,assistant,179,0.20873533,figures_20_21_22_first_160,20.873533
everything_in_user_tags,cot,cot,179,0.7097499,figures_20_21_22_first_160,70.97499
everything_in_user_tags,cot,system,179,0.00049886905,figures_20_21_22_first_160,0.049886905
everything_in_user_tags,cot,user,179,0.081015915,figures_20_21_22_first_160,8.101591
everything_in_user_tags,user,assistant,97,0.24336089,figures_20_21_22_first_160,24.33609
everything_in_user_tags,user,cot,97,0.042668562,figures_20_21_22_first_160,4.266856
everything_in_user_tags,user,system,97,0.00057026447,figures_20_21_22_first_160,0.057026446
everything_in_user_tags,user,user,97,0.7134003,figures_20_21_22_first_160,71.34003
proper_tags,assistant,assistant,320,0.99318504,figures_20_21_22_first_160,99.318504
proper_tags,assistant,cot,320,0.0061106146,figures_20_21_22_first_160,0.61106145
proper_tags,assistant,system,320,0.00014555006,figures_20_21_22_first_160,0.014555006
proper_tags,assistant,user,320,0.0005587882,figures_20_21_22_first_160,0.055878818
proper_tags,cot,assistant,179,0.33581772,figures_20_21_22_first_160,33.58177
proper_tags,cot,cot,179,0.6402582,figures_20_21_22_first_160,64.02582
proper_tags,cot,system,179,0.000372462,figures_20_21_22_first_160,0.0372462
proper_tags,cot,user,179,0.023551632,figures_20_21_22_first_160,2.355163
proper_tags,user,assistant,97,0.17860174,figures_20_21_22_first_160,17.860174
proper_tags,user,cot,97,0.022809628,figures_20_21_22_first_160,2.280963
proper_tags,user,system,97,0.0008627148,figures_20_21_22_first_160,0.08627148
proper_tags,user,user,97,0.797726,figures_20_21_22_first_160,79.7726
basic_no_format,assistant,assistant,240,0.9813699,figure_7_matched_first_120,98.13699
basic_no_format,assistant,cot,240,0.014695672,figure_7_matched_first_120,1.4695672
basic_no_format,assistant,system,240,0.00048348127,figure_7_matched_first_120,0.04834813
basic_no_format,assistant,user,240,0.0034509238,figure_7_matched_first_120,0.3450924
basic_no_format,cot,assistant,177,0.19934537,figure_7_matched_first_120,19.934536
basic_no_format,cot,cot,177,0.7177611,figure_7_matched_first_120,71.77611
basic_no_format,cot,system,177,0.00053017685,figure_7_matched_first_120,0.053017687
basic_no_format,cot,user,177,0.08236334,figure_7_matched_first_120,8.236334
basic_no_format,user,assistant,95,0.24846943,figure_7_matched_first_120,24.846943
basic_no_format,user,cot,95,0.050164193,figure_7_matched_first_120,5.0164194
basic_no_format,user,system,95,0.0011075155,figure_7_matched_first_120,0.110751554
basic_no_format,user,user,95,0.70025885,figure_7_matched_first_120,70.02589
everything_in_user_tags,assistant,assistant,240,0.98180526,figure_7_matched_first_120,98.18053
everything_in_user_tags,assistant,cot,240,0.014688891,figure_7_matched_first_120,1.4688891
everything_in_user_tags,assistant,system,240,0.00047794223,figure_7_matched_first_120,0.047794223
everything_in_user_tags,assistant,user,240,0.0030279043,figure_7_matched_first_120,0.30279043
everything_in_user_tags,cot,assistant,177,0.20040429,figure_7_matched_first_120,20.040428
everything_in_user_tags,cot,cot,177,0.71715987,figure_7_matched_first_120,71.71599
