sample_ix,target_role,prob,prob_unrounded,prompt_ix,prompt_key,base_message_ix,base_message_type,token_in_prompt_ix,token,token_ix,layer_ix,role_space,seg_ix,token_in_seg_ix,original_token_in_prompt_ix
1,assistant,4.05e-06,4.045441e-06,0,basic_no_format,0.0,system,1,You,1132,12,suca,1,1,1
2,assistant,4.5e-07,4.540332e-07,0,basic_no_format,0.0,system,2, are,1133,12,suca,1,2,2
3,assistant,1.132e-05,1.1321459e-05,0,basic_no_format,0.0,system,3, Chat,1134,12,suca,1,3,3
4,assistant,3e-07,2.986703e-07,0,basic_no_format,0.0,system,4,GPT,1135,12,suca,1,4,4
5,assistant,2.9e-07,2.9402622e-07,0,basic_no_format,0.0,system,5,",",1136,12,suca,1,5,5
6,assistant,3e-08,3.2796294e-08,0,basic_no_format,0.0,system,6, a,1137,12,suca,1,6,6
7,assistant,6.6e-07,6.6494886e-07,0,basic_no_format,0.0,system,7, large,1138,12,suca,1,7,7
8,assistant,0.00072657,0.00072657154,0,basic_no_format,0.0,system,8, language,1139,12,suca,1,8,8
9,assistant,1.046e-05,1.0458181e-05,0,basic_no_format,0.0,system,9, model,1140,12,suca,1,9,9
10,assistant,3.7e-06,3.7029085e-06,0,basic_no_format,0.0,system,10, trained,1141,12,suca,1,10,10
11,assistant,5e-08,4.5304574e-08,0,basic_no_format,0.0,system,11, by,1142,12,suca,1,11,11
12,assistant,2.984e-05,2.9836096e-05,0,basic_no_format,0.0,system,12, Open,1143,12,suca,1,12,12
13,assistant,4e-08,4.2692374e-08,0,basic_no_format,0.0,system,13,AI,1144,12,suca,1,13,13
14,assistant,3e-08,3.1182786e-08,0,basic_no_format,0.0,system,14,".
",1145,12,suca,1,14,14
15,assistant,1.74e-06,1.7384126e-06,0,basic_no_format,0.0,system,15,Knowledge,1146,12,suca,1,15,15
16,assistant,3.346e-05,3.3456796e-05,0,basic_no_format,0.0,system,16, cutoff,1147,12,suca,1,16,16
17,assistant,2e-08,2.3615359e-08,0,basic_no_format,0.0,system,17,:,1148,12,suca,1,17,17
18,assistant,7.7e-07,7.6689577e-07,0,basic_no_format,0.0,system,18, ,1149,12,suca,1,18,18
19,assistant,4.67e-06,4.665633e-06,0,basic_no_format,0.0,system,19,202,1150,12,suca,1,19,19
20,assistant,2.48e-06,2.481236e-06,0,basic_no_format,0.0,system,20,4,1151,12,suca,1,20,20
21,assistant,6e-08,5.635375e-08,0,basic_no_format,0.0,system,21,-,1152,12,suca,1,21,21
22,assistant,5.7e-07,5.705865e-07,0,basic_no_format,0.0,system,22,06,1153,12,suca,1,22,22
23,assistant,2e-07,2.0190309e-07,0,basic_no_format,0.0,system,23,"
",1154,12,suca,1,23,23
24,assistant,0.00040781,0.0004078097,0,basic_no_format,0.0,system,24,Current,1155,12,suca,1,24,24
25,assistant,1.238e-05,1.2383574e-05,0,basic_no_format,0.0,system,25, date,1156,12,suca,1,25,25
26,assistant,5.96e-06,5.9629797e-06,0,basic_no_format,0.0,system,26,:,1157,12,suca,1,26,26
27,assistant,0.0015111,0.0015111023,0,basic_no_format,0.0,system,27, ,1158,12,suca,1,27,27
28,assistant,1.6e-07,1.6112325e-07,0,basic_no_format,0.0,system,28,202,1159,12,suca,1,28,28
29,assistant,1e-08,7.1601467e-09,0,basic_no_format,0.0,system,29,5,1160,12,suca,1,29,29
30,assistant,5.6e-07,5.5679925e-07,0,basic_no_format,0.0,system,30,-,1161,12,suca,1,30,30
31,assistant,8.5e-07,8.49641e-07,0,basic_no_format,0.0,system,31,10,1162,12,suca,1,31,31
32,assistant,1.48e-06,1.4841489e-06,0,basic_no_format,0.0,system,32,-,1163,12,suca,1,32,32
33,assistant,5e-08,5.3193943e-08,0,basic_no_format,0.0,system,33,01,1164,12,suca,1,33,33
34,assistant,7.3e-07,7.306594e-07,0,basic_no_format,0.0,system,34,"

",1165,12,suca,1,34,34
35,assistant,2.537e-05,2.537364e-05,0,basic_no_format,0.0,system,35,Reason,1166,12,suca,1,35,35
36,assistant,4.5e-07,4.5009935e-07,0,basic_no_format,0.0,system,36,ing,1167,12,suca,1,36,36
37,assistant,2e-08,2.155369e-08,0,basic_no_format,0.0,system,37,:,1168,12,suca,1,37,37
38,assistant,2.11e-06,2.1057024e-06,0,basic_no_format,0.0,system,38, medium,1169,12,suca,1,38,38
39,assistant,5e-08,4.9922996e-08,0,basic_no_format,0.0,system,39,"

",1170,12,suca,1,39,39
40,assistant,2.01e-06,2.00628e-06,0,basic_no_format,0.0,system,40,#,1171,12,suca,1,40,40
41,assistant,8.2e-06,8.200796e-06,0,basic_no_format,0.0,system,41, Valid,1172,12,suca,1,41,41
42,assistant,0.00032371,0.00032371044,0,basic_no_format,0.0,system,42, channels,1173,12,suca,1,42,42
43,assistant,1.646e-05,1.6455693e-05,0,basic_no_format,0.0,system,43,:,1174,12,suca,1,43,43
44,assistant,3.48e-06,3.4758195e-06,0,basic_no_format,0.0,system,44, analysis,1175,12,suca,1,44,44
45,assistant,7.359e-05,7.359427e-05,0,basic_no_format,0.0,system,45,",",1176,12,suca,1,45,45
46,assistant,8.48e-06,8.482113e-06,0,basic_no_format,0.0,system,46, commentary,1177,12,suca,1,46,46
47,assistant,9e-08,8.719272e-08,0,basic_no_format,0.0,system,47,",",1178,12,suca,1,47,47
