prompt_key,base_message_type,target_role,n_tokens,mean_probability,subset,observed_percent,source_percent,source,difference_percentage_points,source_denominator_status
basic_no_format,assistant,assistant,582,0.9770531,full_labeled_tokens,97.70531,92,"Appendix E, pp.21-23",5.7053070068359375,I retain each subset; the published percentage's exact denominator is not established.
basic_no_format,cot,cot,179,0.71043557,full_labeled_tokens,71.04356,82,"Appendix E, pp.21-23",-10.956443786621094,I retain each subset; the published percentage's exact denominator is not established.
basic_no_format,cot,cot,179,0.71043557,full_labeled_tokens,71.04356,83,Figure 7 caption/main text; Appendix E instead reports 82%,-11.956443786621094,I retain each subset; the published percentage's exact denominator is not established.
basic_no_format,user,user,97,0.689655,full_labeled_tokens,68.9655,75,"Appendix E, pp.21-23",-6.0345001220703125,I retain each subset; the published percentage's exact denominator is not established.
everything_in_user_tags,assistant,assistant,582,0.9794447,full_labeled_tokens,97.944466,92,"Appendix E, pp.21-23",5.944465637207031,I retain each subset; the published percentage's exact denominator is not established.
everything_in_user_tags,assistant,user,582,0.0015405728,full_labeled_tokens,0.15405728,1,"Appendix E, Experiment 3",-0.8459427207708359,I retain each subset; the published percentage's exact denominator is not established.
everything_in_user_tags,cot,cot,179,0.7097499,full_labeled_tokens,70.97499,85,"Appendix E, pp.21-23",-14.025009155273438,I retain each subset; the published percentage's exact denominator is not established.
everything_in_user_tags,cot,user,179,0.081015915,full_labeled_tokens,8.101591,2,"Appendix E, Experiment 3",6.101591110229492,I retain each subset; the published percentage's exact denominator is not established.
everything_in_user_tags,user,user,97,0.7134003,full_labeled_tokens,71.34003,82,"Appendix E, pp.21-23",-10.65997314453125,I retain each subset; the published percentage's exact denominator is not established.
proper_tags,assistant,assistant,582,0.99232435,full_labeled_tokens,99.23244,96,"Appendix E, pp.21-23",3.2324371337890625,I retain each subset; the published percentage's exact denominator is not established.
proper_tags,cot,cot,179,0.6402582,full_labeled_tokens,64.02582,85,"Appendix E, pp.21-23",-20.97418212890625,I retain each subset; the published percentage's exact denominator is not established.
proper_tags,user,user,97,0.797726,full_labeled_tokens,79.7726,74,"Appendix E, pp.21-23",5.7725982666015625,I retain each subset; the published percentage's exact denominator is not established.
basic_no_format,assistant,assistant,320,0.9827728,figures_20_21_22_first_160,98.27728,92,"Appendix E, pp.21-23",6.27728271484375,I retain each subset; the published percentage's exact denominator is not established.
basic_no_format,cot,cot,179,0.71043557,figures_20_21_22_first_160,71.04356,82,"Appendix E, pp.21-23",-10.956443786621094,I retain each subset; the published percentage's exact denominator is not established.
basic_no_format,cot,cot,179,0.71043557,figures_20_21_22_first_160,71.04356,83,Figure 7 caption/main text; Appendix E instead reports 82%,-11.956443786621094,I retain each subset; the published percentage's exact denominator is not established.
basic_no_format,user,user,97,0.689655,figures_20_21_22_first_160,68.9655,75,"Appendix E, pp.21-23",-6.0345001220703125,I retain each subset; the published percentage's exact denominator is not established.
everything_in_user_tags,assistant,assistant,320,0.9834897,figures_20_21_22_first_160,98.34897,92,"Appendix E, pp.21-23",6.348968505859375,I retain each subset; the published percentage's exact denominator is not established.
everything_in_user_tags,assistant,user,320,0.0023433531,figures_20_21_22_first_160,0.23433532,1,"Appendix E, Experiment 3",-0.7656646817922592,I retain each subset; the published percentage's exact denominator is not established.
everything_in_user_tags,cot,cot,179,0.7097499,figures_20_21_22_first_160,70.97499,85,"Appendix E, pp.21-23",-14.025009155273438,I retain each subset; the published percentage's exact denominator is not established.
everything_in_user_tags,cot,user,179,0.081015915,figures_20_21_22_first_160,8.101591,2,"Appendix E, Experiment 3",6.101591110229492,I retain each subset; the published percentage's exact denominator is not established.
everything_in_user_tags,user,user,97,0.7134003,figures_20_21_22_first_160,71.34003,82,"Appendix E, pp.21-23",-10.65997314453125,I retain each subset; the published percentage's exact denominator is not established.
proper_tags,assistant,assistant,320,0.99318504,figures_20_21_22_first_160,99.318504,96,"Appendix E, pp.21-23",3.3185043334960938,I retain each subset; the published percentage's exact denominator is not established.
proper_tags,cot,cot,179,0.6402582,figures_20_21_22_first_160,64.02582,85,"Appendix E, pp.21-23",-20.97418212890625,I retain each subset; the published percentage's exact denominator is not established.
proper_tags,user,user,97,0.797726,figures_20_21_22_first_160,79.7726,74,"Appendix E, pp.21-23",5.7725982666015625,I retain each subset; the published percentage's exact denominator is not established.
basic_no_format,assistant,assistant,240,0.9813699,figure_7_matched_first_120,98.13699,92,"Appendix E, pp.21-23",6.136993408203125,I retain each subset; the published percentage's exact denominator is not established.
basic_no_format,cot,cot,177,0.7177611,figure_7_matched_first_120,71.77611,82,"Appendix E, pp.21-23",-10.223892211914062,I retain each subset; the published percentage's exact denominator is not established.
basic_no_format,cot,cot,177,0.7177611,figure_7_matched_first_120,71.77611,83,Figure 7 caption/main text; Appendix E instead reports 82%,-11.223892211914062,I retain each subset; the published percentage's exact denominator is not established.
basic_no_format,user,user,95,0.70025885,figure_7_matched_first_120,70.02589,75,"Appendix E, pp.21-23",-4.974113464355469,I retain each subset; the published percentage's exact denominator is not established.
everything_in_user_tags,assistant,assistant,240,0.98180526,figure_7_matched_first_120,98.18053,92,"Appendix E, pp.21-23",6.1805267333984375,I retain each subset; the published percentage's exact denominator is not established.
everything_in_user_tags,assistant,user,240,0.0030279043,figure_7_matched_first_120,0.30279043,1,"Appendix E, Experiment 3",-0.6972095668315887,I retain each subset; the published percentage's exact denominator is not established.
everything_in_user_tags,cot,cot,177,0.71715987,figure_7_matched_first_120,71.71599,85,"Appendix E, pp.21-23",-13.284011840820312,I retain each subset; the published percentage's exact denominator is not established.
everything_in_user_tags,cot,user,177,0.08193135,figure_7_matched_first_120,8.193135,2,"Appendix E, Experiment 3",6.1931352615356445,I retain each subset; the published percentage's exact denominator is not established.
everything_in_user_tags,user,user,95,0.7242366,figure_7_matched_first_120,72.42366,82,"Appendix E, pp.21-23",-9.576339721679688,I retain each subset; the published percentage's exact denominator is not established.
proper_tags,assistant,assistant,240,0.9927213,figure_7_matched_first_120,99.27213,96,"Appendix E, pp.21-23",3.2721328735351562,I retain each subset; the published percentage's exact denominator is not established.
proper_tags,cot,cot,177,0.6432943,figure_7_matched_first_120,64.32943,85,"Appendix E, pp.21-23",-20.670570373535156,I retain each subset; the published percentage's exact denominator is not established.
proper_tags,user,user,95,0.8049284,figure_7_matched_first_120,80.49284,74,"Appendix E, pp.21-23",6.4928436279296875,I retain each subset; the published percentage's exact denominator is not established.
