role,pred,count,model,layer_ix,role_space
assistant,assistant,11953,gptoss-20b,12,"user,assistant"
assistant,user,2455,gptoss-20b,12,"user,assistant"
user,assistant,761,gptoss-20b,12,"user,assistant"
user,user,10563,gptoss-20b,12,"user,assistant"
assistant,assistant,9886,gptoss-20b,12,"user,assistant,tool"
assistant,tool,1728,gptoss-20b,12,"user,assistant,tool"
assistant,user,647,gptoss-20b,12,"user,assistant,tool"
tool,assistant,672,gptoss-20b,12,"user,assistant,tool"
tool,tool,8815,gptoss-20b,12,"user,assistant,tool"
tool,user,1645,gptoss-20b,12,"user,assistant,tool"
user,assistant,139,gptoss-20b,12,"user,assistant,tool"
user,tool,3455,gptoss-20b,12,"user,assistant,tool"
user,user,14732,gptoss-20b,12,"user,assistant,tool"
assistant,assistant,9015,gptoss-20b,12,"user,cot,assistant"
assistant,cot,2709,gptoss-20b,12,"user,cot,assistant"
assistant,user,537,gptoss-20b,12,"user,cot,assistant"
cot,assistant,2081,gptoss-20b,12,"user,cot,assistant"
cot,cot,7756,gptoss-20b,12,"user,cot,assistant"
cot,user,1295,gptoss-20b,12,"user,cot,assistant"
user,assistant,180,gptoss-20b,12,"user,cot,assistant"
user,cot,2676,gptoss-20b,12,"user,cot,assistant"
user,user,15470,gptoss-20b,12,"user,cot,assistant"
assistant,assistant,11857,gptoss-20b,12,"user,cot,assistant,tool"
assistant,cot,2923,gptoss-20b,12,"user,cot,assistant,tool"
assistant,tool,454,gptoss-20b,12,"user,cot,assistant,tool"
assistant,user,35,gptoss-20b,12,"user,cot,assistant,tool"
cot,assistant,2627,gptoss-20b,12,"user,cot,assistant,tool"
cot,cot,8186,gptoss-20b,12,"user,cot,assistant,tool"
cot,tool,3285,gptoss-20b,12,"user,cot,assistant,tool"
cot,user,876,gptoss-20b,12,"user,cot,assistant,tool"
tool,assistant,430,gptoss-20b,12,"user,cot,assistant,tool"
tool,cot,2799,gptoss-20b,12,"user,cot,assistant,tool"
tool,tool,7080,gptoss-20b,12,"user,cot,assistant,tool"
tool,user,1475,gptoss-20b,12,"user,cot,assistant,tool"
user,assistant,161,gptoss-20b,12,"user,cot,assistant,tool"
user,cot,523,gptoss-20b,12,"user,cot,assistant,tool"
user,tool,1842,gptoss-20b,12,"user,cot,assistant,tool"
user,user,9062,gptoss-20b,12,"user,cot,assistant,tool"
assistant,assistant,9960,gptoss-20b,12,"system,user,assistant"
assistant,system,1670,gptoss-20b,12,"system,user,assistant"
assistant,user,631,gptoss-20b,12,"system,user,assistant"
system,assistant,1751,gptoss-20b,12,"system,user,assistant"
system,system,11836,gptoss-20b,12,"system,user,assistant"
system,user,4739,gptoss-20b,12,"system,user,assistant"
user,assistant,97,gptoss-20b,12,"system,user,assistant"
user,system,3567,gptoss-20b,12,"system,user,assistant"
user,user,7468,gptoss-20b,12,"system,user,assistant"
assistant,assistant,13429,gptoss-20b,12,"system,user,assistant,tool"
assistant,system,636,gptoss-20b,12,"system,user,assistant,tool"
assistant,tool,1178,gptoss-20b,12,"system,user,assistant,tool"
assistant,user,26,gptoss-20b,12,"system,user,assistant,tool"
system,assistant,779,gptoss-20b,12,"system,user,assistant,tool"
system,system,6323,gptoss-20b,12,"system,user,assistant,tool"
system,tool,2238,gptoss-20b,12,"system,user,assistant,tool"
system,user,2248,gptoss-20b,12,"system,user,assistant,tool"
tool,assistant,1037,gptoss-20b,12,"system,user,assistant,tool"
tool,system,3374,gptoss-20b,12,"system,user,assistant,tool"
tool,tool,9221,gptoss-20b,12,"system,user,assistant,tool"
tool,user,1342,gptoss-20b,12,"system,user,assistant,tool"
user,assistant,45,gptoss-20b,12,"system,user,assistant,tool"
user,system,1531,gptoss-20b,12,"system,user,assistant,tool"
user,tool,702,gptoss-20b,12,"system,user,assistant,tool"
user,user,9506,gptoss-20b,12,"system,user,assistant,tool"
assistant,assistant,11887,gptoss-20b,12,"system,user,cot,assistant"
assistant,cot,2969,gptoss-20b,12,"system,user,cot,assistant"
assistant,system,393,gptoss-20b,12,"system,user,cot,assistant"
assistant,user,20,gptoss-20b,12,"system,user,cot,assistant"
cot,assistant,2720,gptoss-20b,12,"system,user,cot,assistant"
cot,cot,9199,gptoss-20b,12,"system,user,cot,assistant"
cot,system,2222,gptoss-20b,12,"system,user,cot,assistant"
cot,user,833,gptoss-20b,12,"system,user,cot,assistant"
system,assistant,758,gptoss-20b,12,"system,user,cot,assistant"
system,cot,1327,gptoss-20b,12,"system,user,cot,assistant"
system,system,7051,gptoss-20b,12,"system,user,cot,assistant"
system,user,2452,gptoss-20b,12,"system,user,cot,assistant"
user,assistant,39,gptoss-20b,12,"system,user,cot,assistant"
user,cot,444,gptoss-20b,12,"system,user,cot,assistant"
user,system,1727,gptoss-20b,12,"system,user,cot,assistant"
user,user,9574,gptoss-20b,12,"system,user,cot,assistant"
assistant,assistant,12411,gptoss-20b,12,"system,user,cot,assistant,tool"
assistant,cot,1678,gptoss-20b,12,"system,user,cot,assistant,tool"
assistant,system,332,gptoss-20b,12,"system,user,cot,assistant,tool"
assistant,tool,345,gptoss-20b,12,"system,user,cot,assistant,tool"
assistant,user,27,gptoss-20b,12,"system,user,cot,assistant,tool"
cot,assistant,1116,gptoss-20b,12,"system,user,cot,assistant,tool"
cot,cot,6372,gptoss-20b,12,"system,user,cot,assistant,tool"
cot,system,1947,gptoss-20b,12,"system,user,cot,assistant,tool"
cot,tool,3533,gptoss-20b,12,"system,user,cot,assistant,tool"
cot,user,797,gptoss-20b,12,"system,user,cot,assistant,tool"
system,assistant,452,gptoss-20b,12,"system,user,cot,assistant,tool"
system,cot,1485,gptoss-20b,12,"system,user,cot,assistant,tool"
system,system,4078,gptoss-20b,12,"system,user,cot,assistant,tool"
system,tool,1382,gptoss-20b,12,"system,user,cot,assistant,tool"
system,user,2017,gptoss-20b,12,"system,user,cot,assistant,tool"
tool,assistant,471,gptoss-20b,12,"system,user,cot,assistant,tool"
tool,cot,3818,gptoss-20b,12,"system,user,cot,assistant,tool"
tool,system,3413,gptoss-20b,12,"system,user,cot,assistant,tool"
tool,tool,7561,gptoss-20b,12,"system,user,cot,assistant,tool"
tool,user,1646,gptoss-20b,12,"system,user,cot,assistant,tool"
user,assistant,59,gptoss-20b,12,"system,user,cot,assistant,tool"
user,cot,308,gptoss-20b,12,"system,user,cot,assistant,tool"
user,system,1738,gptoss-20b,12,"system,user,cot,assistant,tool"
user,tool,884,gptoss-20b,12,"system,user,cot,assistant,tool"
user,user,9857,gptoss-20b,12,"system,user,cot,assistant,tool"
