layer_ix,role_space,local_fit_index,local_accuracy_log_rounded,local_nll_log_rounded,local_test_token_rows,reference_correct_tokens,reference_test_token_rows,reference_accuracy_from_confusions,difference_percentage_points,absolute_difference_percentage_points,denominators_equal,local_warning_count
0,sua,5,0.228,1.176,41719,9492,41719,0.2275222320765119,0.04777679234881094,0.04777679234881094,True,0
0,suat,6,0.185,1.442,53615,9939,53615,0.1853772265224284,-0.03772265224284144,0.03772265224284144,True,1
0,suca,7,0.158,1.446,53615,8479,53615,0.15814604121980788,-0.014604121980787976,0.014604121980787976,True,1
0,sucat,8,0.143,1.681,67727,9682,67727,0.14295628036086053,0.00437196391394612,0.00437196391394612,True,1
0,ua,1,0.463,0.732,25732,11935,25732,0.46381936887921654,-0.08193688792165199,0.08193688792165199,True,1
0,uat,2,0.289,1.163,41719,12030,41719,0.288357822574846,0.06421774251539891,0.06421774251539891,True,1
0,uca,3,0.249,1.171,41719,10370,41719,0.2485677988446511,0.04322011553488936,0.04322011553488936,True,1
0,ucat,4,0.186,1.445,53615,9987,53615,0.18627249836799403,-0.027249836799403404,0.027249836799403404,True,0
2,sua,37,0.347,1.149,41719,14475,41719,0.34696421294853663,0.0035787051463342934,0.0035787051463342934,True,0
2,suat,38,0.363,1.288,53615,19434,53615,0.362473188473375,0.052681152662498176,0.052681152662498176,True,1
2,suca,39,0.263,1.323,53615,14058,53615,0.26220274177002706,0.07972582299729525,0.07972582299729525,True,1
2,sucat,40,0.276,1.584,67727,18676,67727,0.27575413055354586,0.02458694464541611,0.02458694464541611,True,0
2,ua,33,0.707,0.578,25732,18198,25732,0.7072128089538318,-0.02128089538318001,0.02128089538318001,True,0
2,uat,34,0.514,1.053,41719,21434,41719,0.5137707039957813,0.022929600421872642,0.022929600421872642,True,1
2,uca,35,0.43,1.075,41719,17942,41719,0.43006783479949184,-0.006783479949185045,0.006783479949185045,True,1
2,ucat,36,0.355,1.308,53615,19063,53615,0.3555534831670242,-0.05534831670241935,0.05534831670241935,True,1
