role,pred,count,model,layer_ix,role_space
assistant,assistant,6316,gptoss-20b,0,"user,assistant"
assistant,user,8092,gptoss-20b,0,"user,assistant"
user,assistant,5705,gptoss-20b,0,"user,assistant"
user,user,5619,gptoss-20b,0,"user,assistant"
assistant,assistant,10094,gptoss-20b,2,"user,assistant"
assistant,user,4314,gptoss-20b,2,"user,assistant"
user,assistant,3220,gptoss-20b,2,"user,assistant"
user,user,8104,gptoss-20b,2,"user,assistant"
assistant,assistant,2769,gptoss-20b,0,"user,assistant,tool"
assistant,tool,5206,gptoss-20b,0,"user,assistant,tool"
assistant,user,4286,gptoss-20b,0,"user,assistant,tool"
tool,assistant,4276,gptoss-20b,0,"user,assistant,tool"
tool,tool,3816,gptoss-20b,0,"user,assistant,tool"
tool,user,3040,gptoss-20b,0,"user,assistant,tool"
user,assistant,5543,gptoss-20b,0,"user,assistant,tool"
user,tool,7338,gptoss-20b,0,"user,assistant,tool"
user,user,5445,gptoss-20b,0,"user,assistant,tool"
assistant,assistant,6135,gptoss-20b,2,"user,assistant,tool"
assistant,tool,3297,gptoss-20b,2,"user,assistant,tool"
assistant,user,2829,gptoss-20b,2,"user,assistant,tool"
tool,assistant,3531,gptoss-20b,2,"user,assistant,tool"
tool,tool,5494,gptoss-20b,2,"user,assistant,tool"
tool,user,2107,gptoss-20b,2,"user,assistant,tool"
user,assistant,4008,gptoss-20b,2,"user,assistant,tool"
user,tool,4513,gptoss-20b,2,"user,assistant,tool"
user,user,9805,gptoss-20b,2,"user,assistant,tool"
assistant,assistant,2202,gptoss-20b,0,"user,cot,assistant"
assistant,cot,5484,gptoss-20b,0,"user,cot,assistant"
assistant,user,4575,gptoss-20b,0,"user,cot,assistant"
cot,assistant,5334,gptoss-20b,0,"user,cot,assistant"
cot,cot,2414,gptoss-20b,0,"user,cot,assistant"
cot,user,3384,gptoss-20b,0,"user,cot,assistant"
user,assistant,5913,gptoss-20b,0,"user,cot,assistant"
user,cot,6659,gptoss-20b,0,"user,cot,assistant"
user,user,5754,gptoss-20b,0,"user,cot,assistant"
assistant,assistant,3557,gptoss-20b,2,"user,cot,assistant"
assistant,cot,5526,gptoss-20b,2,"user,cot,assistant"
assistant,user,3178,gptoss-20b,2,"user,cot,assistant"
cot,assistant,5932,gptoss-20b,2,"user,cot,assistant"
cot,cot,3286,gptoss-20b,2,"user,cot,assistant"
cot,user,1914,gptoss-20b,2,"user,cot,assistant"
user,assistant,3658,gptoss-20b,2,"user,cot,assistant"
user,cot,3569,gptoss-20b,2,"user,cot,assistant"
user,user,11099,gptoss-20b,2,"user,cot,assistant"
assistant,assistant,1307,gptoss-20b,0,"user,cot,assistant,tool"
assistant,cot,3590,gptoss-20b,0,"user,cot,assistant,tool"
assistant,tool,4770,gptoss-20b,0,"user,cot,assistant,tool"
assistant,user,5602,gptoss-20b,0,"user,cot,assistant,tool"
cot,assistant,3316,gptoss-20b,0,"user,cot,assistant,tool"
cot,cot,1658,gptoss-20b,0,"user,cot,assistant,tool"
cot,tool,4536,gptoss-20b,0,"user,cot,assistant,tool"
cot,user,5464,gptoss-20b,0,"user,cot,assistant,tool"
tool,assistant,2350,gptoss-20b,0,"user,cot,assistant,tool"
tool,cot,2482,gptoss-20b,0,"user,cot,assistant,tool"
tool,tool,3010,gptoss-20b,0,"user,cot,assistant,tool"
tool,user,3942,gptoss-20b,0,"user,cot,assistant,tool"
user,assistant,1963,gptoss-20b,0,"user,cot,assistant,tool"
user,cot,2569,gptoss-20b,0,"user,cot,assistant,tool"
user,tool,3044,gptoss-20b,0,"user,cot,assistant,tool"
user,user,4012,gptoss-20b,0,"user,cot,assistant,tool"
assistant,assistant,3456,gptoss-20b,2,"user,cot,assistant,tool"
assistant,cot,6041,gptoss-20b,2,"user,cot,assistant,tool"
assistant,tool,3483,gptoss-20b,2,"user,cot,assistant,tool"
assistant,user,2289,gptoss-20b,2,"user,cot,assistant,tool"
cot,assistant,6409,gptoss-20b,2,"user,cot,assistant,tool"
cot,cot,3483,gptoss-20b,2,"user,cot,assistant,tool"
cot,tool,3124,gptoss-20b,2,"user,cot,assistant,tool"
cot,user,1958,gptoss-20b,2,"user,cot,assistant,tool"
tool,assistant,1565,gptoss-20b,2,"user,cot,assistant,tool"
tool,cot,1861,gptoss-20b,2,"user,cot,assistant,tool"
tool,tool,5728,gptoss-20b,2,"user,cot,assistant,tool"
tool,user,2630,gptoss-20b,2,"user,cot,assistant,tool"
user,assistant,1709,gptoss-20b,2,"user,cot,assistant,tool"
user,cot,1433,gptoss-20b,2,"user,cot,assistant,tool"
user,tool,2050,gptoss-20b,2,"user,cot,assistant,tool"
user,user,6396,gptoss-20b,2,"user,cot,assistant,tool"
assistant,assistant,4819,gptoss-20b,0,"system,user,assistant"
assistant,system,2240,gptoss-20b,0,"system,user,assistant"
assistant,user,5202,gptoss-20b,0,"system,user,assistant"
system,assistant,7704,gptoss-20b,0,"system,user,assistant"
system,system,1920,gptoss-20b,0,"system,user,assistant"
system,user,8702,gptoss-20b,0,"system,user,assistant"
user,assistant,5438,gptoss-20b,0,"system,user,assistant"
user,system,2941,gptoss-20b,0,"system,user,assistant"
user,user,2753,gptoss-20b,0,"system,user,assistant"
assistant,assistant,7521,gptoss-20b,2,"system,user,assistant"
assistant,system,1847,gptoss-20b,2,"system,user,assistant"
assistant,user,2893,gptoss-20b,2,"system,user,assistant"
system,assistant,5155,gptoss-20b,2,"system,user,assistant"
system,system,3738,gptoss-20b,2,"system,user,assistant"
system,user,9433,gptoss-20b,2,"system,user,assistant"
user,assistant,3317,gptoss-20b,2,"system,user,assistant"
user,system,4599,gptoss-20b,2,"system,user,assistant"
user,user,3216,gptoss-20b,2,"system,user,assistant"
assistant,assistant,2697,gptoss-20b,0,"system,user,assistant,tool"
assistant,system,3750,gptoss-20b,0,"system,user,assistant,tool"
assistant,tool,4989,gptoss-20b,0,"system,user,assistant,tool"
assistant,user,3833,gptoss-20b,0,"system,user,assistant,tool"
system,assistant,2593,gptoss-20b,0,"system,user,assistant,tool"
system,system,1899,gptoss-20b,0,"system,user,assistant,tool"
system,tool,2825,gptoss-20b,0,"system,user,assistant,tool"
system,user,4271,gptoss-20b,0,"system,user,assistant,tool"
tool,assistant,4216,gptoss-20b,0,"system,user,assistant,tool"
tool,system,3569,gptoss-20b,0,"system,user,assistant,tool"
tool,tool,3284,gptoss-20b,0,"system,user,assistant,tool"
tool,user,3905,gptoss-20b,0,"system,user,assistant,tool"
user,assistant,2473,gptoss-20b,0,"system,user,assistant,tool"
user,system,4111,gptoss-20b,0,"system,user,assistant,tool"
user,tool,3141,gptoss-20b,0,"system,user,assistant,tool"
user,user,2059,gptoss-20b,0,"system,user,assistant,tool"
assistant,assistant,7416,gptoss-20b,2,"system,user,assistant,tool"
assistant,system,1835,gptoss-20b,2,"system,user,assistant,tool"
assistant,tool,4385,gptoss-20b,2,"system,user,assistant,tool"
assistant,user,1633,gptoss-20b,2,"system,user,assistant,tool"
system,assistant,2348,gptoss-20b,2,"system,user,assistant,tool"
system,system,2320,gptoss-20b,2,"system,user,assistant,tool"
system,tool,1607,gptoss-20b,2,"system,user,assistant,tool"
system,user,5313,gptoss-20b,2,"system,user,assistant,tool"
tool,assistant,4592,gptoss-20b,2,"system,user,assistant,tool"
tool,system,1714,gptoss-20b,2,"system,user,assistant,tool"
tool,tool,6564,gptoss-20b,2,"system,user,assistant,tool"
tool,user,2104,gptoss-20b,2,"system,user,assistant,tool"
user,assistant,1525,gptoss-20b,2,"system,user,assistant,tool"
user,system,5427,gptoss-20b,2,"system,user,assistant,tool"
user,tool,1698,gptoss-20b,2,"system,user,assistant,tool"
user,user,3134,gptoss-20b,2,"system,user,assistant,tool"
assistant,assistant,1962,gptoss-20b,0,"system,user,cot,assistant"
assistant,cot,5144,gptoss-20b,0,"system,user,cot,assistant"
assistant,system,4069,gptoss-20b,0,"system,user,cot,assistant"
assistant,user,4094,gptoss-20b,0,"system,user,cot,assistant"
cot,assistant,4733,gptoss-20b,0,"system,user,cot,assistant"
cot,cot,2354,gptoss-20b,0,"system,user,cot,assistant"
cot,system,3768,gptoss-20b,0,"system,user,cot,assistant"
cot,user,4119,gptoss-20b,0,"system,user,cot,assistant"
system,assistant,2321,gptoss-20b,0,"system,user,cot,assistant"
system,cot,2846,gptoss-20b,0,"system,user,cot,assistant"
system,system,1978,gptoss-20b,0,"system,user,cot,assistant"
system,user,4443,gptoss-20b,0,"system,user,cot,assistant"
user,assistant,2493,gptoss-20b,0,"system,user,cot,assistant"
user,cot,2594,gptoss-20b,0,"system,user,cot,assistant"
user,system,4512,gptoss-20b,0,"system,user,cot,assistant"
user,user,2185,gptoss-20b,0,"system,user,cot,assistant"
assistant,assistant,4020,gptoss-20b,2,"system,user,cot,assistant"
assistant,cot,7452,gptoss-20b,2,"system,user,cot,assistant"
assistant,system,1994,gptoss-20b,2,"system,user,cot,assistant"
assistant,user,1803,gptoss-20b,2,"system,user,cot,assistant"
cot,assistant,7478,gptoss-20b,2,"system,user,cot,assistant"
cot,cot,4291,gptoss-20b,2,"system,user,cot,assistant"
cot,system,1453,gptoss-20b,2,"system,user,cot,assistant"
cot,user,1752,gptoss-20b,2,"system,user,cot,assistant"
system,assistant,1857,gptoss-20b,2,"system,user,cot,assistant"
system,cot,1597,gptoss-20b,2,"system,user,cot,assistant"
system,system,2438,gptoss-20b,2,"system,user,cot,assistant"
system,user,5696,gptoss-20b,2,"system,user,cot,assistant"
user,assistant,1239,gptoss-20b,2,"system,user,cot,assistant"
user,cot,1397,gptoss-20b,2,"system,user,cot,assistant"
user,system,5839,gptoss-20b,2,"system,user,cot,assistant"
user,user,3309,gptoss-20b,2,"system,user,cot,assistant"
assistant,assistant,1115,gptoss-20b,0,"system,user,cot,assistant,tool"
assistant,cot,3816,gptoss-20b,0,"system,user,cot,assistant,tool"
assistant,system,3578,gptoss-20b,0,"system,user,cot,assistant,tool"
assistant,tool,3382,gptoss-20b,0,"system,user,cot,assistant,tool"
assistant,user,2902,gptoss-20b,0,"system,user,cot,assistant,tool"
cot,assistant,2515,gptoss-20b,0,"system,user,cot,assistant,tool"
cot,cot,2028,gptoss-20b,0,"system,user,cot,assistant,tool"
cot,system,2855,gptoss-20b,0,"system,user,cot,assistant,tool"
cot,tool,3876,gptoss-20b,0,"system,user,cot,assistant,tool"
cot,user,2491,gptoss-20b,0,"system,user,cot,assistant,tool"
system,assistant,1619,gptoss-20b,0,"system,user,cot,assistant,tool"
system,cot,1521,gptoss-20b,0,"system,user,cot,assistant,tool"
system,system,1696,gptoss-20b,0,"system,user,cot,assistant,tool"
system,tool,1620,gptoss-20b,0,"system,user,cot,assistant,tool"
system,user,2958,gptoss-20b,0,"system,user,cot,assistant,tool"
