layer_ix,role_space,correct_local,denominator_local,accuracy_local,correct_reference,denominator_reference,accuracy_reference,difference_percentage_points
0,"system,user,assistant",9497,41719,0.22764208154557874,9492,41719,0.2275222320765119,0.011984946906684613
0,"system,user,assistant,tool",9942,53615,0.18543318101277628,9939,53615,0.1853772265224284,0.005595449034787037
0,"system,user,cot,assistant",8469,53615,0.15795952625198173,8479,53615,0.15814604121980788,-0.01865149678261513
0,"system,user,cot,assistant,tool",9715,67727,0.14344353064508986,9682,67727,0.14295628036086053,0.048725028422932914
0,"user,assistant",11925,25732,0.4634307477071351,11935,25732,0.46381936887921654,-0.03886211720814381
0,"user,assistant,tool",12040,41719,0.2885975215129797,12030,41719,0.288357822574846,0.023969893813369225
0,"user,cot,assistant",10403,41719,0.24935880534049235,10370,41719,0.2485677988446511,0.079100649584124
0,"user,cot,assistant,tool",9959,53615,0.18575025645808077,9987,53615,0.18627249836799403,-0.05222419099132625
2,"system,user,assistant",14494,41719,0.3474196409309907,14475,41719,0.34696421294853663,0.04554279824540708
2,"system,user,assistant,tool",19454,53615,0.3628462184090273,19434,53615,0.362473188473375,0.03730299356523026
2,"system,user,cot,assistant",14077,53615,0.26255712020889677,14058,53615,0.26220274177002706,0.03543784388697069
2,"system,user,cot,assistant,tool",18668,67727,0.2756360092725206,18676,67727,0.27575413055354586,-0.011812128102528519
2,"user,assistant",18187,25732,0.7067853256645422,18198,25732,0.7072128089538318,-0.042748328928954304
2,"user,assistant,tool",21440,41719,0.5139145233586615,21434,41719,0.5137707039957813,0.014381936288021535
2,"user,cot,assistant",17946,41719,0.4301637143747453,17942,41719,0.43006783479949184,0.00958795752534769
2,"user,cot,assistant,tool",19056,53615,0.35542292268954584,19063,53615,0.3555534831670242,-0.013056047747833643
4,"system,user,assistant",16488,41719,0.39521560919485127,16487,41719,0.3951916393010379,0.0023969893813369225
4,"system,user,assistant,tool",20618,53615,0.3845565606639933,20623,53615,0.3846498181479064,-0.009325748391308952
4,"system,user,cot,assistant",16395,53615,0.3057912897510025,16395,53615,0.3057912897510025,0.0
4,"system,user,cot,assistant,tool",20191,67727,0.2981233481477107,20195,67727,0.29818240878822333,-0.005906064051264259
4,"user,assistant",16674,25732,0.6479869423286181,16671,25732,0.6478703559769936,0.011658635162448139
4,"user,assistant,tool",22664,41719,0.5432536733862269,22670,41719,0.5433974927491071,-0.014381936288021535
4,"user,cot,assistant",19431,41719,0.4657590066876004,19422,41719,0.46554327764328,0.021572904432037854
4,"user,cot,assistant,tool",20302,53615,0.3786626876806864,20314,53615,0.37888650564207776,-0.022381796139137045
6,"system,user,assistant",24740,41719,0.5930151729427838,24763,41719,0.5935664805004914,-0.05513075577076032
6,"system,user,assistant,tool",33549,53615,0.6257390655600112,33531,53615,0.6254033386179241,0.03357269420871667
