layer_ix,role_space,role,correct_local,denominator_local,accuracy_local,correct_reference,denominator_reference,accuracy_reference,difference_percentage_points
0,"system,user,assistant",assistant,4832,12261,0.39409509827909633,4819,12261,0.39303482587064675,0.10602724084495807
0,"system,user,assistant",system,1928,18326,0.1052057186510968,1920,18326,0.1047691803994325,0.04365382516643007
0,"system,user,assistant",user,2737,11132,0.24586776859504134,2753,11132,0.24730506647502695,-0.14372978799856162
0,"system,user,assistant,tool",assistant,2700,15269,0.17682886895016045,2697,15269,0.17663239242910472,0.019647652105572733
0,"system,user,assistant,tool",system,1905,11588,0.16439420089748016,1899,11588,0.16387642388677942,0.05177770107007429
0,"system,user,assistant,tool",tool,3291,14974,0.21978095365299852,3284,14974,0.2193134766929344,0.0467476960064106
0,"system,user,assistant,tool",user,2046,11784,0.17362525458248473,2059,11784,0.17472844534962662,-0.11031907671418817
0,"system,user,cot,assistant",assistant,1942,15269,0.12718580129674503,1962,15269,0.12849564477044992,-0.13098434737048859
0,"system,user,cot,assistant",cot,2378,14974,0.1588086015760652,2354,14974,0.15720582342727393,0.16027781487912562
0,"system,user,cot,assistant",system,1968,11588,0.16983085950983776,1978,11588,0.17069382119433898,-0.08629616845012289
0,"system,user,cot,assistant",user,2181,11784,0.18508146639511203,2185,11784,0.18542090970807876,-0.03394433129667307
0,"system,user,cot,assistant,tool",assistant,1077,14793,0.07280470492800649,1115,14793,0.07537348746028527,-0.2568782532278782
0,"system,user,cot,assistant,tool",cot,2090,13765,0.1518343625136215,2028,13765,0.14733018525245187,0.45041772611696396
0,"system,user,cot,assistant,tool",system,1747,9414,0.18557467601444658,1696,9414,0.18015721266199278,0.54174633524538
0,"system,user,cot,assistant,tool",tool,2863,16909,0.16931811461351942,2826,16909,0.1671299308060796,0.21881838074398197
0,"system,user,cot,assistant,tool",user,1938,12846,0.1508640822045773,2017,12846,0.1570138564533707,-0.6149774248793399
0,"user,assistant",assistant,6308,14408,0.43781232648528595,6316,14408,0.43836757357023876,-0.05552470849528035
0,"user,assistant",user,5617,11324,0.49602613917343696,5619,11324,0.4962027552101731,-0.017661603673613246
0,"user,assistant,tool",assistant,2776,12261,0.2264089389119974,2769,12261,0.22583802299975533,0.057091591224206484
0,"user,assistant,tool",tool,3800,11132,0.3413582464965864,3816,11132,0.34279554437657206,-0.1437297879985644
0,"user,assistant,tool",user,5464,18326,0.29815562588671835,5445,18326,0.29711884753901563,0.10367783477027159
0,"user,cot,assistant",assistant,2229,12261,0.1817959383410815,2202,12261,0.17959383410814778,0.22021042329337104
0,"user,cot,assistant",cot,2423,11132,0.2176607977003234,2414,11132,0.21685231764283147,0.08084800574919282
0,"user,cot,assistant",user,5751,18326,0.31381643566517514,5754,18326,0.3139801375095493,-0.016370184437414226
0,"user,cot,assistant,tool",assistant,1303,15269,0.08533630231187374,1307,15269,0.08559827100661471,-0.02619686947409744
0,"user,cot,assistant,tool",cot,1652,14974,0.11032456257513022,1658,14974,0.11072525711232803,-0.04006945371978071
0,"user,cot,assistant,tool",tool,2997,11784,0.25432790224032586,3010,11784,0.25543109300746775,-0.11031907671418817
0,"user,cot,assistant,tool",user,4007,11588,0.34578874697963413,4012,11588,0.3462202278218847,-0.04314808422505867
2,"system,user,assistant",assistant,7519,12261,0.613245249164016,7521,12261,0.6134083679960851,-0.016311883206909794
2,"system,user,assistant",system,3739,18326,0.2040270653716032,3738,18326,0.20397249809014514,0.005456728145805667
2,"system,user,assistant",user,3236,11132,0.29069349622709306,3216,11132,0.28889687387711105,0.17966223499820133
2,"system,user,assistant,tool",assistant,7419,15269,0.4858864365708298,7416,15269,0.48568996004977405,0.019647652105575508
2,"system,user,assistant,tool",system,2317,11588,0.19994822229892992,2320,11588,0.2002071108042803,-0.025888850535038532
2,"system,user,assistant,tool",tool,6575,14974,0.43909443034593293,6564,14974,0.4383598236944036,0.07346066515293015
2,"system,user,assistant,tool",user,3143,11784,0.26671758316361166,3134,11784,0.26595383570943654,0.07637474541751232
2,"system,user,cot,assistant",assistant,4028,15269,0.2638024756041653,4020,15269,0.26327853821468333,0.052393738948197655
2,"system,user,cot,assistant",cot,4302,14974,0.28729798317082944,4291,14974,0.28656337651930014,0.07346066515293015
2,"system,user,cot,assistant",system,2436,11588,0.2102174663444943,2438,11588,0.21039005868139454,-0.017259233690022913
2,"system,user,cot,assistant",user,3311,11784,0.2809742023082145,3309,11784,0.28080448065173114,0.016972165648337922
2,"system,user,cot,assistant,tool",assistant,3004,14793,0.2030690191306699,3010,14793,0.20347461637260866,-0.040559724193875435
2,"system,user,cot,assistant,tool",cot,3497,13765,0.2540501271340356,3506,13765,0.2547039593171086,-0.0653832183073022
2,"system,user,cot,assistant,tool",system,2064,9414,0.21924792861695347,2073,9414,0.22020395156150413,-0.09560229445506607
2,"system,user,cot,assistant,tool",tool,7093,16909,0.4194807498965048,7090,16909,0.4193033295877935,0.017742030871131798
2,"system,user,cot,assistant,tool",user,3010,12846,0.23431418340339405,2997,12846,0.2333021952358711,0.10119881675229592
2,"user,assistant",assistant,10082,14408,0.6997501388117713,10094,14408,0.7005830094392005,-0.08328706274292053
2,"user,assistant",user,8105,11324,0.7157364888731896,8104,11324,0.7156481808548216,0.008830801836801072
2,"user,assistant,tool",assistant,6143,12261,0.5010194927004322,6135,12261,0.5003670173721556,0.06524753282766138
2,"user,assistant,tool",tool,5511,11132,0.4950592885375494,5494,11132,0.4935321595400647,0.15271289974846947
2,"user,assistant,tool",user,9786,18326,0.5339954163483576,9805,18326,0.5350321946960602,-0.10367783477026604
2,"user,cot,assistant",assistant,3547,12261,0.2892912486746595,3557,12261,0.2901068428350053,-0.08155941603458228
2,"user,cot,assistant",cot,3279,11132,0.29455623427955446,3286,11132,0.29518505210204815,-0.0628817822493688
