prompt_key,base_message_type,target_role,n_tokens,mean_probability,subset,observed_percent,source_percent,source,difference_percentage_points,source_denominator_status
basic_no_format,assistant,assistant,582,0.9770530926116839,full_labeled_tokens,97.7053092611684,92,"Appendix E, pp.21-23",5.705309261168395,I retain each subset; the published percentage's exact denominator is not established.
basic_no_format,cot,cot,179,0.7104355743016759,full_labeled_tokens,71.0435574301676,82,"Appendix E, pp.21-23",-10.956442569832404,I retain each subset; the published percentage's exact denominator is not established.
basic_no_format,cot,cot,179,0.7104355743016759,full_labeled_tokens,71.0435574301676,83,Figure 7 caption/main text; Appendix E instead reports 82%,-11.956442569832404,I retain each subset; the published percentage's exact denominator is not established.
basic_no_format,user,user,97,0.6896549941237113,full_labeled_tokens,68.96549941237113,75,"Appendix E, pp.21-23",-6.0345005876288695,I retain each subset; the published percentage's exact denominator is not established.
everything_in_user_tags,assistant,assistant,582,0.9794447128865978,full_labeled_tokens,97.94447128865978,92,"Appendix E, pp.21-23",5.944471288659784,I retain each subset; the published percentage's exact denominator is not established.
everything_in_user_tags,assistant,user,582,0.0015405728694158074,full_labeled_tokens,0.15405728694158075,1,"Appendix E, Experiment 3",-0.8459427130584193,I retain each subset; the published percentage's exact denominator is not established.
everything_in_user_tags,cot,cot,179,0.7097498653072626,full_labeled_tokens,70.97498653072626,85,"Appendix E, pp.21-23",-14.025013469273745,I retain each subset; the published percentage's exact denominator is not established.
everything_in_user_tags,cot,user,179,0.08101591798882682,full_labeled_tokens,8.101591798882682,2,"Appendix E, Experiment 3",6.101591798882682,I retain each subset; the published percentage's exact denominator is not established.
everything_in_user_tags,user,user,97,0.7134002795876289,full_labeled_tokens,71.34002795876289,82,"Appendix E, pp.21-23",-10.659972041237111,I retain each subset; the published percentage's exact denominator is not established.
proper_tags,assistant,assistant,582,0.9923243555154638,full_labeled_tokens,99.23243555154639,96,"Appendix E, pp.21-23",3.232435551546388,I retain each subset; the published percentage's exact denominator is not established.
proper_tags,cot,cot,179,0.6402581993296089,full_labeled_tokens,64.02581993296089,85,"Appendix E, pp.21-23",-20.974180067039114,I retain each subset; the published percentage's exact denominator is not established.
proper_tags,user,user,97,0.7977259226804123,full_labeled_tokens,79.77259226804124,74,"Appendix E, pp.21-23",5.772592268041237,I retain each subset; the published percentage's exact denominator is not established.
basic_no_format,assistant,assistant,320,0.9827728705000001,figures_20_21_22_first_160,98.27728705000001,92,"Appendix E, pp.21-23",6.277287050000012,I retain each subset; the published percentage's exact denominator is not established.
