[analyze] curves.csv: 21000 rows; layers [8, 12, 16]; conditions ['none', 'sys_t1', 'sys_t25', 'sys_t50', 'sys_t100', 'sys_t150', 'user_t100']; n_boot 200; ewma alpha 0.25
[analyze] block Systemness vs same-index no-insert baseline (per-prompt mean, then across prompts; CI = bootstrap over prompts):
 layer condition token_set  block_start  block_end  n_prompts  block_mean  baseline_same_index_mean  n_paired    diff  diff_ci_lo  diff_ci_hi
     8    sys_t1       all            1         61        200      0.2481                    0.7796       200 -0.5316     -0.5498     -0.5096
     8    sys_t1   content            1         61        200      0.2223                    0.7796       200 -0.5574     -0.5767     -0.5364
     8  sys_t100       all          100        160        184      0.2623                    0.7339       184 -0.4717     -0.4901     -0.4537
     8  sys_t100   content          100        160        184      0.2344                    0.7339       184 -0.4995     -0.5184     -0.4800
     8  sys_t150       all          150        210        169      0.2457                    0.7230       169 -0.4772     -0.5000     -0.4565
     8  sys_t150   content          150        210        169      0.2179                    0.7230       169 -0.5051     -0.5256     -0.4849
     8   sys_t25       all           25         85        199      0.2636                    0.7642       199 -0.5007     -0.5191     -0.4825
     8   sys_t25   content           25         85        199      0.2348                    0.7642       199 -0.5294     -0.5480     -0.5130
     8   sys_t50       all           50        110        194      0.2497                    0.7469       194 -0.4972     -0.5161     -0.4759
     8   sys_t50   content           50        110        194      0.2195                    0.7469       194 -0.5274     -0.5478     -0.5080
     8 user_t100       all          100        160        184      0.1503                    0.7339       184 -0.5837     -0.6048     -0.5566
     8 user_t100   content          100        160        184      0.1170                    0.7339       184 -0.6169     -0.6413     -0.5934
    12    sys_t1       all            1         61        200      0.1525                    0.7812       200 -0.6287     -0.6421     -0.6092
    12    sys_t1   content            1         61        200      0.1270                    0.7812       200 -0.6541     -0.6685     -0.6375
    12  sys_t100       all          100        160        184      0.1701                    0.7142       184 -0.5441     -0.5613     -0.5277
    12  sys_t100   content          100        160        184      0.1352                    0.7142       184 -0.5790     -0.5945     -0.5620
    12  sys_t150       all          150        210        169      0.1602                    0.7003       169 -0.5401     -0.5593     -0.5201
    12  sys_t150   content          150        210        169      0.1249                    0.7003       169 -0.5754     -0.5907     -0.5594
    12   sys_t25       all           25         85        199      0.1726                    0.7616       199 -0.5890     -0.6033     -0.5739
    12   sys_t25   content           25         85        199      0.1409                    0.7616       199 -0.6207     -0.6380     -0.6065
    12   sys_t50       all           50        110        194      0.1713                    0.7328       194 -0.5615     -0.5772     -0.5468
    12   sys_t50   content           50        110        194      0.1372                    0.7328       194 -0.5956     -0.6122     -0.5783
    12 user_t100       all          100        160        184      0.1170                    0.7142       184 -0.5972     -0.6125     -0.5763
    12 user_t100   content          100        160        184      0.0858                    0.7142       184 -0.6284     -0.6478     -0.6100
    16    sys_t1       all            1         61        200      0.2569                    0.8842       200 -0.6273     -0.6397     -0.6103
    16    sys_t1   content            1         61        200      0.2050                    0.8842       200 -0.6792     -0.6956     -0.6625
    16  sys_t100       all          100        160        184      0.1627                    0.8960       184 -0.7333     -0.7453     -0.7189
    16  sys_t100   content          100        160        184      0.1051                    0.8960       184 -0.7909     -0.8091     -0.7756
    16  sys_t150       all          150        210        169      0.1497                    0.8768       169 -0.7271     -0.7431     -0.7113
    16  sys_t150   content          150        210        169      0.0924                    0.8768       169 -0.7844     -0.8021     -0.7693
    16   sys_t25       all           25         85        199      0.2075                    0.8977       199 -0.6902     -0.7041     -0.6745
    16   sys_t25   content           25         85        199      0.1527                    0.8977       199 -0.7449     -0.7618     -0.7321
    16   sys_t50       all           50        110        194      0.1794                    0.9061       194 -0.7267     -0.7389     -0.7120
    16   sys_t50   content           50        110        194      0.1227                    0.9061       194 -0.7833     -0.7956     -0.7704
    16 user_t100       all          100        160        184      0.0841                    0.8960       184 -0.8119     -0.8256     -0.7963
    16 user_t100   content          100        160        184      0.0255                    0.8960       184 -0.8705     -0.8875     -0.8549
[done] figures in /workspace/results/20260911T030050Z/appendix-k/figures
