layer,condition,token_set,block_start,block_end,n_prompts,block_mean,baseline_same_index_mean,n_paired,diff,diff_ci_lo,diff_ci_hi
8,sys_t1,all,1,61,200,0.24808992445468903,0.7796467542648315,200,-0.5315567851066589,-0.549807608127594,-0.5095715522766113
8,sys_t1,content,1,61,200,0.22227010130882263,0.7796467542648315,200,-0.5573766827583313,-0.5766553282737732,-0.5364388227462769
8,sys_t100,all,100,160,184,0.26225098967552185,0.7339394688606262,184,-0.47168847918510437,-0.4900769293308258,-0.45372581481933594
8,sys_t100,content,100,160,184,0.2344140112400055,0.7339394688606262,184,-0.4995254874229431,-0.5184473991394043,-0.4799779951572418
8,sys_t150,all,150,210,169,0.2457142174243927,0.7229621410369873,169,-0.4772478938102722,-0.5000326037406921,-0.45647016167640686
8,sys_t150,content,150,210,169,0.21785952150821686,0.7229621410369873,169,-0.5051026344299316,-0.5256375670433044,-0.48491519689559937
8,sys_t25,all,25,85,199,0.26357725262641907,0.764239490032196,199,-0.5006622672080994,-0.519077718257904,-0.482546865940094
8,sys_t25,content,25,85,199,0.23482194542884827,0.764239490032196,199,-0.5294176340103149,-0.5479711890220642,-0.5129650235176086
8,sys_t50,all,50,110,194,0.24968911707401276,0.7468648552894592,194,-0.4971756935119629,-0.5161042809486389,-0.4759165346622467
8,sys_t50,content,50,110,194,0.2194882482290268,0.7468648552894592,194,-0.527376651763916,-0.547753632068634,-0.5080289840698242
8,user_t100,all,100,160,184,0.1502547413110733,0.7339394688606262,184,-0.5836847424507141,-0.6048080921173096,-0.556640088558197
8,user_t100,content,100,160,184,0.117040254175663,0.7339394688606262,184,-0.616899311542511,-0.6412836909294128,-0.5934372544288635
12,sys_t1,all,1,61,200,0.15247097611427307,0.7811743021011353,200,-0.6287032961845398,-0.6420959830284119,-0.6091566681861877
12,sys_t1,content,1,61,200,0.12703758478164673,0.7811743021011353,200,-0.6541366577148438,-0.6684916615486145,-0.6375378966331482
12,sys_t100,all,100,160,184,0.17006967961788177,0.7141681909561157,184,-0.5440985560417175,-0.5613217353820801,-0.5276909470558167
12,sys_t100,content,100,160,184,0.13515180349349976,0.7141681909561157,184,-0.579016387462616,-0.5944874882698059,-0.5619618892669678
12,sys_t150,all,150,210,169,0.16015954315662384,0.7002929449081421,169,-0.5401334166526794,-0.5593453645706177,-0.5200662612915039
12,sys_t150,content,150,210,169,0.12485786527395248,0.7002929449081421,169,-0.5754350423812866,-0.5907213687896729,-0.5593675374984741
12,sys_t25,all,25,85,199,0.1725778579711914,0.7615896463394165,199,-0.5890117883682251,-0.6032509803771973,-0.5739477872848511
12,sys_t25,content,25,85,199,0.1408662050962448,0.7615896463394165,199,-0.6207234263420105,-0.6379848122596741,-0.6065226793289185
12,sys_t50,all,50,110,194,0.17131754755973816,0.732848048210144,194,-0.5615304112434387,-0.5771839022636414,-0.5468438863754272
12,sys_t50,content,50,110,194,0.13722755014896393,0.732848048210144,194,-0.5956204533576965,-0.6121569275856018,-0.5782966017723083
12,user_t100,all,100,160,184,0.11699968576431274,0.7141681909561157,184,-0.597168505191803,-0.6125324368476868,-0.5763060450553894
12,user_t100,content,100,160,184,0.08575565367937088,0.7141681909561157,184,-0.6284125447273254,-0.6477534770965576,-0.6100255846977234
16,sys_t1,all,1,61,200,0.25689220428466797,0.8841561675071716,200,-0.6272639632225037,-0.639655351638794,-0.6102579832077026
16,sys_t1,content,1,61,200,0.2050030529499054,0.8841561675071716,200,-0.6791530847549438,-0.6956049799919128,-0.6625210642814636
16,sys_t100,all,100,160,184,0.16267241537570953,0.8960015773773193,184,-0.733329176902771,-0.7452855110168457,-0.7188787460327148
16,sys_t100,content,100,160,184,0.10508754849433899,0.8960015773773193,184,-0.7909141182899475,-0.8090588450431824,-0.7755628824234009
16,sys_t150,all,150,210,169,0.14966605603694916,0.876787543296814,169,-0.7271214127540588,-0.7431403994560242,-0.7112813591957092
16,sys_t150,content,150,210,169,0.0924171432852745,0.876787543296814,169,-0.7843703627586365,-0.8021249175071716,-0.7692527770996094
16,sys_t25,all,25,85,199,0.20750264823436737,0.8976535797119141,199,-0.690151035785675,-0.70412677526474,-0.6744505167007446
16,sys_t25,content,25,85,199,0.15273980796337128,0.8976535797119141,199,-0.7449136972427368,-0.7618148922920227,-0.7320976257324219
16,sys_t50,all,50,110,194,0.1793738305568695,0.9060643911361694,194,-0.7266905307769775,-0.7389132976531982,-0.7120240926742554
16,sys_t50,content,50,110,194,0.1227412074804306,0.9060643911361694,194,-0.7833231687545776,-0.7955964803695679,-0.7704302072525024
16,user_t100,all,100,160,184,0.08408056199550629,0.8960015773773193,184,-0.8119210600852966,-0.8256432414054871,-0.7962766289710999
16,user_t100,content,100,160,184,0.02552899159491062,0.8960015773773193,184,-0.8704726099967957,-0.8874532580375671,-0.8548592329025269
