layer,condition,token_set,smoothing,token_in_prompt_ix,mean,ci_lo,ci_hi,n,input_set
8,none,all,raw,0,3.9157094e-05,3.91471e-05,3.917567e-05,200,neutral
8,none,all,raw,1,0.87288266,0.83060384,0.90645427,200,neutral
8,none,all,raw,2,0.83313537,0.79167306,0.8632507,200,neutral
8,none,all,raw,3,0.8409173,0.8080663,0.8690833,200,neutral
8,none,all,raw,4,0.8331411,0.7978562,0.8640117,200,neutral
8,none,all,raw,5,0.81645495,0.7803658,0.84703463,200,neutral
8,none,all,raw,6,0.81236076,0.77781487,0.84523857,200,neutral
8,none,all,raw,7,0.81641334,0.7793126,0.84921247,200,neutral
8,none,all,raw,8,0.77771276,0.7425836,0.8132602,200,neutral
8,none,all,raw,9,0.77316207,0.73660463,0.8105492,200,neutral
8,none,all,raw,10,0.78097427,0.7476222,0.8158522,200,neutral
8,none,all,raw,11,0.7547006,0.7136425,0.7937359,200,neutral
8,none,all,raw,12,0.76767594,0.73384583,0.8017089,200,neutral
8,none,all,raw,13,0.7943018,0.75578856,0.82534814,200,neutral
8,none,all,raw,14,0.7835288,0.7482126,0.81943274,200,neutral
8,none,all,raw,15,0.7980131,0.76759547,0.8332429,200,neutral
8,none,all,raw,16,0.7735159,0.73934907,0.80921876,199,neutral
8,none,all,raw,17,0.7906587,0.7520555,0.8221657,199,neutral
8,none,all,raw,18,0.76989335,0.7281046,0.810154,199,neutral
8,none,all,raw,19,0.7751511,0.73764795,0.8117087,199,neutral
8,none,all,raw,20,0.7740331,0.7331176,0.80758375,199,neutral
8,none,all,raw,21,0.780729,0.74179476,0.81397676,199,neutral
8,none,all,raw,22,0.7967371,0.7611685,0.83065236,199,neutral
8,none,all,raw,23,0.7720193,0.73155856,0.8033564,199,neutral
8,none,all,raw,24,0.7910082,0.754565,0.8215513,199,neutral
8,none,all,raw,25,0.7974131,0.76415896,0.8269862,199,neutral
8,none,all,raw,26,0.7631875,0.73031884,0.8002049,199,neutral
8,none,all,raw,27,0.7702245,0.7351337,0.80696726,199,neutral
8,none,all,raw,28,0.76968294,0.7266371,0.8094162,199,neutral
8,none,all,raw,29,0.81183666,0.7776528,0.8399979,199,neutral
8,none,all,raw,30,0.78288645,0.7539242,0.8149371,199,neutral
8,none,all,raw,31,0.7914567,0.76128334,0.82248574,199,neutral
8,none,all,raw,32,0.7668888,0.7332289,0.79407847,199,neutral
8,none,all,raw,33,0.78592837,0.7516352,0.8196501,199,neutral
8,none,all,raw,34,0.7976361,0.76448286,0.8274461,199,neutral
8,none,all,raw,35,0.75769556,0.71943736,0.7905414,199,neutral
8,none,all,raw,36,0.7668384,0.72507906,0.80175513,199,neutral
8,none,all,raw,37,0.74007887,0.6968126,0.7781966,199,neutral
8,none,all,raw,38,0.7493033,0.70690197,0.7834532,198,neutral
8,none,all,raw,39,0.7657431,0.72503215,0.7992954,198,neutral
8,none,all,raw,40,0.7690967,0.7315034,0.804585,198,neutral
8,none,all,raw,41,0.7656579,0.7245478,0.7962707,198,neutral
8,none,all,raw,42,0.7719254,0.7322514,0.8052427,198,neutral
