token_in_seg_ix,count,acc,model,layer_ix,role_space
0,18,1.0,gptoss-20b,0,"user,assistant"
1,18,1.0,gptoss-20b,0,"user,assistant"
2,18,1.0,gptoss-20b,0,"user,assistant"
3,18,1.0,gptoss-20b,0,"user,assistant"
4,18,1.0,gptoss-20b,0,"user,assistant"
5,18,1.0,gptoss-20b,0,"user,assistant"
6,18,1.0,gptoss-20b,0,"user,assistant"
7,18,0.9444,gptoss-20b,0,"user,assistant"
8,18,0.9444,gptoss-20b,0,"user,assistant"
9,18,0.8889,gptoss-20b,0,"user,assistant"
10,18,1.0,gptoss-20b,0,"user,assistant"
11,18,0.9444,gptoss-20b,0,"user,assistant"
12,18,0.9444,gptoss-20b,0,"user,assistant"
13,18,0.9444,gptoss-20b,0,"user,assistant"
14,18,1.0,gptoss-20b,0,"user,assistant"
15,18,0.8889,gptoss-20b,0,"user,assistant"
16,18,1.0,gptoss-20b,0,"user,assistant"
17,18,0.9444,gptoss-20b,0,"user,assistant"
18,18,1.0,gptoss-20b,0,"user,assistant"
19,18,0.8333,gptoss-20b,0,"user,assistant"
20,18,0.9444,gptoss-20b,0,"user,assistant"
21,18,0.8333,gptoss-20b,0,"user,assistant"
22,18,0.8889,gptoss-20b,0,"user,assistant"
23,18,1.0,gptoss-20b,0,"user,assistant"
24,18,0.9444,gptoss-20b,0,"user,assistant"
25,18,0.8889,gptoss-20b,0,"user,assistant"
26,18,0.9444,gptoss-20b,0,"user,assistant"
27,18,1.0,gptoss-20b,0,"user,assistant"
28,18,0.8333,gptoss-20b,0,"user,assistant"
29,18,0.8889,gptoss-20b,0,"user,assistant"
30,18,0.9444,gptoss-20b,0,"user,assistant"
31,18,0.8889,gptoss-20b,0,"user,assistant"
32,18,0.8889,gptoss-20b,0,"user,assistant"
33,18,0.8889,gptoss-20b,0,"user,assistant"
34,18,0.8889,gptoss-20b,0,"user,assistant"
35,18,0.9444,gptoss-20b,0,"user,assistant"
36,18,0.8889,gptoss-20b,0,"user,assistant"
37,18,0.8889,gptoss-20b,0,"user,assistant"
38,18,0.9444,gptoss-20b,0,"user,assistant"
39,18,0.7778,gptoss-20b,0,"user,assistant"
40,18,0.8889,gptoss-20b,0,"user,assistant"
41,18,0.9444,gptoss-20b,0,"user,assistant"
42,18,0.7778,gptoss-20b,0,"user,assistant"
43,18,0.8333,gptoss-20b,0,"user,assistant"
44,18,0.7222,gptoss-20b,0,"user,assistant"
45,18,0.7778,gptoss-20b,0,"user,assistant"
46,18,0.6667,gptoss-20b,0,"user,assistant"
47,18,0.7778,gptoss-20b,0,"user,assistant"
