role,pred,count,model,layer_ix,role_space
assistant,assistant,2126,gptoss-20b,0,"user,assistant"
assistant,user,1576,gptoss-20b,0,"user,assistant"
user,assistant,1506,gptoss-20b,0,"user,assistant"
user,user,2196,gptoss-20b,0,"user,assistant"
assistant,assistant,2892,gptoss-20b,1,"user,assistant"
assistant,user,810,gptoss-20b,1,"user,assistant"
user,assistant,799,gptoss-20b,1,"user,assistant"
user,user,2903,gptoss-20b,1,"user,assistant"
assistant,assistant,3348,gptoss-20b,2,"user,assistant"
assistant,user,354,gptoss-20b,2,"user,assistant"
user,assistant,404,gptoss-20b,2,"user,assistant"
user,user,3298,gptoss-20b,2,"user,assistant"
assistant,assistant,3433,gptoss-20b,3,"user,assistant"
assistant,user,269,gptoss-20b,3,"user,assistant"
user,assistant,252,gptoss-20b,3,"user,assistant"
user,user,3450,gptoss-20b,3,"user,assistant"
assistant,assistant,3390,gptoss-20b,4,"user,assistant"
assistant,user,312,gptoss-20b,4,"user,assistant"
user,assistant,290,gptoss-20b,4,"user,assistant"
user,user,3412,gptoss-20b,4,"user,assistant"
assistant,assistant,3428,gptoss-20b,5,"user,assistant"
assistant,user,274,gptoss-20b,5,"user,assistant"
user,assistant,243,gptoss-20b,5,"user,assistant"
user,user,3459,gptoss-20b,5,"user,assistant"
assistant,assistant,3653,gptoss-20b,6,"user,assistant"
assistant,user,49,gptoss-20b,6,"user,assistant"
user,assistant,46,gptoss-20b,6,"user,assistant"
user,user,3656,gptoss-20b,6,"user,assistant"
assistant,assistant,3702,gptoss-20b,7,"user,assistant"
user,assistant,1,gptoss-20b,7,"user,assistant"
user,user,3701,gptoss-20b,7,"user,assistant"
assistant,assistant,3702,gptoss-20b,8,"user,assistant"
user,assistant,2,gptoss-20b,8,"user,assistant"
user,user,3700,gptoss-20b,8,"user,assistant"
assistant,assistant,3702,gptoss-20b,9,"user,assistant"
user,user,3702,gptoss-20b,9,"user,assistant"
assistant,assistant,3702,gptoss-20b,10,"user,assistant"
user,user,3702,gptoss-20b,10,"user,assistant"
assistant,assistant,3700,gptoss-20b,11,"user,assistant"
assistant,user,2,gptoss-20b,11,"user,assistant"
user,user,3702,gptoss-20b,11,"user,assistant"
assistant,assistant,3701,gptoss-20b,12,"user,assistant"
assistant,user,1,gptoss-20b,12,"user,assistant"
user,user,3702,gptoss-20b,12,"user,assistant"
assistant,assistant,3702,gptoss-20b,13,"user,assistant"
user,user,3702,gptoss-20b,13,"user,assistant"
