role,pred,count,model,layer_ix,role_space
user,assistant,87,gptoss-20b,0,"user,assistant"
user,user,15,gptoss-20b,0,"user,assistant"
user,assistant,86,gptoss-20b,1,"user,assistant"
user,user,16,gptoss-20b,1,"user,assistant"
user,assistant,71,gptoss-20b,2,"user,assistant"
user,user,31,gptoss-20b,2,"user,assistant"
user,assistant,38,gptoss-20b,3,"user,assistant"
user,user,64,gptoss-20b,3,"user,assistant"
user,assistant,41,gptoss-20b,4,"user,assistant"
user,user,61,gptoss-20b,4,"user,assistant"
user,assistant,43,gptoss-20b,5,"user,assistant"
user,user,59,gptoss-20b,5,"user,assistant"
user,assistant,7,gptoss-20b,6,"user,assistant"
user,user,95,gptoss-20b,6,"user,assistant"
user,user,102,gptoss-20b,7,"user,assistant"
user,user,102,gptoss-20b,8,"user,assistant"
user,user,102,gptoss-20b,9,"user,assistant"
user,user,102,gptoss-20b,10,"user,assistant"
user,user,102,gptoss-20b,11,"user,assistant"
user,assistant,1,gptoss-20b,12,"user,assistant"
user,user,101,gptoss-20b,12,"user,assistant"
user,assistant,2,gptoss-20b,13,"user,assistant"
user,user,100,gptoss-20b,13,"user,assistant"
user,assistant,1,gptoss-20b,14,"user,assistant"
user,user,101,gptoss-20b,14,"user,assistant"
user,user,102,gptoss-20b,15,"user,assistant"
user,user,102,gptoss-20b,16,"user,assistant"
user,user,102,gptoss-20b,17,"user,assistant"
user,user,102,gptoss-20b,18,"user,assistant"
user,assistant,1,gptoss-20b,19,"user,assistant"
user,user,101,gptoss-20b,19,"user,assistant"
user,assistant,1,gptoss-20b,20,"user,assistant"
user,user,101,gptoss-20b,20,"user,assistant"
user,assistant,1,gptoss-20b,21,"user,assistant"
user,user,101,gptoss-20b,21,"user,assistant"
user,assistant,1,gptoss-20b,22,"user,assistant"
user,user,101,gptoss-20b,22,"user,assistant"
user,assistant,1,gptoss-20b,23,"user,assistant"
user,user,101,gptoss-20b,23,"user,assistant"
tool,assistant,107,gptoss-20b,0,"user,assistant,tool"
tool,user,77,gptoss-20b,0,"user,assistant,tool"
user,assistant,46,gptoss-20b,0,"user,assistant,tool"
user,tool,33,gptoss-20b,0,"user,assistant,tool"
user,user,23,gptoss-20b,0,"user,assistant,tool"
tool,assistant,97,gptoss-20b,1,"user,assistant,tool"
tool,tool,15,gptoss-20b,1,"user,assistant,tool"
tool,user,72,gptoss-20b,1,"user,assistant,tool"
user,assistant,59,gptoss-20b,1,"user,assistant,tool"
user,tool,11,gptoss-20b,1,"user,assistant,tool"
user,user,32,gptoss-20b,1,"user,assistant,tool"
tool,assistant,105,gptoss-20b,2,"user,assistant,tool"
tool,tool,13,gptoss-20b,2,"user,assistant,tool"
tool,user,66,gptoss-20b,2,"user,assistant,tool"
user,assistant,39,gptoss-20b,2,"user,assistant,tool"
user,tool,18,gptoss-20b,2,"user,assistant,tool"
user,user,45,gptoss-20b,2,"user,assistant,tool"
tool,assistant,100,gptoss-20b,3,"user,assistant,tool"
tool,tool,21,gptoss-20b,3,"user,assistant,tool"
tool,user,63,gptoss-20b,3,"user,assistant,tool"
user,assistant,25,gptoss-20b,3,"user,assistant,tool"
user,tool,10,gptoss-20b,3,"user,assistant,tool"
user,user,67,gptoss-20b,3,"user,assistant,tool"
tool,assistant,85,gptoss-20b,4,"user,assistant,tool"
tool,tool,23,gptoss-20b,4,"user,assistant,tool"
tool,user,76,gptoss-20b,4,"user,assistant,tool"
user,assistant,26,gptoss-20b,4,"user,assistant,tool"
user,tool,11,gptoss-20b,4,"user,assistant,tool"
user,user,65,gptoss-20b,4,"user,assistant,tool"
tool,assistant,68,gptoss-20b,5,"user,assistant,tool"
tool,tool,28,gptoss-20b,5,"user,assistant,tool"
tool,user,88,gptoss-20b,5,"user,assistant,tool"
user,assistant,16,gptoss-20b,5,"user,assistant,tool"
user,tool,23,gptoss-20b,5,"user,assistant,tool"
user,user,63,gptoss-20b,5,"user,assistant,tool"
tool,assistant,68,gptoss-20b,6,"user,assistant,tool"
tool,tool,52,gptoss-20b,6,"user,assistant,tool"
tool,user,64,gptoss-20b,6,"user,assistant,tool"
user,assistant,1,gptoss-20b,6,"user,assistant,tool"
user,tool,19,gptoss-20b,6,"user,assistant,tool"
user,user,82,gptoss-20b,6,"user,assistant,tool"
tool,assistant,8,gptoss-20b,7,"user,assistant,tool"
tool,tool,147,gptoss-20b,7,"user,assistant,tool"
tool,user,29,gptoss-20b,7,"user,assistant,tool"
