role,pred,count,model,layer_ix,role_space
assistant,assistant,5827,gptoss-20b,0,"user,assistant"
assistant,user,5510,gptoss-20b,0,"user,assistant"
user,assistant,4136,gptoss-20b,0,"user,assistant"
user,user,7201,gptoss-20b,0,"user,assistant"
assistant,assistant,7678,gptoss-20b,1,"user,assistant"
assistant,user,3659,gptoss-20b,1,"user,assistant"
user,assistant,2923,gptoss-20b,1,"user,assistant"
user,user,8414,gptoss-20b,1,"user,assistant"
assistant,assistant,8217,gptoss-20b,2,"user,assistant"
assistant,user,3120,gptoss-20b,2,"user,assistant"
user,assistant,2219,gptoss-20b,2,"user,assistant"
user,user,9118,gptoss-20b,2,"user,assistant"
assistant,assistant,8371,gptoss-20b,3,"user,assistant"
assistant,user,2966,gptoss-20b,3,"user,assistant"
user,assistant,1722,gptoss-20b,3,"user,assistant"
user,user,9615,gptoss-20b,3,"user,assistant"
assistant,assistant,7673,gptoss-20b,4,"user,assistant"
assistant,user,3664,gptoss-20b,4,"user,assistant"
user,assistant,1665,gptoss-20b,4,"user,assistant"
user,user,9672,gptoss-20b,4,"user,assistant"
assistant,assistant,8312,gptoss-20b,5,"user,assistant"
assistant,user,3025,gptoss-20b,5,"user,assistant"
user,assistant,1447,gptoss-20b,5,"user,assistant"
user,user,9890,gptoss-20b,5,"user,assistant"
assistant,assistant,9645,gptoss-20b,6,"user,assistant"
assistant,user,1692,gptoss-20b,6,"user,assistant"
user,assistant,592,gptoss-20b,6,"user,assistant"
user,user,10745,gptoss-20b,6,"user,assistant"
assistant,assistant,11075,gptoss-20b,7,"user,assistant"
assistant,user,262,gptoss-20b,7,"user,assistant"
user,assistant,56,gptoss-20b,7,"user,assistant"
user,user,11281,gptoss-20b,7,"user,assistant"
assistant,assistant,11040,gptoss-20b,8,"user,assistant"
assistant,user,297,gptoss-20b,8,"user,assistant"
user,assistant,166,gptoss-20b,8,"user,assistant"
user,user,11171,gptoss-20b,8,"user,assistant"
assistant,assistant,11007,gptoss-20b,9,"user,assistant"
assistant,user,330,gptoss-20b,9,"user,assistant"
user,assistant,163,gptoss-20b,9,"user,assistant"
user,user,11174,gptoss-20b,9,"user,assistant"
assistant,assistant,10841,gptoss-20b,10,"user,assistant"
assistant,user,496,gptoss-20b,10,"user,assistant"
user,assistant,205,gptoss-20b,10,"user,assistant"
user,user,11132,gptoss-20b,10,"user,assistant"
assistant,assistant,10906,gptoss-20b,11,"user,assistant"
assistant,user,431,gptoss-20b,11,"user,assistant"
user,assistant,254,gptoss-20b,11,"user,assistant"
user,user,11083,gptoss-20b,11,"user,assistant"
assistant,assistant,10822,gptoss-20b,12,"user,assistant"
assistant,user,515,gptoss-20b,12,"user,assistant"
user,assistant,314,gptoss-20b,12,"user,assistant"
user,user,11023,gptoss-20b,12,"user,assistant"
assistant,assistant,10801,gptoss-20b,13,"user,assistant"
assistant,user,536,gptoss-20b,13,"user,assistant"
user,assistant,305,gptoss-20b,13,"user,assistant"
user,user,11032,gptoss-20b,13,"user,assistant"
assistant,assistant,11146,gptoss-20b,14,"user,assistant"
assistant,user,191,gptoss-20b,14,"user,assistant"
user,assistant,93,gptoss-20b,14,"user,assistant"
user,user,11244,gptoss-20b,14,"user,assistant"
assistant,assistant,11321,gptoss-20b,15,"user,assistant"
assistant,user,16,gptoss-20b,15,"user,assistant"
user,assistant,15,gptoss-20b,15,"user,assistant"
user,user,11322,gptoss-20b,15,"user,assistant"
assistant,assistant,11321,gptoss-20b,16,"user,assistant"
assistant,user,16,gptoss-20b,16,"user,assistant"
user,assistant,10,gptoss-20b,16,"user,assistant"
user,user,11327,gptoss-20b,16,"user,assistant"
assistant,assistant,11332,gptoss-20b,17,"user,assistant"
assistant,user,5,gptoss-20b,17,"user,assistant"
user,assistant,12,gptoss-20b,17,"user,assistant"
user,user,11325,gptoss-20b,17,"user,assistant"
assistant,assistant,11322,gptoss-20b,18,"user,assistant"
assistant,user,15,gptoss-20b,18,"user,assistant"
user,assistant,18,gptoss-20b,18,"user,assistant"
user,user,11319,gptoss-20b,18,"user,assistant"
assistant,assistant,11305,gptoss-20b,19,"user,assistant"
assistant,user,32,gptoss-20b,19,"user,assistant"
user,assistant,20,gptoss-20b,19,"user,assistant"
user,user,11317,gptoss-20b,19,"user,assistant"
assistant,assistant,11272,gptoss-20b,20,"user,assistant"
assistant,user,65,gptoss-20b,20,"user,assistant"
user,assistant,30,gptoss-20b,20,"user,assistant"
user,user,11307,gptoss-20b,20,"user,assistant"
assistant,assistant,11256,gptoss-20b,21,"user,assistant"
assistant,user,81,gptoss-20b,21,"user,assistant"
user,assistant,38,gptoss-20b,21,"user,assistant"
user,user,11299,gptoss-20b,21,"user,assistant"
assistant,assistant,11209,gptoss-20b,22,"user,assistant"
assistant,user,128,gptoss-20b,22,"user,assistant"
user,assistant,55,gptoss-20b,22,"user,assistant"
user,user,11282,gptoss-20b,22,"user,assistant"
assistant,assistant,11246,gptoss-20b,23,"user,assistant"
assistant,user,91,gptoss-20b,23,"user,assistant"
user,assistant,12,gptoss-20b,23,"user,assistant"
user,user,11325,gptoss-20b,23,"user,assistant"
assistant,assistant,3568,gptoss-20b,0,"user,assistant,tool"
assistant,tool,3328,gptoss-20b,0,"user,assistant,tool"
assistant,user,4441,gptoss-20b,0,"user,assistant,tool"
tool,assistant,2643,gptoss-20b,0,"user,assistant,tool"
tool,tool,4315,gptoss-20b,0,"user,assistant,tool"
tool,user,4379,gptoss-20b,0,"user,assistant,tool"
user,assistant,2186,gptoss-20b,0,"user,assistant,tool"
user,tool,3022,gptoss-20b,0,"user,assistant,tool"
user,user,6129,gptoss-20b,0,"user,assistant,tool"
assistant,assistant,6374,gptoss-20b,1,"user,assistant,tool"
assistant,tool,1947,gptoss-20b,1,"user,assistant,tool"
assistant,user,3016,gptoss-20b,1,"user,assistant,tool"
tool,assistant,2222,gptoss-20b,1,"user,assistant,tool"
tool,tool,6664,gptoss-20b,1,"user,assistant,tool"
tool,user,2451,gptoss-20b,1,"user,assistant,tool"
user,assistant,2141,gptoss-20b,1,"user,assistant,tool"
user,tool,1823,gptoss-20b,1,"user,assistant,tool"
user,user,7373,gptoss-20b,1,"user,assistant,tool"
assistant,assistant,6892,gptoss-20b,2,"user,assistant,tool"
assistant,tool,1886,gptoss-20b,2,"user,assistant,tool"
assistant,user,2559,gptoss-20b,2,"user,assistant,tool"
tool,assistant,2689,gptoss-20b,2,"user,assistant,tool"
tool,tool,5848,gptoss-20b,2,"user,assistant,tool"
tool,user,2800,gptoss-20b,2,"user,assistant,tool"
user,assistant,1609,gptoss-20b,2,"user,assistant,tool"
user,tool,1430,gptoss-20b,2,"user,assistant,tool"
user,user,8298,gptoss-20b,2,"user,assistant,tool"
assistant,assistant,7084,gptoss-20b,3,"user,assistant,tool"
assistant,tool,1847,gptoss-20b,3,"user,assistant,tool"
assistant,user,2406,gptoss-20b,3,"user,assistant,tool"
tool,assistant,2017,gptoss-20b,3,"user,assistant,tool"
tool,tool,6737,gptoss-20b,3,"user,assistant,tool"
tool,user,2583,gptoss-20b,3,"user,assistant,tool"
user,assistant,1281,gptoss-20b,3,"user,assistant,tool"
user,tool,989,gptoss-20b,3,"user,assistant,tool"
user,user,9067,gptoss-20b,3,"user,assistant,tool"
assistant,assistant,6374,gptoss-20b,4,"user,assistant,tool"
assistant,tool,1905,gptoss-20b,4,"user,assistant,tool"
assistant,user,3058,gptoss-20b,4,"user,assistant,tool"
tool,assistant,2143,gptoss-20b,4,"user,assistant,tool"
tool,tool,6146,gptoss-20b,4,"user,assistant,tool"
tool,user,3048,gptoss-20b,4,"user,assistant,tool"
user,assistant,1283,gptoss-20b,4,"user,assistant,tool"
user,tool,898,gptoss-20b,4,"user,assistant,tool"
user,user,9156,gptoss-20b,4,"user,assistant,tool"
assistant,assistant,7308,gptoss-20b,5,"user,assistant,tool"
assistant,tool,1594,gptoss-20b,5,"user,assistant,tool"
assistant,user,2435,gptoss-20b,5,"user,assistant,tool"
tool,assistant,1717,gptoss-20b,5,"user,assistant,tool"
tool,tool,7071,gptoss-20b,5,"user,assistant,tool"
tool,user,2549,gptoss-20b,5,"user,assistant,tool"
user,assistant,1108,gptoss-20b,5,"user,assistant,tool"
user,tool,884,gptoss-20b,5,"user,assistant,tool"
user,user,9345,gptoss-20b,5,"user,assistant,tool"
assistant,assistant,8924,gptoss-20b,6,"user,assistant,tool"
assistant,tool,1065,gptoss-20b,6,"user,assistant,tool"
assistant,user,1348,gptoss-20b,6,"user,assistant,tool"
tool,assistant,1263,gptoss-20b,6,"user,assistant,tool"
tool,tool,7305,gptoss-20b,6,"user,assistant,tool"
tool,user,2769,gptoss-20b,6,"user,assistant,tool"
user,assistant,456,gptoss-20b,6,"user,assistant,tool"
user,tool,892,gptoss-20b,6,"user,assistant,tool"
user,user,9989,gptoss-20b,6,"user,assistant,tool"
assistant,assistant,10466,gptoss-20b,7,"user,assistant,tool"
assistant,tool,756,gptoss-20b,7,"user,assistant,tool"
assistant,user,115,gptoss-20b,7,"user,assistant,tool"
tool,assistant,370,gptoss-20b,7,"user,assistant,tool"
tool,tool,9946,gptoss-20b,7,"user,assistant,tool"
tool,user,1021,gptoss-20b,7,"user,assistant,tool"
user,assistant,41,gptoss-20b,7,"user,assistant,tool"
user,tool,696,gptoss-20b,7,"user,assistant,tool"
user,user,10600,gptoss-20b,7,"user,assistant,tool"
assistant,assistant,10252,gptoss-20b,8,"user,assistant,tool"
assistant,tool,988,gptoss-20b,8,"user,assistant,tool"
assistant,user,97,gptoss-20b,8,"user,assistant,tool"
tool,assistant,413,gptoss-20b,8,"user,assistant,tool"
tool,tool,9846,gptoss-20b,8,"user,assistant,tool"
tool,user,1078,gptoss-20b,8,"user,assistant,tool"
user,assistant,76,gptoss-20b,8,"user,assistant,tool"
user,tool,1022,gptoss-20b,8,"user,assistant,tool"
user,user,10239,gptoss-20b,8,"user,assistant,tool"
assistant,assistant,10100,gptoss-20b,9,"user,assistant,tool"
assistant,tool,1098,gptoss-20b,9,"user,assistant,tool"
assistant,user,139,gptoss-20b,9,"user,assistant,tool"
tool,assistant,369,gptoss-20b,9,"user,assistant,tool"
tool,tool,9827,gptoss-20b,9,"user,assistant,tool"
tool,user,1141,gptoss-20b,9,"user,assistant,tool"
user,assistant,90,gptoss-20b,9,"user,assistant,tool"
user,tool,1242,gptoss-20b,9,"user,assistant,tool"
user,user,10005,gptoss-20b,9,"user,assistant,tool"
assistant,assistant,9875,gptoss-20b,10,"user,assistant,tool"
assistant,tool,1257,gptoss-20b,10,"user,assistant,tool"
assistant,user,205,gptoss-20b,10,"user,assistant,tool"
tool,assistant,382,gptoss-20b,10,"user,assistant,tool"
tool,tool,9489,gptoss-20b,10,"user,assistant,tool"
tool,user,1466,gptoss-20b,10,"user,assistant,tool"
user,assistant,85,gptoss-20b,10,"user,assistant,tool"
user,tool,1592,gptoss-20b,10,"user,assistant,tool"
user,user,9660,gptoss-20b,10,"user,assistant,tool"
assistant,assistant,9969,gptoss-20b,11,"user,assistant,tool"
assistant,tool,1233,gptoss-20b,11,"user,assistant,tool"
assistant,user,135,gptoss-20b,11,"user,assistant,tool"
tool,assistant,466,gptoss-20b,11,"user,assistant,tool"
tool,tool,9571,gptoss-20b,11,"user,assistant,tool"
tool,user,1300,gptoss-20b,11,"user,assistant,tool"
user,assistant,87,gptoss-20b,11,"user,assistant,tool"
user,tool,1765,gptoss-20b,11,"user,assistant,tool"
user,user,9485,gptoss-20b,11,"user,assistant,tool"
assistant,assistant,9698,gptoss-20b,12,"user,assistant,tool"
assistant,tool,1461,gptoss-20b,12,"user,assistant,tool"
assistant,user,178,gptoss-20b,12,"user,assistant,tool"
tool,assistant,580,gptoss-20b,12,"user,assistant,tool"
tool,tool,9326,gptoss-20b,12,"user,assistant,tool"
tool,user,1431,gptoss-20b,12,"user,assistant,tool"
user,assistant,135,gptoss-20b,12,"user,assistant,tool"
user,tool,1951,gptoss-20b,12,"user,assistant,tool"
user,user,9251,gptoss-20b,12,"user,assistant,tool"
assistant,assistant,9694,gptoss-20b,13,"user,assistant,tool"
assistant,tool,1497,gptoss-20b,13,"user,assistant,tool"
assistant,user,146,gptoss-20b,13,"user,assistant,tool"
tool,assistant,579,gptoss-20b,13,"user,assistant,tool"
tool,tool,9449,gptoss-20b,13,"user,assistant,tool"
tool,user,1309,gptoss-20b,13,"user,assistant,tool"
user,assistant,141,gptoss-20b,13,"user,assistant,tool"
user,tool,1907,gptoss-20b,13,"user,assistant,tool"
user,user,9289,gptoss-20b,13,"user,assistant,tool"
assistant,assistant,10441,gptoss-20b,14,"user,assistant,tool"
assistant,tool,850,gptoss-20b,14,"user,assistant,tool"
assistant,user,46,gptoss-20b,14,"user,assistant,tool"
tool,assistant,505,gptoss-20b,14,"user,assistant,tool"
tool,tool,9526,gptoss-20b,14,"user,assistant,tool"
tool,user,1306,gptoss-20b,14,"user,assistant,tool"
user,assistant,56,gptoss-20b,14,"user,assistant,tool"
user,tool,1505,gptoss-20b,14,"user,assistant,tool"
user,user,9776,gptoss-20b,14,"user,assistant,tool"
assistant,assistant,11002,gptoss-20b,15,"user,assistant,tool"
assistant,tool,334,gptoss-20b,15,"user,assistant,tool"
assistant,user,1,gptoss-20b,15,"user,assistant,tool"
tool,assistant,359,gptoss-20b,15,"user,assistant,tool"
tool,tool,10693,gptoss-20b,15,"user,assistant,tool"
tool,user,285,gptoss-20b,15,"user,assistant,tool"
user,assistant,15,gptoss-20b,15,"user,assistant,tool"
user,tool,525,gptoss-20b,15,"user,assistant,tool"
user,user,10797,gptoss-20b,15,"user,assistant,tool"
assistant,assistant,11073,gptoss-20b,16,"user,assistant,tool"
assistant,tool,261,gptoss-20b,16,"user,assistant,tool"
assistant,user,3,gptoss-20b,16,"user,assistant,tool"
tool,assistant,410,gptoss-20b,16,"user,assistant,tool"
tool,tool,10422,gptoss-20b,16,"user,assistant,tool"
tool,user,505,gptoss-20b,16,"user,assistant,tool"
user,assistant,18,gptoss-20b,16,"user,assistant,tool"
user,tool,443,gptoss-20b,16,"user,assistant,tool"
user,user,10876,gptoss-20b,16,"user,assistant,tool"
assistant,assistant,11025,gptoss-20b,17,"user,assistant,tool"
assistant,tool,310,gptoss-20b,17,"user,assistant,tool"
assistant,user,2,gptoss-20b,17,"user,assistant,tool"
tool,assistant,441,gptoss-20b,17,"user,assistant,tool"
tool,tool,10473,gptoss-20b,17,"user,assistant,tool"
tool,user,423,gptoss-20b,17,"user,assistant,tool"
user,assistant,10,gptoss-20b,17,"user,assistant,tool"
user,tool,418,gptoss-20b,17,"user,assistant,tool"
user,user,10909,gptoss-20b,17,"user,assistant,tool"
assistant,assistant,10876,gptoss-20b,18,"user,assistant,tool"
assistant,tool,441,gptoss-20b,18,"user,assistant,tool"
assistant,user,20,gptoss-20b,18,"user,assistant,tool"
tool,assistant,435,gptoss-20b,18,"user,assistant,tool"
tool,tool,10386,gptoss-20b,18,"user,assistant,tool"
tool,user,516,gptoss-20b,18,"user,assistant,tool"
user,assistant,10,gptoss-20b,18,"user,assistant,tool"
user,tool,324,gptoss-20b,18,"user,assistant,tool"
user,user,11003,gptoss-20b,18,"user,assistant,tool"
assistant,assistant,10755,gptoss-20b,19,"user,assistant,tool"
assistant,tool,567,gptoss-20b,19,"user,assistant,tool"
assistant,user,15,gptoss-20b,19,"user,assistant,tool"
tool,assistant,446,gptoss-20b,19,"user,assistant,tool"
tool,tool,10224,gptoss-20b,19,"user,assistant,tool"
tool,user,667,gptoss-20b,19,"user,assistant,tool"
user,assistant,8,gptoss-20b,19,"user,assistant,tool"
user,tool,445,gptoss-20b,19,"user,assistant,tool"
user,user,10884,gptoss-20b,19,"user,assistant,tool"
assistant,assistant,10569,gptoss-20b,20,"user,assistant,tool"
assistant,tool,744,gptoss-20b,20,"user,assistant,tool"
assistant,user,24,gptoss-20b,20,"user,assistant,tool"
tool,assistant,576,gptoss-20b,20,"user,assistant,tool"
tool,tool,9933,gptoss-20b,20,"user,assistant,tool"
tool,user,828,gptoss-20b,20,"user,assistant,tool"
user,assistant,11,gptoss-20b,20,"user,assistant,tool"
user,tool,602,gptoss-20b,20,"user,assistant,tool"
user,user,10724,gptoss-20b,20,"user,assistant,tool"
assistant,assistant,10619,gptoss-20b,21,"user,assistant,tool"
assistant,tool,694,gptoss-20b,21,"user,assistant,tool"
assistant,user,24,gptoss-20b,21,"user,assistant,tool"
tool,assistant,482,gptoss-20b,21,"user,assistant,tool"
tool,tool,10159,gptoss-20b,21,"user,assistant,tool"
tool,user,696,gptoss-20b,21,"user,assistant,tool"
user,assistant,21,gptoss-20b,21,"user,assistant,tool"
user,tool,671,gptoss-20b,21,"user,assistant,tool"
user,user,10645,gptoss-20b,21,"user,assistant,tool"
assistant,assistant,10496,gptoss-20b,22,"user,assistant,tool"
assistant,tool,795,gptoss-20b,22,"user,assistant,tool"
assistant,user,46,gptoss-20b,22,"user,assistant,tool"
tool,assistant,569,gptoss-20b,22,"user,assistant,tool"
tool,tool,9981,gptoss-20b,22,"user,assistant,tool"
tool,user,787,gptoss-20b,22,"user,assistant,tool"
user,assistant,40,gptoss-20b,22,"user,assistant,tool"
user,tool,657,gptoss-20b,22,"user,assistant,tool"
user,user,10640,gptoss-20b,22,"user,assistant,tool"
assistant,assistant,10766,gptoss-20b,23,"user,assistant,tool"
assistant,tool,547,gptoss-20b,23,"user,assistant,tool"
assistant,user,24,gptoss-20b,23,"user,assistant,tool"
tool,assistant,349,gptoss-20b,23,"user,assistant,tool"
tool,tool,10612,gptoss-20b,23,"user,assistant,tool"
tool,user,376,gptoss-20b,23,"user,assistant,tool"
user,assistant,8,gptoss-20b,23,"user,assistant,tool"
user,tool,274,gptoss-20b,23,"user,assistant,tool"
user,user,11055,gptoss-20b,23,"user,assistant,tool"
assistant,assistant,2891,gptoss-20b,0,"user,cot,assistant"
assistant,cot,3467,gptoss-20b,0,"user,cot,assistant"
assistant,user,4979,gptoss-20b,0,"user,cot,assistant"
cot,assistant,2386,gptoss-20b,0,"user,cot,assistant"
cot,cot,4038,gptoss-20b,0,"user,cot,assistant"
cot,user,4913,gptoss-20b,0,"user,cot,assistant"
user,assistant,1986,gptoss-20b,0,"user,cot,assistant"
user,cot,2713,gptoss-20b,0,"user,cot,assistant"
user,user,6638,gptoss-20b,0,"user,cot,assistant"
assistant,assistant,5132,gptoss-20b,1,"user,cot,assistant"
assistant,cot,2855,gptoss-20b,1,"user,cot,assistant"
assistant,user,3350,gptoss-20b,1,"user,cot,assistant"
cot,assistant,3664,gptoss-20b,1,"user,cot,assistant"
cot,cot,4464,gptoss-20b,1,"user,cot,assistant"
cot,user,3209,gptoss-20b,1,"user,cot,assistant"
user,assistant,1945,gptoss-20b,1,"user,cot,assistant"
user,cot,1353,gptoss-20b,1,"user,cot,assistant"
user,user,8039,gptoss-20b,1,"user,cot,assistant"
assistant,assistant,5288,gptoss-20b,2,"user,cot,assistant"
assistant,cot,3193,gptoss-20b,2,"user,cot,assistant"
assistant,user,2856,gptoss-20b,2,"user,cot,assistant"
cot,assistant,3698,gptoss-20b,2,"user,cot,assistant"
cot,cot,5002,gptoss-20b,2,"user,cot,assistant"
cot,user,2637,gptoss-20b,2,"user,cot,assistant"
user,assistant,1372,gptoss-20b,2,"user,cot,assistant"
user,cot,1125,gptoss-20b,2,"user,cot,assistant"
