role,pred,count,model,layer_ix,role_space
assistant,assistant,6308,gptoss-20b,0,"user,assistant"
assistant,user,8100,gptoss-20b,0,"user,assistant"
user,assistant,5707,gptoss-20b,0,"user,assistant"
user,user,5617,gptoss-20b,0,"user,assistant"
assistant,assistant,8751,gptoss-20b,1,"user,assistant"
assistant,user,5657,gptoss-20b,1,"user,assistant"
user,assistant,4070,gptoss-20b,1,"user,assistant"
user,user,7254,gptoss-20b,1,"user,assistant"
assistant,assistant,10082,gptoss-20b,2,"user,assistant"
assistant,user,4326,gptoss-20b,2,"user,assistant"
user,assistant,3219,gptoss-20b,2,"user,assistant"
user,user,8105,gptoss-20b,2,"user,assistant"
assistant,assistant,9730,gptoss-20b,3,"user,assistant"
assistant,user,4678,gptoss-20b,3,"user,assistant"
user,assistant,3344,gptoss-20b,3,"user,assistant"
user,user,7980,gptoss-20b,3,"user,assistant"
assistant,assistant,9217,gptoss-20b,4,"user,assistant"
assistant,user,5191,gptoss-20b,4,"user,assistant"
user,assistant,3867,gptoss-20b,4,"user,assistant"
user,user,7457,gptoss-20b,4,"user,assistant"
assistant,assistant,9953,gptoss-20b,5,"user,assistant"
assistant,user,4455,gptoss-20b,5,"user,assistant"
user,assistant,3600,gptoss-20b,5,"user,assistant"
user,user,7724,gptoss-20b,5,"user,assistant"
assistant,assistant,11869,gptoss-20b,6,"user,assistant"
assistant,user,2539,gptoss-20b,6,"user,assistant"
user,assistant,1295,gptoss-20b,6,"user,assistant"
user,user,10029,gptoss-20b,6,"user,assistant"
assistant,assistant,12716,gptoss-20b,7,"user,assistant"
assistant,user,1692,gptoss-20b,7,"user,assistant"
user,assistant,201,gptoss-20b,7,"user,assistant"
user,user,11123,gptoss-20b,7,"user,assistant"
assistant,assistant,12610,gptoss-20b,8,"user,assistant"
assistant,user,1798,gptoss-20b,8,"user,assistant"
user,assistant,276,gptoss-20b,8,"user,assistant"
user,user,11048,gptoss-20b,8,"user,assistant"
assistant,assistant,12140,gptoss-20b,9,"user,assistant"
assistant,user,2268,gptoss-20b,9,"user,assistant"
user,assistant,365,gptoss-20b,9,"user,assistant"
user,user,10959,gptoss-20b,9,"user,assistant"
assistant,assistant,12092,gptoss-20b,10,"user,assistant"
assistant,user,2316,gptoss-20b,10,"user,assistant"
user,assistant,593,gptoss-20b,10,"user,assistant"
user,user,10731,gptoss-20b,10,"user,assistant"
assistant,assistant,12008,gptoss-20b,11,"user,assistant"
assistant,user,2400,gptoss-20b,11,"user,assistant"
user,assistant,650,gptoss-20b,11,"user,assistant"
user,user,10674,gptoss-20b,11,"user,assistant"
assistant,assistant,11953,gptoss-20b,12,"user,assistant"
