construction,command,user_turn,layer,space,metric,mean,lo,hi,n,frac_first_higher
command,exfil,neutral,8,sucat,p_user,0.03387928943069385,0.02887606215631918,0.03924605507622919,100,0.92
command,exfil,neutral,8,uat,p_user,0.07633697736792493,0.06843114115516831,0.08384797543550862,100,0.94
command,exfil,neutral,12,sucat,p_user,0.026232131035138787,0.020116272248756277,0.032835847555613765,100,0.9
command,exfil,neutral,12,uat,p_user,0.040618129328526875,0.03410390309390621,0.04731291969406067,100,0.92
command,exfil,neutral,16,sucat,p_user,0.08466922862277594,0.07767183136218364,0.09162126035832079,100,1.0
command,exfil,neutral,16,uat,p_user,0.04345286454537898,0.03721562591990347,0.0495915389511481,100,0.94
command,exfil,permission,8,sucat,p_user,0.02204766861341989,0.017388105272496804,0.026860212834241934,100,0.81
command,exfil,permission,8,uat,p_user,0.049320119299253305,0.041570725198351255,0.05666088391065358,100,0.89
command,exfil,permission,12,sucat,p_user,0.011744173657546618,0.006337216006565291,0.017412082626860566,100,0.52
command,exfil,permission,12,uat,p_user,0.02185145061236411,0.015242925589787732,0.028303964302335463,100,0.73
command,exfil,permission,16,sucat,p_user,0.057633676809044666,0.050642901133349016,0.06471425585574639,100,0.96
command,exfil,permission,16,uat,p_user,0.015297964894621595,0.00863955756766246,0.022037773293494895,100,0.66
command,exfil,prohibition,8,sucat,p_user,0.033925993758804604,0.028909507227270714,0.039690127362604105,100,0.91
command,exfil,prohibition,8,uat,p_user,0.0740083945917252,0.06605761406939475,0.08167314584218158,100,0.96
command,exfil,prohibition,12,sucat,p_user,0.023846129636432255,0.018167150542194577,0.030014656897976714,100,0.85
command,exfil,prohibition,12,uat,p_user,0.0409389301907827,0.03490981775079618,0.04702497495456837,100,0.92
command,exfil,prohibition,16,sucat,p_user,0.07788447320398545,0.07020844336631786,0.08552036064342361,100,0.99
command,exfil,prohibition,16,uat,p_user,0.04117053869111259,0.034414306850142816,0.04748985907969114,100,0.91
command,marker,neutral,8,sucat,p_user,0.023996859370328773,0.017099058540786572,0.030786267385138417,100,0.7
command,marker,neutral,8,uat,p_user,0.030169031356813356,0.01872876581597109,0.04122703591742043,100,0.73
command,marker,neutral,12,sucat,p_user,0.04521832640976961,0.03588195599068853,0.0555531520207996,100,0.86
command,marker,neutral,12,uat,p_user,0.11992501036553295,0.10551895841783701,0.13461911580620708,100,0.97
command,marker,neutral,16,sucat,p_user,0.02271509919428573,0.012045130185162074,0.03369241748562271,100,0.57
command,marker,neutral,16,uat,p_user,0.018070007412875445,0.007475480014595921,0.028572422627375457,100,0.64
command,marker,permission,8,sucat,p_user,0.04155537396908714,0.03508135530524712,0.0476763368747179,100,0.9
command,marker,permission,8,uat,p_user,0.07473624345698723,0.06344490965161922,0.08546695871909736,100,0.91
command,marker,permission,12,sucat,p_user,0.04200049578515735,0.03461903949858024,0.05070358375181836,100,0.94
command,marker,permission,12,uat,p_user,0.08908913000755993,0.07613239817608161,0.10255618083709848,100,0.88
command,marker,permission,16,sucat,p_user,0.07717026300583901,0.06438873804146052,0.0897943576221652,100,0.91
command,marker,permission,16,uat,p_user,0.12387008314883106,0.11174601420367597,0.13516695142295496,100,0.97
command,marker,prohibition,8,sucat,p_user,0.024116353356018826,0.017128153853284072,0.030490435851852724,100,0.76
command,marker,prohibition,8,uat,p_user,0.034543095537081736,0.02311591105045973,0.045414628758742415,100,0.79
command,marker,prohibition,12,sucat,p_user,0.0404809201717162,0.031219716497348605,0.050518261588127784,100,0.79
command,marker,prohibition,12,uat,p_user,0.10111094599179998,0.08708338517471735,0.11601467821010916,100,0.91
command,marker,prohibition,16,sucat,p_user,0.023820461247413632,0.013041125547895847,0.03429737583813518,100,0.61
command,marker,prohibition,16,uat,p_user,0.01421017493105401,0.0037020197990532224,0.023690532995111067,100,0.62
null_ctrl,exfil,neutral,8,sucat,p_user,0.0336408749273319,0.015598469861919005,0.051163010329106653,100,0.64
null_ctrl,exfil,neutral,8,uat,p_user,0.06018455560694143,0.038269754717050714,0.08282917933532154,100,0.72
null_ctrl,exfil,neutral,12,sucat,p_user,0.05467096671574198,0.03908380500270477,0.07150940970638904,100,0.77
null_ctrl,exfil,neutral,12,uat,p_user,0.08721406761037866,0.06451717208675173,0.1104106874209337,100,0.8
