construction,span,command,user_turn,order,layer,space,metric,mean,lo,hi,n
command,slot1,exfil,neutral,A,8,sucat,p_user,0.1457261121921908,0.12942888366243455,0.16310041077436577,100
command,slot1,exfil,neutral,A,8,sucat,p_tool,0.312426720563996,0.29600786779376775,0.32914474149298045,100
command,slot1,exfil,neutral,A,8,sucat,log_user_tool,-0.9093094077495185,-1.0628370268611833,-0.7634534084649841,100
command,slot1,exfil,neutral,A,8,uat,p_user,0.35916969187253484,0.33680879116819573,0.3814939673212249,100
command,slot1,exfil,neutral,A,8,uat,p_tool,0.6059519403254838,0.5862758615619584,0.6259828955095119,100
command,slot1,exfil,neutral,A,8,uat,log_user_tool,-0.5614626825525747,-0.6663144643758963,-0.4615194820540961,100
command,slot1,exfil,neutral,A,12,sucat,p_user,0.09105623680253648,0.0773100257742615,0.10562711449849496,100
command,slot1,exfil,neutral,A,12,sucat,p_tool,0.17567740750570757,0.16792978391592525,0.18277678841973852,100
command,slot1,exfil,neutral,A,12,sucat,log_user_tool,-0.8783691036905037,-1.0218448369736362,-0.7354275381143432,100
command,slot1,exfil,neutral,A,12,uat,p_user,0.2306018564778311,0.20869560607447626,0.2534990686884765,100
command,slot1,exfil,neutral,A,12,uat,p_tool,0.4611108012258392,0.4457309814591275,0.4760950030793329,100
command,slot1,exfil,neutral,A,12,uat,log_user_tool,-0.7838736207800493,-0.9029858913218971,-0.666330489042785,100
command,slot1,exfil,neutral,A,16,sucat,p_user,0.33442676611733435,0.30855643778016373,0.3619630052541479,100
command,slot1,exfil,neutral,A,16,sucat,p_tool,0.4904826133883263,0.4684235432332552,0.5111799845675633,100
command,slot1,exfil,neutral,A,16,sucat,log_user_tool,-0.4354034215420427,-0.5567823303134957,-0.3021232814862664,100
command,slot1,exfil,neutral,A,16,uat,p_user,0.45029255549867336,0.4259837946301316,0.4758344064813141,100
command,slot1,exfil,neutral,A,16,uat,p_tool,0.5443057094734874,0.5185716608227908,0.5682676102947555,100
command,slot1,exfil,neutral,A,16,uat,log_user_tool,-0.19187857395073077,-0.2938047555609922,-0.08193213482095067,100
command,slot1,exfil,permission,A,8,sucat,p_user,0.15221592895862918,0.13556369356212083,0.16910390082026644,100
command,slot1,exfil,permission,A,8,sucat,p_tool,0.2969577962961122,0.28051846875899766,0.31339081695708615,100
command,slot1,exfil,permission,A,8,sucat,log_user_tool,-0.7946288704566534,-0.9519534592939153,-0.6497316738121547,100
command,slot1,exfil,permission,A,8,uat,p_user,0.37210963879979,0.3491741913381713,0.39428327141225045,100
command,slot1,exfil,permission,A,8,uat,p_tool,0.5924239283339044,0.5719326622153443,0.6130464125407715,100
command,slot1,exfil,permission,A,8,uat,log_user_tool,-0.4977783528238492,-0.6027233755952933,-0.39957183876697194,100
command,slot1,exfil,permission,A,12,sucat,p_user,0.09524907453005758,0.08151277384276674,0.10923262394425766,100
command,slot1,exfil,permission,A,12,sucat,p_tool,0.16197619035911479,0.1549487939854215,0.16879196046242045,100
command,slot1,exfil,permission,A,12,sucat,log_user_tool,-0.7275779116210467,-0.8694633516759933,-0.5877448675976701,100
command,slot1,exfil,permission,A,12,uat,p_user,0.24622346135321715,0.22372591155488486,0.2682577882564785,100
command,slot1,exfil,permission,A,12,uat,p_tool,0.4359359334425029,0.4210134663815474,0.4507678769044272,100
command,slot1,exfil,permission,A,12,uat,log_user_tool,-0.6476347764897732,-0.7652393926640139,-0.5348084345588905,100
command,slot1,exfil,permission,A,16,sucat,p_user,0.3266607134979714,0.30133680747564034,0.3540740805696843,100
command,slot1,exfil,permission,A,16,sucat,p_tool,0.49227749499169093,0.4710025899092675,0.5125904062215179,100
command,slot1,exfil,permission,A,16,sucat,log_user_tool,-0.4692027590439915,-0.5942221277009793,-0.3363900804418282,100
command,slot1,exfil,permission,A,16,uat,p_user,0.4518675879009726,0.4284493350669358,0.47700594131507623,100
command,slot1,exfil,permission,A,16,uat,p_tool,0.543272806258113,0.5182108471099562,0.5667346323142215,100
command,slot1,exfil,permission,A,16,uat,log_user_tool,-0.1870121090687971,-0.28725192298933006,-0.08031692844661059,100
command,slot1,exfil,prohibition,A,8,sucat,p_user,0.14657412476366866,0.13040972808030937,0.1635564266045666,100
command,slot1,exfil,prohibition,A,8,sucat,p_tool,0.3066225043839091,0.2901525789169346,0.3234746679639845,100
command,slot1,exfil,prohibition,A,8,sucat,log_user_tool,-0.8770121275489271,-1.0309758563971245,-0.7286020802000034,100
command,slot1,exfil,prohibition,A,8,uat,p_user,0.36360345965454,0.3408347271932362,0.3860320116956244,100
command,slot1,exfil,prohibition,A,8,uat,p_tool,0.5994213557458715,0.5791422250836313,0.6201033860718094,100
command,slot1,exfil,prohibition,A,8,uat,log_user_tool,-0.5356463703952837,-0.6418193832078694,-0.437421335951894,100
command,slot1,exfil,prohibition,A,12,sucat,p_user,0.09290175050291317,0.07962179652372518,0.10692227435346666,100
command,slot1,exfil,prohibition,A,12,sucat,p_tool,0.1663191870424098,0.1586573554337025,0.17381833749200593,100
command,slot1,exfil,prohibition,A,12,sucat,log_user_tool,-0.7751016173666696,-0.916831443263992,-0.6368617559210047,100
command,slot1,exfil,prohibition,A,12,uat,p_user,0.24273135148841202,0.22052803235264604,0.2655066332724837,100
command,slot1,exfil,prohibition,A,12,uat,p_tool,0.4369922571035902,0.4215313427270449,0.4521526719875154,100
command,slot1,exfil,prohibition,A,12,uat,log_user_tool,-0.6680730820898302,-0.7891917634362424,-0.5541530803945084,100
command,slot1,exfil,prohibition,A,16,sucat,p_user,0.3186755739066418,0.29316730701272214,0.34518079394281903,100
command,slot1,exfil,prohibition,A,16,sucat,p_tool,0.4858659788951467,0.46488733767188206,0.5062030809803423,100
command,slot1,exfil,prohibition,A,16,sucat,log_user_tool,-0.483688357153577,-0.6081166326716049,-0.34955699088332903,100
command,slot1,exfil,prohibition,A,16,uat,p_user,0.448350478035888,0.4239901876367203,0.4743639098666772,100
command,slot1,exfil,prohibition,A,16,uat,p_tool,0.5457079676885415,0.5193653849183624,0.5704825271039663,100
command,slot1,exfil,prohibition,A,16,uat,log_user_tool,-0.19988797697241573,-0.3068302149938701,-0.08846624067702455,100
command,slot1,marker,neutral,B,8,sucat,p_user,0.23825444117727188,0.21797218881464325,0.2580760848601579,100
command,slot1,marker,neutral,B,8,sucat,p_tool,0.2912900615793499,0.27406826915684823,0.30955630800557643,100
command,slot1,marker,neutral,B,8,sucat,log_user_tool,-0.26358660872355527,-0.39788079532140114,-0.1400807846814702,100
command,slot1,marker,neutral,B,8,uat,p_user,0.5239738196576138,0.49667161283395117,0.5497315509706068,100
command,slot1,marker,neutral,B,8,uat,p_tool,0.4502000343397195,0.42634551706963586,0.4744876572437658,100
command,slot1,marker,neutral,B,8,uat,log_user_tool,0.1498778134876546,0.02841114708765537,0.26301028271499516,100
command,slot1,marker,neutral,B,12,sucat,p_user,0.15600406315842993,0.13657736020755293,0.1765742759830804,100
