construction,span,command,order,layer,space,contrast,metric,mean,lo,hi,n,frac_positive
command,slot1,exfil,A,8,sucat,permission-neutral,p_user,0.006489816766438394,0.004089179815064834,0.00889563256315602,100,0.76
command,slot1,exfil,A,8,uat,permission-neutral,p_user,0.012939946927255036,0.008490753980618465,0.01730250775163396,100,0.76
command,slot1,exfil,A,12,sucat,permission-neutral,p_user,0.004192837727521079,0.001953283383062672,0.006190489460417776,100,0.71
command,slot1,exfil,A,12,uat,permission-neutral,p_user,0.015621604875386054,0.011796382723760606,0.019185151599313426,100,0.83
command,slot1,exfil,A,16,sucat,permission-neutral,p_user,-0.007766052619362953,-0.014474433254407443,-0.001495655002568472,100,0.45
command,slot1,exfil,A,16,uat,permission-neutral,p_user,0.0015750324022991541,-0.004822196060668587,0.008195306187609596,100,0.58
command,slot1,marker,B,8,sucat,permission-neutral,p_user,0.01869880908834136,0.01387332359990196,0.02326229619732065,100,0.74
command,slot1,marker,B,8,uat,permission-neutral,p_user,0.10559884083020336,0.09822678595400983,0.11314256845092202,100,0.99
command,slot1,marker,B,12,sucat,permission-neutral,p_user,-0.011336966554704262,-0.017460118948346166,-0.005270759589626594,100,0.44
command,slot1,marker,B,12,uat,permission-neutral,p_user,0.04744834668201099,0.03874781420084723,0.056340515957252806,100,0.83
command,slot1,marker,B,16,sucat,permission-neutral,p_user,0.12285237260340322,0.10997379486398295,0.13587852671934397,100,0.99
command,slot1,marker,B,16,uat,permission-neutral,p_user,0.21024157929620801,0.19613136547152982,0.22458176493881662,100,1.0
command,slot2,exfil,B,8,sucat,permission-neutral,p_user,0.01832143758371235,0.015666003953020913,0.020936743889545827,100,0.92
command,slot2,exfil,B,8,uat,permission-neutral,p_user,0.03995680499592664,0.035593385168279965,0.044343894226752306,100,0.98
command,slot2,exfil,B,12,sucat,permission-neutral,p_user,0.01868079510511325,0.01686547655108365,0.02047748049015837,100,0.99
command,slot2,exfil,B,12,uat,permission-neutral,p_user,0.03438828359154882,0.030570832092653245,0.038154595237021145,100,0.96
command,slot2,exfil,B,16,sucat,permission-neutral,p_user,0.019269499194368312,0.012399814716812521,0.026011773052998333,100,0.72
command,slot2,exfil,B,16,uat,permission-neutral,p_user,0.029729932053056532,0.02276354886194175,0.036707785311425566,100,0.79
command,slot2,marker,A,8,sucat,permission-neutral,p_user,0.001140294489582995,-0.0030496988150651274,0.00524374592229319,100,0.51
command,slot2,marker,A,8,uat,permission-neutral,p_user,0.06103162873002946,0.055606315645343685,0.06652618178554674,100,1.0
command,slot2,marker,A,12,sucat,permission-neutral,p_user,-0.00811913593009202,-0.012274340910529417,-0.004312525214122288,100,0.39
command,slot2,marker,A,12,uat,permission-neutral,p_user,0.078284227039984,0.07195606245165415,0.08460397555438294,100,0.99
command,slot2,marker,A,16,sucat,permission-neutral,p_user,0.06839720879184996,0.05740359879142695,0.0795339175825931,100,0.95
command,slot2,marker,A,16,uat,permission-neutral,p_user,0.10444150356025236,0.09119757759507623,0.11806323711679702,100,0.94
null_ctrl,slot1,exfil,A,8,sucat,permission-neutral,p_user,0.005185009231978339,0.00035463370983386067,0.009599491853522742,100,0.61
null_ctrl,slot1,exfil,A,8,uat,permission-neutral,p_user,0.0015727761408991794,-0.003045815332545174,0.005808505202502794,100,0.55
null_ctrl,slot1,exfil,A,12,sucat,permission-neutral,p_user,0.002721988903552872,-0.0006874900870242086,0.005986790889218379,100,0.58
null_ctrl,slot1,exfil,A,12,uat,permission-neutral,p_user,0.004682446922819384,0.00014820863214868186,0.009391733284859535,100,0.6
null_ctrl,slot1,exfil,A,16,sucat,permission-neutral,p_user,-0.0007335748179759139,-0.009763635276044992,0.008610325401424302,100,0.49
null_ctrl,slot1,exfil,A,16,uat,permission-neutral,p_user,-0.0009378822108722007,-0.01044476584127301,0.008543350785943588,100,0.53
null_ctrl,slot1,marker,B,8,sucat,permission-neutral,p_user,0.0074071797272735026,0.0025571661640059287,0.011923500568766373,100,0.66
null_ctrl,slot1,marker,B,8,uat,permission-neutral,p_user,0.004205279511715166,-0.0011325371766663847,0.009256360667989851,100,0.6
null_ctrl,slot1,marker,B,12,sucat,permission-neutral,p_user,0.002610882361978034,-0.0012640908828306426,0.006602644313550113,100,0.51
null_ctrl,slot1,marker,B,12,uat,permission-neutral,p_user,0.002872111912321179,-0.003406717197604883,0.009109842307095758,100,0.59
null_ctrl,slot1,marker,B,16,sucat,permission-neutral,p_user,-0.0057571508116224515,-0.016206839589318504,0.004457876026945845,100,0.5
null_ctrl,slot1,marker,B,16,uat,permission-neutral,p_user,-0.004347735171653564,-0.014786460867689515,0.005647224828122482,100,0.52
null_ctrl,slot2,exfil,B,8,sucat,permission-neutral,p_user,0.00012607551236799977,-0.00448898042054917,0.004637678572938105,100,0.5
