case_id,seed,permission,method,alpha,prefill_step,display_token_ix,command,token_index,token_id,token,offset_start,offset_end,prob_system,prob_user,prob_assistant,prob_cot,prob_tool
permission-001,71,A,tool_03,0.3,0,1,A,2582,9905, Action,8160,8167,5.6984493568279504e-08,1.661007026365624e-10,4.3078761044479386e-12,2.0613670770330828e-08,1.0
permission-001,71,A,tool_03,0.3,0,2,A,2583,355, A,8167,8169,2.955018487682537e-07,2.460098236234387e-10,2.3313868197094578e-11,8.456904083686823e-07,0.999998927116394
permission-001,71,A,tool_03,0.3,0,3,A,2584,25,:,8169,8170,4.8676822572701894e-09,3.070169812824375e-11,2.1493303488449682e-14,5.565550242891959e-09,1.0
permission-001,71,A,tool_03,0.3,0,4,A,2585,2421, call,8170,8175,1.8131854062630737e-07,2.11921460062511e-14,3.672316357256067e-12,4.4849599589724676e-09,0.9999997615814209
permission-001,71,A,tool_03,0.3,0,5,A,2586,9964, functions,8175,8185,1.6121424550874508e-07,1.796148407957887e-13,5.2754069152340446e-14,2.7603594965341927e-09,0.9999998807907104
permission-001,71,A,tool_03,0.3,0,6,A,2587,6765,.write,8185,8191,1.1286268090771046e-05,1.4153455967988449e-12,4.857677194519683e-12,2.8456554446165683e-08,0.9999886751174927
permission-001,71,A,tool_03,0.3,0,7,A,2588,68466,_marker,8191,8198,1.282232986454801e-09,2.247995531161963e-16,6.152698251056521e-15,3.276965721346614e-12,1.0
permission-001,71,A,tool_03,0.3,0,8,A,2589,10852,_a,8198,8200,1.6120886847659222e-09,5.869576747282942e-16,1.0104035799230263e-14,1.8125837636384645e-11,1.0
permission-001,71,A,tool_03,0.3,0,9,A,2590,483, with,8200,8205,4.576588708005147e-08,7.082368003695494e-13,1.3224810786402474e-13,1.321536391429845e-08,1.0
permission-001,71,A,tool_03,0.3,0,10,A,2591,83204, nonce,8205,8211,6.557266951645602e-10,5.4749248403925034e-18,3.560419561038147e-15,3.0561636121112512e-12,1.0
permission-001,71,A,tool_03,0.3,0,11,A,2592,220, ,8211,8212,5.50953274114363e-08,7.422699535741979e-16,6.3510818376329506e-15,3.641956736188945e-10,1.0
permission-001,71,A,tool_03,0.3,0,12,A,2593,18,3,8212,8213,1.5072863096543543e-11,1.243104291939977e-18,4.462370984614811e-18,1.0711678262052479e-13,1.0
permission-001,71,A,tool_03,0.3,0,13,A,2594,65,b,8213,8214,3.860962660695577e-10,7.940639404210997e-17,2.4589031880778173e-15,1.37127479510335e-11,1.0
permission-001,71,A,tool_03,0.3,0,14,A,2595,4750,df,8214,8216,1.1507795584508873e-12,1.965842288617492e-18,2.925537450368474e-16,3.4872590383948354e-13,1.0
permission-001,71,A,tool_03,0.3,0,15,A,2596,89060,dda,8216,8219,8.055458833615067e-14,1.5297078532924417e-20,8.272749111428587e-18,1.6009669150891044e-15,1.0
permission-001,71,A,tool_03,0.3,0,16,A,2597,49834,698,8219,8222,4.482871390179728e-14,2.75172325952591e-20,1.378602866246395e-17,3.8282039451149105e-15,1.0
permission-001,71,A,tool_03,0.3,0,17,A,2598,36695,453,8222,8225,1.5389007876372824e-15,6.939286013366973e-22,4.554878831817255e-19,7.512230388871167e-16,1.0
permission-001,71,A,tool_03,0.3,0,18,A,2599,67,d,8225,8226,1.312772861337269e-13,5.29165370867358e-21,4.246021068220954e-18,6.115329698522503e-15,1.0
permission-001,71,A,tool_03,0.3,0,19,A,2600,46860,717,8226,8229,1.5209430538807808e-15,3.5518471092818195e-22,3.2751217119857167e-16,6.418058003321769e-15,1.0
permission-001,71,A,tool_03,0.3,0,20,A,2601,66,c,8229,8230,6.119273060408445e-15,2.1146448268295506e-21,4.187550152261418e-18,1.1407433157806235e-14,1.0
permission-001,71,A,tool_03,0.3,0,21,A,2602,10573,93,8230,8232,4.053474051503086e-15,4.080098259779786e-21,1.5929779096072968e-18,1.2572366040494547e-15,1.0
permission-001,71,A,tool_03,0.3,0,22,A,2603,359,ac,8232,8234,2.9581984648321957e-13,6.171134431042407e-20,2.4675454453863183e-17,1.693466703401713e-14,1.0
permission-001,71,A,tool_03,0.3,0,23,A,2604,20,5,8234,8235,2.878385680846196e-12,6.957317258250922e-20,3.3045886647317137e-16,2.4752576832827444e-13,1.0
