sample_ix,display_token_ix,base_message_type,seg_ix,offset_fraction,edited_role,sign,p_system,p_user,p_cot,p_assistant,p_tool
978,1,user,2,0.01,user,-1,0.0008083411595853495,0.14051279483656542,0.01706328205274609,6.108195485311955e-06,0.8416094737556179
979,2,user,2,0.01,user,-1,0.0006940475137401686,0.9767997612614194,0.00014438997038266325,5.1759209094459345e-08,0.022361749495248658
980,3,user,2,0.01,user,-1,0.0014245242673211421,0.19566599528899284,0.007144099576318402,2.0687346725559007e-06,0.795763312132695
981,4,user,2,0.01,user,-1,0.00789826240664577,0.7331087340388395,0.006429323148492834,4.684028184667958e-05,0.2525168401241752
982,5,user,2,0.01,user,-1,0.0015227637180309094,0.9825646659116871,0.00048575340118746043,7.113944869059421e-06,0.015419703024225422
983,6,user,2,0.01,user,-1,0.05237964049213767,0.9008576749458995,0.004175205389698101,1.8750315976812046e-05,0.04256872885628808
984,7,user,2,0.01,user,-1,0.0022909461041812056,0.9784775065746595,0.0008438239895392885,1.4281346740554096e-05,0.018373441984879377
985,8,user,2,0.01,user,-1,0.00017716689366911178,0.9972295906548662,1.5840462013403037e-05,3.094292927933834e-08,0.0025773710465217003
986,9,user,2,0.01,user,-1,0.003904698333921999,0.8882692342704885,0.0037227681449913176,1.8995742551514014e-05,0.10408430350804664
987,10,user,2,0.01,user,-1,0.0011695862268395257,0.8375983697810973,0.010860640326151845,0.00016673294968907584,0.15020467071622234
988,11,user,2,0.01,user,-1,0.0008409852637655361,0.9950844656777132,0.00010726346715668614,2.3841429317440313e-09,0.003967283207221758
989,12,user,2,0.01,user,-1,0.00022100425420104055,0.8695392935612198,0.006456436680744725,3.028191396236542e-08,0.12378323522192032
990,13,user,2,0.01,user,-1,0.026902782297347737,0.9671260540444824,0.0008013880422850827,6.09693723609399e-08,0.005169714646512398
991,14,user,2,0.01,user,-1,0.0004917911566241609,0.9989900199528211,8.356116657853205e-05,2.1889951398243912e-07,0.00043440882446237007
992,15,user,2,0.01,user,-1,0.026749581651817664,0.9411278714778998,0.007171229654259595,8.284392066770216e-05,0.02486847329535546
