offset_fraction,edited_role,sign,offset_norm,mean_p_system,mean_p_user,mean_p_cot,mean_p_assistant,mean_p_tool
0.01,user,-1,0.4524711366617226,0.0004469342914122499,0.09883664076940527,0.20711688252929608,0.6589857751318053,0.03461376727808098
0.01,user,0,0.0,0.00016602608445619798,0.15476214612069802,0.22605972369054825,0.5776046627940353,0.0414074413102622
0.01,user,1,0.4524711366617226,0.00014992242568962182,0.22495416237494475,0.229246648714728,0.4949577970698798,0.050691469414757766
0.01,tool,-1,0.4524711366617226,0.00013499797501868133,0.13902457932963533,0.2076639494593958,0.6380881476920905,0.01508832554385954
0.01,tool,0,0.0,0.00016602608445619798,0.15476214612069802,0.22605972369054825,0.5776046627940353,0.0414074413102622
0.01,tool,1,0.4524711366617226,0.00013709859428949467,0.16309427548862718,0.224168763295382,0.5125874198467977,0.10001244277490363
0.05,user,-1,2.262355683308613,0.001530489361023157,0.0006270066770603911,0.09607244120024729,0.8781291743800648,0.023640888381604417
0.05,user,0,0.0,0.00016602608445619798,0.15476214612069802,0.22605972369054825,0.5776046627940353,0.0414074413102622
0.05,user,1,2.262355683308613,6.664724838321615e-06,0.8134345981634741,0.08711595218919665,0.07800096580535729,0.021441819117133616
0.05,tool,-1,2.262355683308613,0.00013136640178785874,0.09044292028831227,0.06962742587377373,0.8397759759102839,2.231152584225538e-05
0.05,tool,0,0.0,0.00016602608445619798,0.15476214612069802,0.22605972369054825,0.5776046627940353,0.0414074413102622
0.05,tool,1,2.262355683308613,1.163682162211803e-05,0.059215438928506545,0.08402383881385886,0.11891665643270567,0.7378324290033068
