check,passed
completion_markers_and_metadata,True
actual_role_spaces_and_layers,True
item_template_condition_counts,True
original_input_hash_prefills.json,True
saved_input_content_prefills.json,True
original_input_hash_page_substitutions.json,True
saved_input_content_page_substitutions.json,True
probe_hash,True
all_1200_item_checkpoints,True
retokenized_all_1200_inputs_ids_and_offsets,True
all_checkpoint_input_span_mapping,True
inherited_span_end_contract,True
merged_token_count,True
token_keys_unique,True
tokens_have_exact_item_layer_space_coverage,True
every_scored_token_matches_input_and_span_position,True
sucat_token_probabilities,True
sucat_only_absent_roles_are_nan,True
sucat_page_probabilities,True
uat_token_probabilities,True
uat_only_absent_roles_are_nan,True
uat_page_probabilities,True
page_counts_and_keys,True
merged_page_values_equal_all_parts,True
per_item_summary_p_system,True
per_item_summary_p_user,True
per_item_summary_p_cot,True
per_item_summary_p_assistant,True
per_item_summary_p_tool,True
per_item_summary_log_user_tool,True
per_item_summary_rows_and_labels,True
all_1080_summary_means_CIs_denominators_and_fractions,True
overlap_8_sucat_exfil,True
overlap_8_sucat_marker,True
overlap_8_uat_exfil,True
overlap_8_uat_marker,True
overlap_12_sucat_exfil,True
overlap_12_sucat_marker,True
overlap_12_uat_exfil,True
overlap_12_uat_marker,True
overlap_16_sucat_exfil,True
overlap_16_sucat_marker,True
overlap_16_uat_exfil,True
overlap_16_uat_marker,True
