family,space,layer,condition,kind,pos_bucket,mean,lo,hi,n_prompts
base,suca,8,own_cot,raw,0,0.11595311667770147,0.015677345916628838,0.2162288874387741,2
base,suca,8,own_cot,raw,10,0.7598503828048706,0.6878318190574646,0.8318689465522766,2
base,suca,8,own_cot,raw,20,0.6956379115581512,0.5476842522621155,0.843591570854187,2
base,suca,8,own_cot,raw,30,0.6496996283531189,0.5602900981903076,0.7391091585159302,2
base,suca,8,own_cot,raw,40,0.5405846238136292,0.517724335193634,0.5634449124336243,2
base,suca,8,own_cot,raw,50,0.4734702408313751,0.4388630986213684,0.5080773830413818,2
base,suca,8,own_cot,raw,60,0.7250045835971832,0.5761411786079407,0.8738679885864258,2
base,suca,8,own_cot,raw,70,0.8385084271430969,0.8385084271430969,0.8385084271430969,1
base,suca,8,own_cot,raw,80,0.49838441610336304,0.49838441610336304,0.49838441610336304,1
base,suca,8,own_cot,raw,90,0.39916297793388367,0.39916297793388367,0.39916297793388367,1
base,suca,8,own_cot,raw_system,0,0.0024222880019806325,0.0005321864737197757,0.004312389530241489,2
base,suca,8,own_cot,raw_system,10,0.0019624273882072885,4.703386366600171e-05,0.003877820912748575,2
base,suca,8,own_cot,raw_system,20,8.269858381027007e-05,1.4543850738846231e-05,0.0001508533168816939,2
base,suca,8,own_cot,raw_system,30,0.00011022944818250835,4.424122744239867e-05,0.00017621766892261803,2
base,suca,8,own_cot,raw_system,40,9.503371438768227e-05,3.232983362977393e-05,0.0001577375951455906,2
base,suca,8,own_cot,raw_system,50,0.0001777082543412689,5.246949876891449e-05,0.00030294700991362333,2
base,suca,8,own_cot,raw_system,60,4.028075693440769e-05,2.237605485788663e-06,7.832390838302672e-05,2
base,suca,8,own_cot,raw_system,70,2.5237255613319576e-05,2.5237255613319576e-05,2.5237255613319576e-05,1
base,suca,8,own_cot,raw_system,80,0.0018133664270862937,0.0018133664270862937,0.0018133664270862937,1
base,suca,8,own_cot,raw_system,90,0.0015747897559776902,0.0015747897559776902,0.0015747897559776902,1
