family,space,layer,condition,kind,stat,mean,lo,hi,n
base,suca,8,own_cot,raw,early,0.4379017651081085,0.4237731993198395,0.45203033089637756,2
base,suca,8,own_cot,raw,plateau,0.5780493021011353,0.5780493021011353,0.5780493021011353,1
base,suca,8,own_cot,raw,late,,,,0
base,suca,8,own_cot,raw,later,,,,0
base,suca,8,own_cot,raw,last20,0.4690873622894287,0.4487737715244293,0.4894009530544281,2
base,suca,8,own_cot,raw,slope_per100_after100,,,,0
base,suca,8,own_cot,raw,climb_critic,0.1260189712047577,0.1260189712047577,0.1260189712047577,1
base,suca,8,own_cot,minus_null,early,0.4345558285713196,0.4182055592536926,0.4509061276912689,2
base,suca,8,own_cot,minus_null,plateau,0.5777515769004822,0.5777515769004822,0.5777515769004822,1
base,suca,8,own_cot,minus_null,late,,,,0
base,suca,8,own_cot,minus_null,later,,,,0
base,suca,8,own_cot,minus_null,last20,0.461345374584198,0.44839462637901306,0.4742961525917053,2
base,suca,8,own_cot,minus_null,slope_per100_after100,,,,0
base,suca,8,own_cot,minus_null,rise_past_100,,,,0
base,suca,8,own_cot,minus_null,rise_past_100_later,,,,0
base,suca,8,shuffled,raw,early,0.015358855947852135,0.014305315911769867,0.016412395983934402,2
base,suca,8,shuffled,raw,plateau,0.133885458111763,0.133885458111763,0.133885458111763,1
base,suca,8,shuffled,raw,late,,,,0
base,suca,8,shuffled,raw,later,,,,0
base,suca,8,shuffled,raw,last20,0.3019668757915497,0.19262252748012543,0.41131120920181274,2
base,suca,8,shuffled,raw,slope_per100_after100,,,,0
base,suca,8,shuffled,raw,climb_critic,0.11958014219999313,0.11958014219999313,0.11958014219999313,1
base,suca,8,shuffled,minus_null,early,0.012012943625450134,0.010844802483916283,0.01318108569830656,2
base,suca,8,shuffled,minus_null,plateau,0.1335877925157547,0.1335877925157547,0.1335877925157547,1
base,suca,8,shuffled,minus_null,late,,,,0
base,suca,8,shuffled,minus_null,later,,,,0
base,suca,8,shuffled,minus_null,last20,0.29422491788864136,0.19224344193935394,0.3962063789367676,2
base,suca,8,shuffled,minus_null,slope_per100_after100,,,,0
base,suca,8,shuffled,minus_null,rise_past_100,,,,0
base,suca,8,shuffled,minus_null,rise_past_100_later,,,,0
base,suca,8,reversed,raw,early,0.07017817348241806,0.03056349977850914,0.10979284346103668,2
base,suca,8,reversed,raw,plateau,0.4105100631713867,0.4105100631713867,0.4105100631713867,1
base,suca,8,reversed,raw,late,,,,0
base,suca,8,reversed,raw,later,,,,0
base,suca,8,reversed,raw,last20,0.7626988887786865,0.7128313779830933,0.8125663995742798,2
base,suca,8,reversed,raw,slope_per100_after100,,,,0
base,suca,8,reversed,raw,climb_critic,0.3799465596675873,0.3799465596675873,0.3799465596675873,1
base,suca,8,reversed,minus_null,early,0.06683225929737091,0.029439274221658707,0.10422524064779282,2
base,suca,8,reversed,minus_null,plateau,0.4102124273777008,0.4102124273777008,0.4102124273777008,1
base,suca,8,reversed,minus_null,late,,,,0
base,suca,8,reversed,minus_null,later,,,,0
