layer_ix,position_bucket,accuracy,n
0,0-15,0.47592245153220764,1599
0,16-31,0.4008838383838384,1584
0,32-63,0.3159922928709056,3114
0,64-127,0.22317524386141943,5946
0,128-255,0.1310065756196257,9885
0,256-511,0.1172061090093877,14274
0,512-1023,0.11460218237648737,18237
0,1024+,,0
2,0-15,0.8036272670419012,1599
2,16-31,0.5965909090909091,1584
2,32-63,0.46499678869621064,3114
2,64-127,0.33837874201143625,5946
2,128-255,0.2464339908952959,9885
2,256-511,0.20589883704637804,14274
2,512-1023,0.16751658715797554,18237
2,1024+,,0
4,0-15,0.7817385866166354,1599
4,16-31,0.6275252525252525,1584
4,32-63,0.5491329479768786,3114
4,64-127,0.4300369996636394,5946
4,128-255,0.32352048558421853,9885
4,256-511,0.25150623511279246,14274
4,512-1023,0.18215715304052202,18237
4,1024+,,0
6,0-15,0.8930581613508443,1599
6,16-31,0.8055555555555556,1584
6,32-63,0.7903018625561978,3114
6,64-127,0.7033299697275479,5946
6,128-255,0.6211431461810825,9885
6,256-511,0.550581476810985,14274
6,512-1023,0.49492789384218894,18237
6,1024+,,0
8,0-15,0.9518449030644153,1599
8,16-31,0.9109848484848485,1584
8,32-63,0.8917790622992935,3114
8,64-127,0.8681466532122435,5946
8,128-255,0.8202326757713707,9885
8,256-511,0.786184671430573,14274
8,512-1023,0.7635576026758787,18237
8,1024+,,0
10,0-15,0.9393370856785491,1599
10,16-31,0.8529040404040404,1584
10,32-63,0.8526011560693642,3114
10,64-127,0.801715438950555,5946
10,128-255,0.7413252402630248,9885
10,256-511,0.6922376348605856,14274
10,512-1023,0.7008279870592751,18237
10,1024+,,0
12,0-15,0.9280800500312696,1599
12,16-31,0.8503787878787878,1584
12,32-63,0.8233782915863841,3114
12,64-127,0.772452068617558,5946
12,128-255,0.721092564491654,9885
12,256-511,0.657208911307272,14274
12,512-1023,0.6607446400175467,18237
12,1024+,,0
14,0-15,0.9518449030644153,1599
14,16-31,0.898989898989899,1584
14,32-63,0.8901734104046243,3114
14,64-127,0.856878573831147,5946
14,128-255,0.8268082953970662,9885
14,256-511,0.7738545607398066,14274
14,512-1023,0.7489170367933322,18237
14,1024+,,0
16,0-15,0.9612257661038149,1599
16,16-31,0.9166666666666666,1584
16,32-63,0.9084778420038536,3114
16,64-127,0.9152371342078708,5946
16,128-255,0.9083459787556905,9885
16,256-511,0.8800616505534539,14274
16,512-1023,0.853320173274113,18237
16,1024+,,0
18,0-15,0.9380863039399625,1599
18,16-31,0.9109848484848485,1584
18,32-63,0.8978805394990366,3114
18,64-127,0.8873192061890346,5946
18,128-255,0.883055134041477,9885
18,256-511,0.8480453972257251,14274
18,512-1023,0.8170751768382958,18237
18,1024+,,0
20,0-15,0.9280800500312696,1599
20,16-31,0.9027777777777778,1584
20,32-63,0.8808606294155427,3114
20,64-127,0.8657921291624622,5946
20,128-255,0.8395548811330299,9885
20,256-511,0.8061510438559619,14274
20,512-1023,0.7937160717223227,18237
20,1024+,,0
22,0-15,0.9049405878674172,1599
22,16-31,0.8882575757575758,1584
22,32-63,0.8590237636480411,3114
22,64-127,0.8528422468886646,5946
22,128-255,0.8313606474456247,9885
22,256-511,0.816659660921956,14274
22,512-1023,0.8110983166090914,18237
22,1024+,,0
