layer_ix,true_role,predicted_role,count,row_fraction
0,system,system,2064,0.17811529168104936
0,system,user,4226,0.36468760787021054
0,system,cot,2965,0.25586813945460823
0,system,assistant,2333,0.20132896099413186
0,user,system,4818,0.37617114303560273
0,user,user,2337,0.1824640849469082
0,user,cot,3119,0.24351967520299814
0,user,assistant,2534,0.19784509681449094
0,cot,system,3814,0.25470816081207426
0,cot,user,4048,0.27033524776278883
0,cot,cot,2413,0.16114598637638575
0,cot,assistant,4699,0.3138106050487512
0,assistant,system,4227,0.276835418167529
0,assistant,user,3748,0.2454646669722968
0,assistant,cot,5343,0.34992468400026194
0,assistant,assistant,1951,0.12777523085991224
2,system,system,2467,0.21289264756644805
2,system,user,5662,0.48860890576458404
2,system,cot,1615,0.1393683120469451
2,system,assistant,1844,0.15913013462202277
2,user,system,6608,0.5159275452841974
2,user,user,3325,0.2596033728919425
2,user,cot,1542,0.12039350405996252
2,user,assistant,1333,0.10407557776389756
2,cot,system,1475,0.09850407372779485
2,cot,user,1713,0.11439829036997462
2,cot,cot,4309,0.28776546013089355
2,cot,assistant,7477,0.499332175771337
2,assistant,system,2111,0.13825397864955138
2,assistant,user,1683,0.11022332831226668
2,assistant,cot,7456,0.4883096469971838
2,assistant,assistant,4019,0.2632130460409981
4,system,system,3033,0.2617362789092164
4,system,user,5539,0.4779944770452192
4,system,cot,1282,0.11063168795305488
4,system,assistant,1734,0.1496375560925095
4,user,system,5286,0.4127108057464085
4,user,user,5322,0.41552154903185506
4,user,cot,1127,0.08799188007495315
4,user,assistant,1073,0.08377576514678325
4,cot,system,1983,0.13242954454387607
4,cot,user,1716,0.11459863763857353
4,cot,cot,4165,0.2781487912381461
4,cot,assistant,7110,0.4748230265794043
4,assistant,system,2664,0.17447115069749164
4,assistant,user,1530,0.10020302573842425
4,assistant,cot,6974,0.45674241928089593
4,assistant,assistant,4101,0.26858340428318817
6,system,system,5308,0.4580600621332413
6,system,user,3605,0.31109768726268555
6,system,cot,1512,0.13047980669658268
6,system,assistant,1163,0.10036244390749051
6,user,system,2736,0.21361648969394129
6,user,user,9307,0.7266552154903185
6,user,cot,577,0.04504996876951905
6,user,assistant,188,0.014678326046221112
6,cot,system,2590,0.1729664752237211
6,cot,user,1238,0.08267663950848136
6,cot,cot,7516,0.5019366902631227
6,cot,assistant,3630,0.24242019500467477
6,assistant,system,1140,0.07466107800117885
6,assistant,user,374,0.024494072958281484
6,assistant,cot,3514,0.23013949832994957
6,assistant,assistant,10241,0.6707053507105901
8,system,system,8031,0.6930445288229202
8,system,user,2484,0.2143596824301001
8,system,cot,581,0.05013807386952019
8,system,assistant,492,0.04245771487745944
8,user,system,1494,0.11664584634603373
8,user,user,11161,0.8714084946908183
8,user,cot,129,0.010071830106183635
8,user,assistant,24,0.0018738288569643974
8,cot,system,1066,0.0711900627754775
8,cot,user,276,0.01843194871109924
8,cot,cot,11820,0.7893682382796848
8,cot,assistant,1812,0.12100975023373849
8,assistant,system,178,0.011657606915973541
8,assistant,user,5,0.0003274608684262231
8,assistant,cot,1939,0.1269893247756893
8,assistant,assistant,13147,0.861025607439911
10,system,system,7334,0.632896099413186
10,system,user,2604,0.22471522264411462
10,system,cot,918,0.07921988263721091
10,system,assistant,732,0.06316879530548844
10,user,system,1904,0.1486570893191755
10,user,user,10573,0.8254996876951906
10,user,cot,302,0.023579013116801998
10,user,assistant,29,0.00226420986883198
10,cot,system,1745,0.11653532790169627
10,cot,user,540,0.036062508347802856
10,cot,cot,10278,0.6863897422198477
10,cot,assistant,2411,0.16101242153065312
10,assistant,system,417,0.027310236426747004
10,assistant,user,13,0.00085139825790818
10,assistant,cot,2759,0.18069290719758987
10,assistant,assistant,12080,0.7911454581177549
12,system,system,7038,0.6073524335519503
12,system,user,2447,0.21116672419744564
12,system,cot,1332,0.11494649637556092
12,system,assistant,771,0.06653434587504314
12,user,system,1863,0.14545596502186134
12,user,user,10432,0.8144909431605247
12,user,cot,473,0.03693004372267333
12,user,assistant,40,0.003123048094940662
12,cot,system,2218,0.14812341391745693
12,cot,user,825,0.05509549886469881
12,cot,cot,9208,0.614932549752905
12,cot,assistant,2723,0.18184853746493923
12,assistant,system,395,0.025869408605671624
12,assistant,user,20,0.0013098434737048924
12,assistant,cot,2985,0.19549413845045516
12,assistant,assistant,11869,0.7773266094701683
14,system,system,8474,0.7312737314463238
14,system,user,2004,0.1729375215740421
14,system,cot,774,0.06679323438039352
14,system,assistant,336,0.028995512599240592
14,user,system,1237,0.09658026233603997
14,user,user,11170,0.8721111805121798
14,user,cot,388,0.030293566520924423
14,user,assistant,13,0.0010149906308557152
14,cot,system,1939,0.12949111793775878
14,cot,user,401,0.026779751569386938
14,cot,cot,10481,0.6999465740617069
14,cot,assistant,2153,0.14378255643114732
14,assistant,system,180,0.01178859126334403
14,assistant,user,5,0.0003274608684262231
14,assistant,cot,1519,0.09948261182788656
14,assistant,assistant,13565,0.8884013360403432
16,system,system,9927,0.8566620642043493
16,system,user,1080,0.09319986192613049
