layer_ix,role,accuracy,n
0,system,0.17811529168104936,11588
0,user,0.1824640849469082,12808
0,cot,0.16114598637638575,14974
0,assistant,0.12777523085991224,15269
2,system,0.21289264756644805,11588
2,user,0.2596033728919425,12808
2,cot,0.28776546013089355,14974
2,assistant,0.2632130460409981,15269
4,system,0.2617362789092164,11588
4,user,0.41552154903185506,12808
4,cot,0.2781487912381461,14974
4,assistant,0.26858340428318817,15269
6,system,0.4580600621332413,11588
6,user,0.7266552154903185,12808
6,cot,0.5019366902631227,14974
6,assistant,0.6707053507105901,15269
8,system,0.6930445288229202,11588
8,user,0.8714084946908183,12808
8,cot,0.7893682382796848,14974
8,assistant,0.861025607439911,15269
10,system,0.632896099413186,11588
10,user,0.8254996876951906,12808
10,cot,0.6863897422198477,14974
10,assistant,0.7911454581177549,15269
12,system,0.6073524335519503,11588
12,user,0.8144909431605247,12808
12,cot,0.614932549752905,14974
12,assistant,0.7773266094701683,15269
14,system,0.7312737314463238,11588
14,user,0.8721111805121798,12808
14,cot,0.6999465740617069,14974
14,assistant,0.8884013360403432,15269
16,system,0.8566620642043493,11588
16,user,0.9416770768269831,12808
16,cot,0.7983170829437692,14974
16,assistant,0.9444626367149126,15269
18,system,0.8215395236451501,11588
18,user,0.9305902560899438,12808
18,cot,0.746226793108054,14974
18,assistant,0.9258628593883031,15269
20,system,0.7690714532274767,11588
20,user,0.9359775140537164,12808
20,cot,0.6811139308134099,14974
20,assistant,0.9160390333355164,15269
22,system,0.7732136693130826,11588
22,user,0.9462835727670206,12808
22,cot,0.6910645118204889,14974
22,assistant,0.9063461916301002,15269
