layer_ix,condition,original_role,system,user,cot,assistant
0,all_user_tags,assistant,0.30280152,0.26148486,0.22414717,0.21156646
0,all_user_tags,cot,0.30521545,0.22971587,0.26551566,0.19955304
0,all_user_tags,user,0.26701182,0.23265332,0.28765276,0.2126821
0,correct_tags,assistant,0.2746795,0.24134386,0.2475305,0.23644614
0,correct_tags,cot,0.25609592,0.19993448,0.30653507,0.23743454
0,correct_tags,user,0.29562244,0.28115392,0.23710269,0.18612094
0,no_tags,assistant,0.30277786,0.2614512,0.22419661,0.21157433
0,no_tags,cot,0.304658,0.22889882,0.2665207,0.19992246
0,no_tags,user,0.26368532,0.22784318,0.29287022,0.2156013
4,all_user_tags,assistant,0.026066072,0.014395394,0.6415496,0.31798896
4,all_user_tags,cot,0.03194351,0.08313321,0.72184294,0.1630803
4,all_user_tags,user,0.11174489,0.32016692,0.37092486,0.19716336
4,correct_tags,assistant,0.013086628,0.00739894,0.5837926,0.39572182
4,correct_tags,cot,0.02094597,0.05728151,0.7627337,0.15903883
4,correct_tags,user,0.06693711,0.48858252,0.25397992,0.19050045
4,no_tags,assistant,0.020511903,0.010428186,0.654467,0.3145929
4,no_tags,cot,0.029434307,0.061336372,0.7398807,0.16934867
4,no_tags,user,0.11840823,0.20917128,0.43656352,0.23585697
8,all_user_tags,assistant,4.7829724e-07,2.0562188e-08,0.0031619668,0.99683756
8,all_user_tags,cot,0.00011946978,0.006796567,0.89386815,0.09921583
8,all_user_tags,user,0.001486714,0.47839642,0.0017756178,0.51834124
8,correct_tags,assistant,1.6436667e-08,3.896679e-09,0.00035265498,0.9996473
8,correct_tags,cot,2.8001985e-05,0.00062108046,0.8399494,0.15940143
8,correct_tags,user,0.00034762122,0.65070975,0.00093128055,0.34801137
8,no_tags,assistant,2.3110455e-07,1.1013866e-08,0.0022588242,0.9977409
8,no_tags,cot,0.00018580603,0.0069633364,0.8814468,0.11140403
8,no_tags,user,0.0025774352,0.47067964,0.002501002,0.5242419
12,all_user_tags,assistant,7.304549e-05,0.00021085922,0.019406743,0.98030937
12,all_user_tags,cot,0.00013342498,0.028403573,0.7839102,0.18755277
12,all_user_tags,user,0.00027456912,0.6155422,0.038792506,0.34539077
12,correct_tags,assistant,3.0167355e-06,2.475215e-06,0.002040913,0.99795353
12,correct_tags,cot,8.125802e-05,0.00816454,0.68751615,0.30423808
12,correct_tags,user,0.00046130578,0.73150593,0.032231987,0.23580073
12,no_tags,assistant,4.574322e-05,0.00015178288,0.014296991,0.9855055
12,no_tags,cot,9.2526854e-05,0.02876046,0.77829677,0.19285025
12,no_tags,user,0.00036001462,0.588999,0.044045538,0.36659545
16,all_user_tags,assistant,0.00047881575,0.00016652356,0.036564525,0.9627902
16,all_user_tags,cot,6.531442e-05,0.00030244264,0.9757913,0.023840921
16,all_user_tags,user,0.00010465178,0.67420334,0.008663569,0.3170285
16,correct_tags,assistant,0.00035976534,9.474332e-05,0.011143965,0.98840153
16,correct_tags,cot,0.00010512658,0.00024794636,0.94349974,0.05614713
16,correct_tags,user,5.1523137e-05,0.57866883,0.001160343,0.42011935
16,no_tags,assistant,0.0003149191,9.773491e-05,0.030046152,0.96954125
16,no_tags,cot,6.223395e-05,0.000410298,0.97103477,0.028492734
16,no_tags,user,8.6147425e-05,0.630193,0.0074275197,0.36229336
20,all_user_tags,assistant,1.1830255e-05,0.0033816346,0.0019598557,0.99464667
20,all_user_tags,cot,0.0012426539,0.33495152,0.651144,0.012661777
20,all_user_tags,user,0.0018973075,0.88293326,0.0043069716,0.11086246
20,correct_tags,assistant,1.1432866e-05,0.0041730287,4.7671114e-05,0.9957679
20,correct_tags,cot,0.002016393,0.254276,0.71122736,0.032480247
20,correct_tags,user,0.008101625,0.758869,0.0027673286,0.23026203
20,no_tags,assistant,8.4509875e-06,0.0032236897,0.0017066028,0.9950612
20,no_tags,cot,0.0010204484,0.33992833,0.6445965,0.014454676
20,no_tags,user,0.0013854726,0.8655567,0.003403689,0.12965412
