token_ix,token_id,output_id,output_prob,token,prompt_ix,sample_ix,condition,original_role,system,user,cot,assistant,content_token_ix
3,3575,3462,0.21,You,0,3,correct_tags,system,0.9999441,6.6875386e-06,4.9219227e-05,4.7597726e-10,0
4,553,6145,0.4, are,0,4,correct_tags,system,0.9996824,0.00010952475,0.00020802843,4.129724e-10,1
5,17554,162016,0.99, Chat,0,5,correct_tags,system,0.8986072,0.1011152,0.00027758483,1.219091e-09,2
6,162016,11,0.62,GPT,0,6,correct_tags,system,0.015786698,0.97571146,0.008501468,3.625074e-07,3
7,11,261,0.78,",",0,7,correct_tags,system,0.025405234,0.00054196466,0.974051,1.8237208e-06,4
8,261,4410,1.0, a,0,8,correct_tags,system,6.98668e-08,1.046302e-06,0.99999607,2.894862e-06,5
9,4410,6439,1.0, large,0,9,correct_tags,system,5.4054723e-05,1.465662e-06,0.99977034,0.00017415463,6
10,6439,2359,0.99, language,0,10,correct_tags,system,0.9428998,0.049108546,0.007969089,2.2588774e-05,7
11,2359,22203,0.92, model,0,11,correct_tags,system,0.0010938685,0.0018295752,0.997074,2.4750857e-06,8
12,22203,656,0.98, trained,0,12,correct_tags,system,0.009048488,0.0018546303,0.9890961,7.9183377e-07,9
13,656,7788,1.0, by,0,13,correct_tags,system,0.9071893,0.05048087,0.0423298,1.1241802e-08,10
14,7788,17527,1.0, Open,0,14,correct_tags,system,0.0042860615,0.9957071,6.854919e-06,5.333005e-11,11
15,17527,13,0.4,AI,0,15,correct_tags,system,0.0021281154,0.31173393,0.68613553,2.4588776e-06,12
16,558,2167,0.71,".
",0,16,correct_tags,system,0.0025065502,0.9971623,0.0003305385,6.330296e-07,13
17,87447,100594,0.73,Knowledge,0,17,correct_tags,system,2.3725465e-06,0.99752253,0.0024720288,3.0375677e-06,14
18,100594,25,0.72, cutoff,0,18,correct_tags,system,2.643369e-06,0.99877995,0.0012173242,9.410774e-08,15
19,25,220,1.0,:,0,19,correct_tags,system,5.4070442e-05,0.9999429,2.9891573e-06,2.4740842e-08,16
20,220,1323,0.71, ,0,20,correct_tags,system,0.41976005,0.5800646,0.00017444848,9.1062475e-07,17
21,1323,16,0.46,202,0,21,correct_tags,system,0.19995686,0.80000556,3.6507274e-05,1.0166093e-06,18
22,19,50005,0.61,4,0,22,correct_tags,system,2.7524622e-05,0.99995756,1.48753625e-05,1.3768406e-11,19
23,12,3173,0.42,-,0,23,correct_tags,system,0.00041820717,0.96028084,0.039300997,1.0483263e-08,20
24,3218,12,0.37,06,0,24,correct_tags,system,0.0017044625,0.9964629,0.0018326489,1.5779154e-08,21
25,198,2167,0.62,"
",0,25,correct_tags,system,3.1286615e-06,0.9999957,1.2273943e-06,1.7565795e-09,22
26,6576,2608,0.22,Current,0,26,correct_tags,system,1.7898576e-07,0.99999774,1.8617478e-06,7.098571e-08,23
27,3521,25,0.93, date,0,27,correct_tags,system,1.1992507e-05,0.9999559,3.1923006e-05,1.5087474e-07,24
28,25,220,0.79,:,0,28,correct_tags,system,1.5177679e-06,0.99999607,2.3685539e-06,2.2288638e-09,25
29,220,23,0.13, ,0,29,correct_tags,system,0.55529475,0.4406516,0.0040525813,1.0585837e-06,26
30,1323,18,0.35,202,0,30,correct_tags,system,0.56386477,0.43612856,6.5702943e-06,8.204241e-08,27
31,20,30,0.31,5,0,31,correct_tags,system,0.0005751381,0.9992506,0.00017422103,2.2066404e-08,28
32,12,18,0.42,-,0,32,correct_tags,system,0.41458255,0.5852115,0.00020593668,5.5127987e-09,29
33,702,30,0.4,10,0,33,correct_tags,system,5.8797928e-06,0.99736005,0.002634133,5.146773e-09,30
34,12,1422,0.26,-,0,34,correct_tags,system,0.11925487,0.88063866,0.000106499356,9.435716e-09,31
35,2290,364,0.21,01,0,35,correct_tags,system,0.00010911051,0.9996878,0.00020306933,4.6900574e-08,32
36,279,2167,0.92,"

",0,36,correct_tags,system,5.8947318e-08,1.0,3.377654e-09,1.534421e-13,33
37,30377,289,0.93,Reason,0,37,correct_tags,system,3.1147363e-07,0.9999939,5.7049183e-06,5.010171e-09,34
38,289,25,0.24,ing,0,38,correct_tags,system,2.3850173e-05,0.99801034,0.0019658417,9.080869e-09,35
39,25,623,0.3,:,0,39,correct_tags,system,0.060192868,0.93391204,0.0058950144,1.1336424e-07,36
40,14093,30,0.35, medium,0,40,correct_tags,system,6.546106e-05,0.98843735,0.011490956,6.160618e-06,37
41,198,2167,0.94,"
",0,41,correct_tags,system,0.002758902,0.69642276,0.30081794,3.9652176e-07,38
42,2,68406,0.19,#,0,42,correct_tags,system,0.00064712757,0.98454803,0.014710967,9.393662e-05,39
43,13888,30,0.4, Valid,0,43,correct_tags,system,1.256365e-05,0.9991959,0.0007897745,1.9344936e-06,40
44,18403,25,0.27, channels,0,44,correct_tags,system,0.0012837977,0.99039954,0.008193613,0.0001229781,41
45,25,723,0.46,:,0,45,correct_tags,system,0.019286903,0.9312854,0.04087579,0.008551882,42
46,8450,11,0.68, analysis,0,46,correct_tags,system,0.012647671,0.8892242,0.09738476,0.0007435058,43
47,11,1721,0.2,",",0,47,correct_tags,system,0.059308305,0.84255177,0.09586169,0.002278321,44
48,49159,11,0.24, commentary,0,48,correct_tags,system,0.005136838,0.00969083,0.98514545,2.6881697e-05,45
49,11,5178,0.25,",",0,49,correct_tags,system,0.0038103468,0.9959806,0.00020907978,1.1942194e-08,46
50,1721,364,0.47, final,0,50,correct_tags,system,0.014680356,0.0075770556,0.97683614,0.0009063974,47
51,13,1416,0.65,.,0,51,correct_tags,system,0.1775074,0.45300555,0.36930594,0.00018111961,48
52,21030,485,0.19, Channel,0,52,correct_tags,system,0.0062801912,0.9935674,0.00014965223,2.749144e-06,49
53,2804,485,0.13, must,0,53,correct_tags,system,0.000103972554,0.9998734,2.2543292e-05,1.3233547e-07,50
54,413,1775,0.06, be,0,54,correct_tags,system,7.0270175e-07,0.99922085,0.00077837356,8.592589e-12,51
55,7360,30,0.29, included,0,55,correct_tags,system,0.00107049,0.9962286,0.0026655258,3.536033e-05,52
56,395,2454,0.93, for,0,56,correct_tags,system,0.006651229,0.9770756,0.016165433,0.00010772983,53
57,1753,485,0.25, every,0,57,correct_tags,system,0.007320936,0.97130257,0.021346048,3.040886e-05,54
58,3176,364,0.36, message,0,58,correct_tags,system,0.0005866725,0.9659058,0.03349605,1.1520607e-05,55
59,13,20953,0.36,.,0,59,correct_tags,system,0.05836129,0.64483416,0.23548745,0.061317045,56
64,12194,0,0.44,Hi,0,64,correct_tags,user,1.6640367e-08,0.9999999,6.878665e-08,8.067847e-15,57
65,0,623,0.12,!,0,65,correct_tags,user,2.570118e-07,0.99999046,9.251165e-06,6.9684085e-12,58
66,5477,2360,0.1, I'm,0,66,correct_tags,user,5.432447e-09,1.0,3.6580843e-08,2.290283e-13,59
67,7524,316,0.07, learning,0,67,correct_tags,user,8.8182514e-07,0.99999404,5.14673e-06,1.9997777e-09,60
68,1495,316,0.48, how,0,68,correct_tags,user,5.2815955e-07,0.9999976,1.8796449e-06,7.141051e-11,61
69,316,6240,0.18, to,0,69,correct_tags,user,8.494459e-05,0.9998379,7.7085715e-05,5.6180456e-09,62
70,13727,30,0.19, garden,0,70,correct_tags,user,1.2923244e-06,0.9999149,8.3787134e-05,4.068898e-08,63
71,326,66241,0.07, and,0,71,correct_tags,user,3.0960553e-07,0.99999213,7.5647263e-06,1.2325133e-10,64
72,3839,30,0.06, grow,0,72,correct_tags,user,6.071621e-08,0.9999989,9.571995e-07,4.9268146e-12,65
73,13940,30,0.16, plants,0,73,correct_tags,user,4.96095e-07,0.9999963,3.2148412e-06,3.166035e-10,66
74,13,6240,0.23,.,0,74,correct_tags,user,9.911051e-10,1.0,4.785749e-09,2.1746049e-13,67
75,730,495,0.14, In,0,75,correct_tags,user,1.5298202e-08,0.9999987,1.2991269e-06,6.135899e-14,68
76,261,6240,0.14, a,0,76,correct_tags,user,5.2200217e-08,0.99999785,2.174334e-06,4.1724877e-11,69
77,3120,5310,0.07, few,0,77,correct_tags,user,7.028218e-09,0.9999999,9.270248e-08,1.3519844e-10,70
78,40536,30,0.26, sentences,0,78,correct_tags,user,4.974084e-07,0.99998724,1.22218435e-05,3.729642e-10,71
79,11,495,0.14,",",0,79,correct_tags,user,3.4147814e-07,0.9999981,1.5158963e-06,4.7815327e-13,72
80,665,581,0.24, can,0,80,correct_tags,user,1.7411895e-07,0.99999905,8.5066034e-07,1.913938e-12,73
81,481,30,0.14, you,0,81,correct_tags,user,1.9900417e-06,0.99998534,1.2579561e-05,5.7652545e-14,74
82,4843,30,0.23, please,0,82,correct_tags,user,2.365361e-09,1.0,5.0667303e-08,3.3890451e-12,75
83,5485,668,0.22, tell,0,83,correct_tags,user,2.8600518e-08,0.99999964,3.665226e-07,4.1470428e-11,76
84,668,30,0.17, me,0,84,correct_tags,user,5.798772e-05,0.99928623,0.0006556911,8.1203e-08,77
85,1495,316,0.19, how,0,85,correct_tags,user,8.773372e-08,0.9999989,9.857673e-07,1.14050505e-10,78
86,316,6240,0.14, to,0,86,correct_tags,user,7.2349444e-06,0.9977053,0.0022874929,4.9033513e-08,79
87,3839,30,0.1, grow,0,87,correct_tags,user,1.7961962e-07,0.99998903,1.0720823e-05,2.710465e-08,80
88,55866,30,0.33, tomatoes,0,88,correct_tags,user,1.0592732e-05,0.9999856,3.462833e-06,3.141326e-07,81
89,30,86019,0.41,?,0,89,correct_tags,user,4.7780823e-06,0.9911334,0.008861048,7.854257e-07,82
