layer_ix,hierarchical_mean_balanced_accuracy,leaf_five_way_balanced_accuracy
0,0.5836163949275363,0.5769701086956521
4,0.6272267512077295,0.6472826086956521
8,0.6133944746376812,0.65
12,0.5929008152173912,0.5993885869565218
16,0.7131076388888888,0.7455842391304348
20,0.743131038647343,0.7739809782608696
24,0.803876056763285,0.8272418478260869
28,0.7744942632850241,0.7762907608695653
32,0.7781174516908212,0.7909646739130435
36,0.782344504830918,0.7843070652173914
40,0.8462786835748792,0.8866847826086955
44,0.8725656702898551,0.918546195652174
48,0.8714145531400966,0.9190896739130435
52,0.8360884661835749,0.8535326086956522
56,0.8360318538647343,0.8470108695652174
60,0.8306348128019323,0.8368885869565217
