layer_ix,head,class,accuracy,n_test_tokens
0,outer_role,system,0.444633152173913,2944
0,outer_role,user,0.39809782608695654,2944
0,outer_role,assistant,0.5084918478260869,2944
0,user_subtype,user,0.7272418478260869,2944
0,user_subtype,tool,0.6898777173913043,2944
0,assistant_subtype,assistant,0.5968070652173914,2944
0,assistant_subtype,cot,0.5869565217391305,2944
0,leaf_five_way,system,0.6908967391304348,2944
0,leaf_five_way,user,0.6494565217391305,2944
0,leaf_five_way,tool,0.6844429347826086,2944
0,leaf_five_way,cot,0.42697010869565216,2944
0,leaf_five_way,assistant,0.43308423913043476,2944
4,outer_role,system,0.5200407608695652,2944
4,outer_role,user,0.49490489130434784,2944
4,outer_role,assistant,0.49796195652173914,2944
4,user_subtype,user,0.7581521739130435,2944
4,user_subtype,tool,0.7336956521739131,2944
4,assistant_subtype,assistant,0.6572690217391305,2944
4,assistant_subtype,cot,0.6056385869565217,2944
4,leaf_five_way,system,0.7598505434782609,2944
4,leaf_five_way,user,0.7136548913043478,2944
4,leaf_five_way,tool,0.7136548913043478,2944
4,leaf_five_way,cot,0.4908288043478261,2944
4,leaf_five_way,assistant,0.5584239130434783,2944
8,outer_role,system,0.47927989130434784,2944
8,outer_role,user,0.44429347826086957,2944
8,outer_role,assistant,0.4735054347826087,2944
8,user_subtype,user,0.7700407608695652,2944
8,user_subtype,tool,0.7479619565217391,2944
8,assistant_subtype,assistant,0.59375,2944
8,assistant_subtype,cot,0.6372282608695652,2944
8,leaf_five_way,system,0.7999320652173914,2944
8,leaf_five_way,user,0.7160326086956522,2944
8,leaf_five_way,tool,0.7194293478260869,2944
8,leaf_five_way,cot,0.5088315217391305,2944
8,leaf_five_way,assistant,0.5057744565217391,2944
12,outer_role,system,0.46535326086956524,2944
12,outer_role,user,0.47622282608695654,2944
12,outer_role,assistant,0.41983695652173914,2944
12,user_subtype,user,0.7119565217391305,2944
12,user_subtype,tool,0.7214673913043478,2944
12,assistant_subtype,assistant,0.5859375,2944
12,assistant_subtype,cot,0.6304347826086957,2944
12,leaf_five_way,system,0.7374320652173914,2944
12,leaf_five_way,user,0.6535326086956522,2944
12,leaf_five_way,tool,0.6932744565217391,2944
12,leaf_five_way,cot,0.4453125,2944
12,leaf_five_way,assistant,0.4673913043478261,2944
16,outer_role,system,0.6277173913043478,2944
16,outer_role,user,0.5920516304347826,2944
16,outer_role,assistant,0.469429347826087,2944
16,user_subtype,user,0.7533967391304348,2944
16,user_subtype,tool,0.7374320652173914,2944
16,assistant_subtype,assistant,0.8152173913043478,2944
16,assistant_subtype,cot,0.8464673913043478,2944
16,leaf_five_way,system,0.8125,2944
16,leaf_five_way,user,0.7245244565217391,2944
16,leaf_five_way,tool,0.7126358695652174,2944
16,leaf_five_way,cot,0.7014266304347826,2944
16,leaf_five_way,assistant,0.7768342391304348,2944
20,outer_role,system,0.7418478260869565,2944
20,outer_role,user,0.6915760869565217,2944
20,outer_role,assistant,0.41440217391304346,2944
20,user_subtype,user,0.7944972826086957,2944
20,user_subtype,tool,0.7761548913043478,2944
20,assistant_subtype,assistant,0.8247282608695652,2944
20,assistant_subtype,cot,0.8315217391304348,2944
20,leaf_five_way,system,0.8675271739130435,2944
20,leaf_five_way,user,0.7700407608695652,2944
20,leaf_five_way,tool,0.7510190217391305,2944
20,leaf_five_way,cot,0.7238451086956522,2944
20,leaf_five_way,assistant,0.7574728260869565,2944
24,outer_role,system,0.8226902173913043,2944
24,outer_role,user,0.7051630434782609,2944
24,outer_role,assistant,0.5288722826086957,2944
24,user_subtype,user,0.845108695652174,2944
24,user_subtype,tool,0.8338994565217391,2944
24,assistant_subtype,assistant,0.8817934782608695,2944
24,assistant_subtype,cot,0.8913043478260869,2944
24,leaf_five_way,system,0.8828125,2944
24,leaf_five_way,user,0.8206521739130435,2944
24,leaf_five_way,tool,0.8080842391304348,2944
24,leaf_five_way,cot,0.7900815217391305,2944
24,leaf_five_way,assistant,0.834578804347826,2944
28,outer_role,system,0.7975543478260869,2944
28,outer_role,user,0.6827445652173914,2944
28,outer_role,assistant,0.4938858695652174,2944
28,user_subtype,user,0.829483695652174,2944
28,user_subtype,tool,0.8019701086956522,2944
28,assistant_subtype,assistant,0.8444293478260869,2944
28,assistant_subtype,cot,0.8549592391304348,2944
28,leaf_five_way,system,0.8542798913043478,2944
28,leaf_five_way,user,0.7900815217391305,2944
28,leaf_five_way,tool,0.7537364130434783,2944
28,leaf_five_way,cot,0.7170516304347826,2944
28,leaf_five_way,assistant,0.7663043478260869,2944
32,outer_role,system,0.8237092391304348,2944
32,outer_role,user,0.6752717391304348,2944
32,outer_role,assistant,0.4548233695652174,2944
32,user_subtype,user,0.8318614130434783,2944
32,user_subtype,tool,0.8315217391304348,2944
32,assistant_subtype,assistant,0.8576766304347826,2944
32,assistant_subtype,cot,0.845108695652174,2944
32,leaf_five_way,system,0.8627717391304348,2944
32,leaf_five_way,user,0.7938179347826086,2944
32,leaf_five_way,tool,0.7992527173913043,2944
32,leaf_five_way,cot,0.717391304347826,2944
32,leaf_five_way,assistant,0.7815896739130435,2944
36,outer_role,system,0.8148777173913043,2944
36,outer_role,user,0.673233695652174,2944
36,outer_role,assistant,0.4476902173913043,2944
36,user_subtype,user,0.8332201086956522,2944
36,user_subtype,tool,0.8410326086956522,2944
36,assistant_subtype,assistant,0.8804347826086957,2944
36,assistant_subtype,cot,0.8488451086956522,2944
36,leaf_five_way,system,0.8291440217391305,2944
36,leaf_five_way,user,0.796875,2944
36,leaf_five_way,tool,0.7924592391304348,2944
36,leaf_five_way,cot,0.7075407608695652,2944
36,leaf_five_way,assistant,0.795516304347826,2944
40,outer_role,system,0.8770380434782609,2944
40,outer_role,user,0.6858016304347826,2944
40,outer_role,assistant,0.556046195652174,2944
40,user_subtype,user,0.9113451086956522,2944
40,user_subtype,tool,0.8926630434782609,2944
40,assistant_subtype,assistant,0.9320652173913043,2944
40,assistant_subtype,cot,0.9290081521739131,2944
40,leaf_five_way,system,0.9422554347826086,2944
40,leaf_five_way,user,0.8923233695652174,2944
40,leaf_five_way,tool,0.8695652173913043,2944
40,leaf_five_way,cot,0.8474864130434783,2944
