layer_ix,head,accuracy,balanced_accuracy,n_train_tokens,n_test_tokens
0,outer_role,0.45040760869565216,0.45040760869565216,83985,8832
0,user_subtype,0.7085597826086957,0.7085597826086956,55990,5888
0,assistant_subtype,0.5918817934782609,0.591881793478261,55990,5888
0,leaf_five_way,0.5769701086956521,0.5769701086956521,139975,14720
4,outer_role,0.504302536231884,0.5043025362318841,83985,8832
4,user_subtype,0.7459239130434783,0.7459239130434783,55990,5888
4,assistant_subtype,0.631453804347826,0.6314538043478262,55990,5888
4,leaf_five_way,0.6472826086956521,0.6472826086956521,139975,14720
8,outer_role,0.4656929347826087,0.4656929347826087,83985,8832
8,user_subtype,0.7590013586956522,0.7590013586956521,55990,5888
8,assistant_subtype,0.6154891304347826,0.6154891304347826,55990,5888
8,leaf_five_way,0.65,0.65,139975,14720
12,outer_role,0.453804347826087,0.4538043478260869,83985,8832
12,user_subtype,0.7167119565217391,0.7167119565217391,55990,5888
12,assistant_subtype,0.6081861413043478,0.6081861413043479,55990,5888
12,leaf_five_way,0.5993885869565218,0.5993885869565218,139975,14720
16,outer_role,0.5630661231884058,0.5630661231884058,83985,8832
16,user_subtype,0.7454144021739131,0.7454144021739131,55990,5888
16,assistant_subtype,0.8308423913043478,0.8308423913043478,55990,5888
16,leaf_five_way,0.7455842391304348,0.7455842391304348,139975,14720
20,outer_role,0.6159420289855072,0.6159420289855072,83985,8832
20,user_subtype,0.7853260869565217,0.7853260869565217,55990,5888
20,assistant_subtype,0.828125,0.828125,55990,5888
20,leaf_five_way,0.7739809782608695,0.7739809782608696,139975,14720
24,outer_role,0.6855751811594203,0.6855751811594203,83985,8832
24,user_subtype,0.8395040760869565,0.8395040760869565,55990,5888
24,assistant_subtype,0.8865489130434783,0.8865489130434783,55990,5888
24,leaf_five_way,0.827241847826087,0.8272418478260869,139975,14720
28,outer_role,0.6580615942028986,0.6580615942028986,83985,8832
28,user_subtype,0.8157269021739131,0.8157269021739131,55990,5888
28,assistant_subtype,0.8496942934782609,0.8496942934782609,55990,5888
28,leaf_five_way,0.7762907608695652,0.7762907608695653,139975,14720
32,outer_role,0.6512681159420289,0.6512681159420289,83985,8832
32,user_subtype,0.8316915760869565,0.8316915760869565,55990,5888
32,assistant_subtype,0.8513926630434783,0.8513926630434783,55990,5888
32,leaf_five_way,0.7909646739130435,0.7909646739130435,139975,14720
36,outer_role,0.6452672101449275,0.6452672101449276,83985,8832
36,user_subtype,0.8371263586956522,0.8371263586956522,55990,5888
36,assistant_subtype,0.864639945652174,0.864639945652174,55990,5888
36,leaf_five_way,0.7843070652173914,0.7843070652173914,139975,14720
40,outer_role,0.7062952898550725,0.7062952898550724,83985,8832
40,user_subtype,0.9020040760869565,0.9020040760869565,55990,5888
40,assistant_subtype,0.9305366847826086,0.9305366847826086,55990,5888
40,leaf_five_way,0.8866847826086957,0.8866847826086955,139975,14720
44,outer_role,0.7272418478260869,0.7272418478260869,83985,8832
44,user_subtype,0.94140625,0.94140625,55990,5888
44,assistant_subtype,0.9490489130434783,0.9490489130434783,55990,5888
44,leaf_five_way,0.9185461956521739,0.918546195652174,139975,14720
48,outer_role,0.7205615942028986,0.7205615942028986,83985,8832
48,user_subtype,0.9456521739130435,0.9456521739130435,55990,5888
48,assistant_subtype,0.9480298913043478,0.9480298913043479,55990,5888
48,leaf_five_way,0.9190896739130435,0.9190896739130435,139975,14720
52,outer_role,0.6869338768115942,0.6869338768115942,83985,8832
52,user_subtype,0.9042119565217391,0.9042119565217391,55990,5888
52,assistant_subtype,0.9171195652173914,0.9171195652173914,55990,5888
52,leaf_five_way,0.8535326086956522,0.8535326086956522,139975,14720
56,outer_role,0.6848958333333334,0.6848958333333334,83985,8832
56,user_subtype,0.9084578804347826,0.9084578804347826,55990,5888
56,assistant_subtype,0.9147418478260869,0.9147418478260869,55990,5888
56,leaf_five_way,0.8470108695652174,0.8470108695652174,139975,14720
60,outer_role,0.6816123188405797,0.6816123188405797,83985,8832
60,user_subtype,0.9059103260869565,0.9059103260869565,55990,5888
60,assistant_subtype,0.9043817934782609,0.9043817934782609,55990,5888
60,leaf_five_way,0.8368885869565217,0.8368885869565217,139975,14720
