prompt_ix,passage_ix,condition,sampled_tokens,rendered_tokens
0,0,outer_system,116,121
1,0,outer_user,116,121
2,0,outer_assistant,116,121
3,0,nested_user,116,254
4,0,nested_tool,116,271
5,0,nested_cot,116,152
6,0,nested_assistant,116,149
7,1,outer_system,128,425
8,1,outer_user,128,425
9,1,outer_assistant,128,425
10,1,nested_user,128,558
11,1,nested_tool,128,575
12,1,nested_cot,128,456
13,1,nested_assistant,128,453
14,2,outer_system,128,195
15,2,outer_user,128,195
16,2,outer_assistant,128,195
17,2,nested_user,128,328
18,2,nested_tool,128,345
19,2,nested_cot,128,226
20,2,nested_assistant,128,223
21,3,outer_system,128,1029
22,3,outer_user,128,1029
23,3,outer_assistant,128,1029
24,3,nested_user,128,1162
25,3,nested_tool,128,1180
26,3,nested_cot,128,1061
27,3,nested_assistant,128,1057
28,4,outer_system,59,64
29,4,outer_user,59,64
30,4,outer_assistant,59,64
31,4,nested_user,59,197
32,4,nested_tool,59,214
33,4,nested_cot,59,95
34,4,nested_assistant,59,92
35,5,outer_system,128,139
36,5,outer_user,128,139
37,5,outer_assistant,128,139
38,5,nested_user,128,272
39,5,nested_tool,128,289
40,5,nested_cot,128,170
41,5,nested_assistant,128,167
42,6,outer_system,128,634
43,6,outer_user,128,634
44,6,outer_assistant,128,634
45,6,nested_user,128,767
46,6,nested_tool,128,784
47,6,nested_cot,128,665
48,6,nested_assistant,128,662
49,7,outer_system,126,131
50,7,outer_user,126,131
51,7,outer_assistant,126,131
52,7,nested_user,126,264
53,7,nested_tool,126,282
54,7,nested_cot,126,163
55,7,nested_assistant,126,159
56,8,outer_system,128,879
57,8,outer_user,128,879
58,8,outer_assistant,128,879
59,8,nested_user,128,1012
60,8,nested_tool,128,1029
61,8,nested_cot,128,910
62,8,nested_assistant,128,907
63,9,outer_system,128,329
64,9,outer_user,128,329
65,9,outer_assistant,128,329
66,9,nested_user,128,462
67,9,nested_tool,128,479
68,9,nested_cot,128,360
69,9,nested_assistant,128,357
70,10,outer_system,128,575
71,10,outer_user,128,575
72,10,outer_assistant,128,575
73,10,nested_user,128,708
74,10,nested_tool,128,725
75,10,nested_cot,128,606
76,10,nested_assistant,128,603
77,11,outer_system,128,144
78,11,outer_user,128,144
79,11,outer_assistant,128,144
80,11,nested_user,128,277
81,11,nested_tool,128,294
82,11,nested_cot,128,175
83,11,nested_assistant,128,172
84,12,outer_system,128,559
85,12,outer_user,128,559
86,12,outer_assistant,128,559
87,12,nested_user,128,692
88,12,nested_tool,128,709
89,12,nested_cot,128,590
90,12,nested_assistant,128,587
91,13,outer_system,128,224
