layer_ix,role,accuracy,n_test_tokens
0,system,0.15466915965513658,9627
0,user,0.0962799207196219,13118
0,tool,0.13250698324022347,17184
0,cot,0.20176249022812878,14071
0,assistant,0.11628780762727785,15969
4,system,0.28887503895294486,9627
4,user,0.1614575392590334,13118
4,tool,0.1702164804469274,17184
4,cot,0.49378153649349726,14071
4,assistant,0.20978145156240216,15969
8,system,0.1750285654928846,9627
8,user,0.0875895715810337,13118
8,tool,0.11277932960893855,17184
8,cot,0.26472887499111647,14071
8,assistant,0.09988101947523327,15969
12,system,0.17689830684533084,9627
12,user,0.1047415764598262,13118
12,tool,0.08612662942271881,17184
12,cot,0.17425911449079667,14071
12,assistant,0.055545118667418125,15969
16,system,0.36210657525708945,9627
16,user,0.16854703460893428,13118
16,tool,0.12406890130353818,17184
16,cot,0.20716366995949115,14071
16,assistant,0.07170142150416432,15969
20,system,0.4056299989612548,9627
20,user,0.22114651623723128,13118
20,tool,0.11720204841713222,17184
20,cot,0.2869732073058063,14071
20,assistant,0.0831611246790657,15969
24,system,0.5211384647346006,9627
24,user,0.26406464400060986,13118
24,tool,0.1424581005586592,17184
24,cot,0.3507213417667543,14071
24,assistant,0.12649508422568728,15969
28,system,0.47854991170665834,9627
28,user,0.19934441225796615,13118
28,tool,0.09706703910614525,17184
28,cot,0.2797242555610831,14071
28,assistant,0.08510238587262822,15969
32,system,0.48997610886049653,9627
32,user,0.18402195456624484,13118
32,tool,0.1007332402234637,17184
32,cot,0.2970648852249307,14071
32,assistant,0.08754461769678752,15969
36,system,0.49693570167237977,9627
36,user,0.1903491385881994,13118
36,tool,0.11376862197392924,17184
36,cot,0.2920190462653685,14071
36,assistant,0.09462082785396705,15969
40,system,0.5780617014646308,9627
40,user,0.2661228845860649,13118
40,tool,0.14594972067039105,17184
40,cot,0.4242768815293867,14071
40,assistant,0.14553196818836495,15969
44,system,0.6378934247429106,9627
44,user,0.2998170452812929,13118
44,tool,0.17463919925512103,17184
44,cot,0.5917845213559804,14071
44,assistant,0.18554699730728286,15969
48,system,0.6116131712890828,9627
48,user,0.32695532855618237,13118
48,tool,0.18319366852886407,17184
48,cot,0.5964039513893824,14071
48,assistant,0.20439601728348675,15969
52,system,0.5628960216059,9627
52,user,0.25674645525232503,13118
52,tool,0.11551443202979515,17184
52,cot,0.4793547011584109,14071
52,assistant,0.11591207965433027,15969
56,system,0.5455489768359821,9627
56,user,0.24836103064491538,13118
56,tool,0.12115921787709497,17184
56,cot,0.438703716864473,14071
56,assistant,0.10113344605172522,15969
60,system,0.5666355043107926,9627
60,user,0.27755755450525993,13118
60,tool,0.18965316573556798,17184
60,cot,0.5051524411911023,14071
60,assistant,0.1310038199010583,15969
