prompt_ix,split
943,train
604,train
503,train
633,train
1168,train
829,train
957,train
552,train
45,train
188,train
268,train
1050,train
314,train
713,train
724,train
1061,train
752,train
10,train
1013,train
906,train
348,train
404,train
274,train
140,train
1214,train
733,train
196,train
291,train
279,train
491,train
510,train
460,train
86,train
72,train
977,train
199,train
1215,train
1025,train
795,train
1006,train
1108,train
110,train
128,train
832,train
1163,train
627,train
536,train
773,train
643,train
325,train
1038,train
1172,train
855,train
14,train
269,train
226,train
1044,train
1077,train
927,train
341,train
509,train
308,train
761,train
737,train
579,train
824,train
180,train
339,train
1122,train
388,train
1232,train
473,train
520,train
396,train
587,train
842,train
1049,train
7,train
136,train
1118,train
311,train
288,train
1090,train
17,train
170,train
775,train
51,train
821,train
1046,train
62,train
264,train
334,train
232,train
343,train
182,train
1220,train
1147,train
115,train
1029,train
492,train
533,train
978,train
368,train
1100,train
758,train
995,train
247,train
26,train
235,train
84,train
763,train
442,train
567,train
107,train
213,train
620,train
1064,train
1140,train
1053,train
202,train
277,train
870,train
426,train
1043,train
1144,train
576,train
1159,train
1181,train
881,train
4,train
428,train
11,train
1068,train
991,train
167,train
787,train
882,train
1180,train
1026,train
1154,train
962,train
806,train
298,train
569,train
949,train
871,train
124,train
248,train
1130,train
424,train
1202,train
1217,train
727,train
659,train
178,train
1176,train
1135,train
994,train
553,train
776,train
440,train
103,train
963,train
899,train
895,train
88,train
46,train
1174,train
20,train
637,train
373,train
921,train
171,train
863,train
89,train
519,train
393,train
340,train
1098,train
295,train
974,train
1063,train
203,train
516,train
61,train
888,train
109,train
1158,train
522,train
285,train
259,train
1213,train
67,train
219,train
183,train
720,train
521,train
915,train
784,train
102,train
455,train
601,train
672,train
37,train
791,train
1237,train
13,train
411,train
1145,train
1239,train
1055,train
790,train
1222,train
551,train
674,train
376,train
92,train
63,train
1033,train
356,train
1234,train
132,train
555,train
415,train
299,train
155,train
1137,train
592,train
186,train
676,train
211,train
434,train
648,train
525,train
138,train
897,train
546,train
24,train
839,train
504,train
797,train
657,train
276,train
680,train
844,train
1212,train
419,train
1155,train
365,train
353,train
1197,train
987,train
57,train
174,train
371,train
769,train
31,train
986,train
1120,train
920,train
820,train
1247,train
930,train
70,train
362,train
550,train
1095,train
53,train
573,train
901,train
489,train
588,train
778,train
18,train
189,train
1228,train
1238,train
517,train
1031,train
231,train
559,train
481,train
612,train
65,train
1183,train
452,train
1161,train
134,train
466,train
1236,train
244,train
655,train
875,train
813,train
673,train
52,train
54,train
338,train
998,train
154,train
1198,train
1164,train
663,train
96,train
98,train
405,train
454,train
1002,train
1004,train
605,train
766,train
603,train
223,train
879,train
741,train
858,train
99,train
240,train
565,train
310,train
85,train
666,train
900,train
634,train
118,train
526,train
1188,train
409,train
1079,train
563,train
896,train
686,train
558,train
1091,train
938,train
746,train
482,train
304,train
1105,train
691,train
976,train
777,train
734,train
221,train
1030,train
40,train
999,train
912,train
29,train
748,train
22,train
309,train
1069,train
518,train
689,train
243,train
586,train
209,train
1071,train
76,train
487,train
1035,train
44,train
254,train
345,train
841,train
759,train
2,train
814,train
625,train
851,train
1058,train
935,train
617,train
702,train
967,train
894,train
318,train
472,train
331,train
616,train
471,train
193,train
330,train
719,train
260,train
437,train
907,train
8,train
1039,train
988,train
313,train
335,train
798,train
384,train
81,train
948,train
1010,train
735,train
458,train
1040,train
172,train
148,train
249,train
848,train
524,train
246,train
1206,train
602,train
872,train
101,train
1008,train
802,train
478,train
266,train
781,train
618,train
239,train
483,train
873,train
1151,train
306,train
610,train
157,train
830,train
891,train
756,train
422,train
168,train
1003,train
591,train
475,train
922,train
840,train
250,train
164,train
514,train
297,train
723,train
307,train
614,train
220,train
1127,train
410,train
292,train
501,train
323,train
596,train
919,train
374,train
290,train
289,train
547,train
77,train
794,train
238,train
650,train
383,train
187,train
133,train
163,train
74,train
1133,train
767,train
1190,train
815,train
621,train
403,train
652,train
468,train
736,train
908,train
83,train
1248,train
1074,train
1187,train
236,train
528,train
488,train
161,train
185,train
400,train
649,train
480,train
117,train
64,train
924,train
50,train
490,train
1045,train
685,train
1196,train
886,train
878,train
36,train
370,train
386,train
56,train
811,train
665,train
554,train
664,train
1076,train
160,train
104,train
670,train
898,train
1221,train
1231,train
753,train
1070,train
556,train
854,train
675,train
725,train
73,train
270,train
535,train
267,train
805,train
23,train
760,train
619,train
212,train
262,train
1036,train
377,train
5,train
1000,train
372,train
688,train
427,train
646,train
638,train
406,train
497,train
139,train
838,train
328,train
808,train
357,train
294,train
457,train
1169,train
1244,train
905,train
156,train
953,train
529,train
539,train
493,train
420,train
1116,train
589,train
1178,train
590,train
647,train
206,train
721,train
662,train
408,train
698,train
108,train
93,train
450,train
1182,train
1037,train
470,train
944,train
570,train
575,train
754,train
572,train
68,train
902,train
1156,train
1157,train
960,train
1243,train
1241,train
222,train
1018,train
768,train
1230,train
215,train
660,train
1203,train
1115,train
484,train
28,train
1094,train
989,train
981,train
1233,train
779,train
1106,train
917,train
743,train
1131,train
256,train
1134,train
389,train
