layer_ix,role,accuracy,n_heldout_tokens
0,system,1.0,9627
0,user,0.0,13118
0,tool,0.0,17184
0,cot,0.0,14071
0,assistant,0.0,15969
4,system,0.20058169730964995,9627
4,user,0.08103369416069522,13118
4,tool,0.06762104283054003,17184
4,cot,0.15379148603510767,14071
4,assistant,0.4315861982591271,15969
8,system,0.139815103355147,9627
8,user,0.056715962799207195,13118
8,tool,0.05016294227188082,17184
8,cot,0.14689787506218463,14071
8,assistant,0.30634354060993174,15969
12,system,0.9988573802846162,9627
12,user,7.623113279463333e-05,13118
12,tool,0.0012802607076350093,17184
12,cot,0.0,14071
12,assistant,0.0,15969
16,system,0.2817076971019009,9627
16,user,0.13271840219545664,13118
16,tool,0.07588454376163874,17184
16,cot,0.11896809039869234,14071
16,assistant,0.29814014653390947,15969
20,system,0.28970603510958765,9627
20,user,0.19499923768867206,13118
20,tool,0.08583566108007448,17184
20,cot,0.10980029848624831,14071
20,assistant,0.3174901371407101,15969
24,system,0.33676119247948477,9627
24,user,0.21459063881689283,13118
24,tool,0.08571927374301676,17184
24,cot,0.13900930992822116,14071
24,assistant,0.33828041831047656,15969
28,system,0.2701776254284824,9627
28,user,0.17853331300503125,13118
28,tool,0.06616620111731844,17184
28,cot,0.086347807547438,14071
28,assistant,0.2528649257937253,15969
32,system,0.28181157162148124,9627
32,user,0.17853331300503125,13118
32,tool,0.06639897579143389,17184
32,cot,0.0997796887214839,14071
32,assistant,0.3079716951593713,15969
36,system,0.2880440427963021,9627
36,user,0.19271230370483305,13118
36,tool,0.07716480446927375,17184
36,cot,0.11221661573448938,14071
36,assistant,0.3079716951593713,15969
40,system,0.40542224992209414,9627
40,user,0.24950449763683488,13118
40,tool,0.10992783985102421,17184
40,cot,0.1911022670741241,14071
40,assistant,0.549564781764669,15969
44,system,0.43533811156123403,9627
44,user,0.36789144686690045,13118
44,tool,0.14856843575418993,17184
44,cot,0.25179447089759077,14071
44,assistant,0.6831360761475358,15969
48,system,0.3671964267165264,9627
48,user,0.4587589571581034,13118
48,tool,0.13652234636871508,17184
48,cot,0.25485040153507216,14071
48,assistant,0.6578370593023984,15969
52,system,0.31858315155292405,9627
52,user,0.3917517914316207,13118
52,tool,0.08699953445065177,17184
52,cot,0.18761992751048256,14071
52,assistant,0.5495021604358444,15969
56,system,0.29614625532356914,9627
56,user,0.37688672053666716,13118
56,tool,0.09398277467411546,17184
56,cot,0.19330537985928506,14071
56,assistant,0.5637798234078527,15969
60,system,0.33852705931235066,9627
60,user,0.4080652538496722,13118
60,tool,0.14123603351955308,17184
60,cot,0.29237438703716867,14071
60,assistant,0.6468157054292692,15969
