layer_ix,accuracy,balanced_accuracy,nll,n_train_tokens,n_heldout_tokens
0,0.13758950392316596,0.2,1.6094497442245483,653387,69969
4,0.18882648029841786,0.186922823719024,1.691857099533081,653387,69969
8,0.14164844431105203,0.13998708481967026,1.846440076828003,653387,69969
12,0.13776100844659778,0.2000427744250092,1.6094387769699097,653387,69969
16,0.1742485958067144,0.1814837759983196,1.805167317390442,653387,69969
20,0.19204219011276422,0.1995662739010585,1.7324097156524658,653387,69969
24,0.21277994540439338,0.22287216665561843,1.711820125579834,653387,69969
28,0.161971730337721,0.17081797457839906,1.8713135719299316,653387,69969
32,0.17890780202661177,0.18689904885976033,1.8350262641906738,653387,69969
36,0.18756878045991796,0.1956218923728539,1.7701107263565063,653387,69969
40,0.2934156555045806,0.3011043272497493,1.6182860136032104,653387,69969
44,0.37190755906187023,0.3773457082454902,1.469404697418213,653387,69969
48,0.37145021366605213,0.37503303821616313,1.5470917224884033,653387,69969
52,0.30179079306550044,0.3068913130763047,1.7485493421554565,653387,69969
56,0.30203375780702885,0.3048201907602979,1.7954909801483154,653387,69969
60,0.364189855507439,0.36540368782960275,1.6869114637374878,653387,69969
