prompt_ix,base_sequence_ix,passage_ix,source,role,target_sha256,target_tokens,target_start_token_ix,rendered_tokens,filler_tokens,decoded_target_tokens_match
0,0,0,c4,system,f7f20980fd0062357390d6d0c4276422e559d2842dbeb7101a327dfb30c1667f,116,62,180,59,False
1,0,0,c4,user,f7f20980fd0062357390d6d0c4276422e559d2842dbeb7101a327dfb30c1667f,116,62,180,59,False
2,0,0,c4,tool,f7f20980fd0062357390d6d0c4276422e559d2842dbeb7101a327dfb30c1667f,116,64,183,59,False
3,0,0,c4,cot,f7f20980fd0062357390d6d0c4276422e559d2842dbeb7101a327dfb30c1667f,116,64,184,59,False
4,0,0,c4,assistant,f7f20980fd0062357390d6d0c4276422e559d2842dbeb7101a327dfb30c1667f,116,67,185,59,False
5,1,1,c4,system,f2323d79b1e3d156777bb7aebd18eba5b566db072db8e5e84d557a85aa497cba,420,58,480,55,False
6,1,1,c4,user,f2323d79b1e3d156777bb7aebd18eba5b566db072db8e5e84d557a85aa497cba,420,58,480,55,False
7,1,1,c4,tool,f2323d79b1e3d156777bb7aebd18eba5b566db072db8e5e84d557a85aa497cba,420,60,483,55,False
8,1,1,c4,cot,f2323d79b1e3d156777bb7aebd18eba5b566db072db8e5e84d557a85aa497cba,420,60,484,55,False
9,1,1,c4,assistant,f2323d79b1e3d156777bb7aebd18eba5b566db072db8e5e84d557a85aa497cba,420,63,485,55,False
10,2,2,c4,system,377dae4ac13703375bc20e5ca8314130b55742de0ebc3a3355c47b142516268f,190,20,212,17,False
11,2,2,c4,user,377dae4ac13703375bc20e5ca8314130b55742de0ebc3a3355c47b142516268f,190,20,212,17,False
12,2,2,c4,tool,377dae4ac13703375bc20e5ca8314130b55742de0ebc3a3355c47b142516268f,190,22,215,17,False
13,2,2,c4,cot,377dae4ac13703375bc20e5ca8314130b55742de0ebc3a3355c47b142516268f,190,22,216,17,False
14,2,2,c4,assistant,377dae4ac13703375bc20e5ca8314130b55742de0ebc3a3355c47b142516268f,190,25,217,17,False
15,3,3,c4,system,ae629ca5c6d1f2af99271292fbc53a820898d8b6b645c4a746c845abbe0ecedd,1024,3,1029,0,True
16,3,3,c4,user,ae629ca5c6d1f2af99271292fbc53a820898d8b6b645c4a746c845abbe0ecedd,1024,3,1029,0,True
17,3,3,c4,tool,ae629ca5c6d1f2af99271292fbc53a820898d8b6b645c4a746c845abbe0ecedd,1024,5,1033,0,True
18,3,3,c4,cot,ae629ca5c6d1f2af99271292fbc53a820898d8b6b645c4a746c845abbe0ecedd,1024,5,1034,0,True
19,3,3,c4,assistant,ae629ca5c6d1f2af99271292fbc53a820898d8b6b645c4a746c845abbe0ecedd,1024,7,1033,0,True
20,4,4,c4,system,f7e319923377bfd2361aab579e2e2c1b621c55c3f41467016db0adeae5282f80,59,4,65,1,False
21,4,4,c4,user,f7e319923377bfd2361aab579e2e2c1b621c55c3f41467016db0adeae5282f80,59,4,65,1,False
22,4,4,c4,tool,f7e319923377bfd2361aab579e2e2c1b621c55c3f41467016db0adeae5282f80,59,6,68,1,False
23,4,4,c4,cot,f7e319923377bfd2361aab579e2e2c1b621c55c3f41467016db0adeae5282f80,59,6,69,1,False
24,4,4,c4,assistant,f7e319923377bfd2361aab579e2e2c1b621c55c3f41467016db0adeae5282f80,59,9,70,1,False
25,5,5,c4,system,f9485d83ac0476549256a6eb0726b648f6daee8f748e7fee41f82ed25784fd77,134,60,196,57,False
26,5,5,c4,user,f9485d83ac0476549256a6eb0726b648f6daee8f748e7fee41f82ed25784fd77,134,60,196,57,False
27,5,5,c4,tool,f9485d83ac0476549256a6eb0726b648f6daee8f748e7fee41f82ed25784fd77,134,62,199,57,False
28,5,5,c4,cot,f9485d83ac0476549256a6eb0726b648f6daee8f748e7fee41f82ed25784fd77,134,62,200,57,False
29,5,5,c4,assistant,f9485d83ac0476549256a6eb0726b648f6daee8f748e7fee41f82ed25784fd77,134,65,201,57,False
30,6,6,c4,system,49bae8550f7b7919ea8743c1eee21893fd54c9018edb3eedc2cab4b81c7eaf2f,629,138,769,135,False
31,6,6,c4,user,49bae8550f7b7919ea8743c1eee21893fd54c9018edb3eedc2cab4b81c7eaf2f,629,138,769,135,False
32,6,6,c4,tool,49bae8550f7b7919ea8743c1eee21893fd54c9018edb3eedc2cab4b81c7eaf2f,629,140,772,135,False
33,6,6,c4,cot,49bae8550f7b7919ea8743c1eee21893fd54c9018edb3eedc2cab4b81c7eaf2f,629,140,773,135,False
34,6,6,c4,assistant,49bae8550f7b7919ea8743c1eee21893fd54c9018edb3eedc2cab4b81c7eaf2f,629,143,774,135,False
35,7,7,c4,system,85797624f545aca044c9455b8d541a17edacbbde08e7675b18a59bb104846858,126,37,165,34,False
36,7,7,c4,user,85797624f545aca044c9455b8d541a17edacbbde08e7675b18a59bb104846858,126,37,165,34,False
37,7,7,c4,tool,85797624f545aca044c9455b8d541a17edacbbde08e7675b18a59bb104846858,127,39,169,34,False
38,7,7,c4,cot,85797624f545aca044c9455b8d541a17edacbbde08e7675b18a59bb104846858,127,39,170,34,False
39,7,7,c4,assistant,85797624f545aca044c9455b8d541a17edacbbde08e7675b18a59bb104846858,126,42,170,34,False
40,8,8,c4,system,38133e7407abd79a7c32dadc80f1e1d85b127ac5094eb3090c0101155eef953d,874,18,894,15,False
41,8,8,c4,user,38133e7407abd79a7c32dadc80f1e1d85b127ac5094eb3090c0101155eef953d,874,18,894,15,False
42,8,8,c4,tool,38133e7407abd79a7c32dadc80f1e1d85b127ac5094eb3090c0101155eef953d,874,20,897,15,False
43,8,8,c4,cot,38133e7407abd79a7c32dadc80f1e1d85b127ac5094eb3090c0101155eef953d,874,20,898,15,False
44,8,8,c4,assistant,38133e7407abd79a7c32dadc80f1e1d85b127ac5094eb3090c0101155eef953d,874,23,899,15,False
45,9,9,c4,system,0d83f13241b0161935e3679371962d10e6a41c7878e8c8e1f8b8bbc613dd061f,324,38,364,35,False
46,9,9,c4,user,0d83f13241b0161935e3679371962d10e6a41c7878e8c8e1f8b8bbc613dd061f,324,38,364,35,False
47,9,9,c4,tool,0d83f13241b0161935e3679371962d10e6a41c7878e8c8e1f8b8bbc613dd061f,324,40,367,35,False
48,9,9,c4,cot,0d83f13241b0161935e3679371962d10e6a41c7878e8c8e1f8b8bbc613dd061f,324,40,368,35,False
49,9,9,c4,assistant,0d83f13241b0161935e3679371962d10e6a41c7878e8c8e1f8b8bbc613dd061f,324,43,369,35,False
50,10,10,c4,system,10f138f8248f8d054a616df6a32cda97785573e4b96679e8332b20d0d3158c2a,570,18,590,15,False
51,10,10,c4,user,10f138f8248f8d054a616df6a32cda97785573e4b96679e8332b20d0d3158c2a,570,18,590,15,False
52,10,10,c4,tool,10f138f8248f8d054a616df6a32cda97785573e4b96679e8332b20d0d3158c2a,570,20,593,15,False
