layer_ix,role,accuracy,n_heldout_tokens
0,user,0.1658877189030914,17759
0,assistant,0.3563533544683403,11671
0,tool,0.16473022441508833,12566
4,user,0.2527732417365843,17759
4,assistant,0.548110701739354,11671
4,tool,0.1708578704440554,12566
8,user,0.1500647558984177,17759
8,assistant,0.3563533544683403,11671
8,tool,0.09318796753143403,12566
12,user,0.11458978546089307,17759
12,assistant,0.2811241538856996,11671
12,tool,0.081410154384848,12566
16,user,0.12174108902528295,17759
16,assistant,0.41333219090052264,11671
16,tool,0.08045519656215183,12566
20,user,0.1489385663607185,17759
20,assistant,0.5591637391825893,11671
20,tool,0.07663536527136718,12566
24,user,0.14527845036319612,17759
24,assistant,0.6096307085939509,11671
24,tool,0.0703485596052841,12566
28,user,0.11768680668956585,17759
28,assistant,0.5220632336560707,11671
28,tool,0.04090402673881904,12566
32,user,0.11774311616645082,17759
32,assistant,0.5225773284208722,11671
32,tool,0.041620245105841155,12566
36,user,0.12613322822230982,17759
36,assistant,0.5505098106417616,11671
36,tool,0.053557217889543214,12566
40,user,0.1746719972971451,17759
40,assistant,0.5974637991603119,11671
40,tool,0.1110934267069871,12566
44,user,0.28498226251478126,17759
44,assistant,0.6466455316596693,11671
44,tool,0.18693299379277414,12566
48,user,0.3353792443268202,17759
48,assistant,0.6487019107188758,11671
48,tool,0.19202610218048702,12566
52,user,0.2794639337800552,17759
52,assistant,0.5707308713906264,11671
52,tool,0.12939678497533025,12566
56,user,0.29371023143195,17759
56,assistant,0.5637049096050039,11671
56,tool,0.12589527295877764,12566
60,user,0.3451770933048032,17759
60,assistant,0.6367920486676377,11671
60,tool,0.18351106159477956,12566
