layer_ix,accuracy,balanced_accuracy,nll,n_train_tokens,n_heldout_tokens
0,0.2184731879226593,0.2289904325955067,1.2916345596313477,368068,41996
4,0.3103390799123726,0.32391393797333123,1.2632842063903809,368068,41996
8,0.1903752738356034,0.19986869263273066,1.4929627180099487,368068,41996
12,0.15094294694732832,0.1590413645771469,1.4309792518615723,368068,41996
16,0.19042289741880178,0.20517615882931914,1.4358056783676147,368068,41996
20,0.24130869606629202,0.26157922360489166,1.3398131132125854,368068,41996
24,0.251904943327936,0.275085906187477,1.3536897897720337,368068,41996
28,0.20709115153824173,0.22688468902815184,1.469758152961731,368068,41996
32,0.20747214020382893,0.22731356323105475,1.4658888578414917,368068,41996
36,0.2223545099533289,0.2434000855845382,1.3996610641479492,368068,41996
40,0.2731450614344223,0.2944097410548147,1.3691389560699463,368068,41996
44,0.35615296694923326,0.3728535959890749,1.2106345891952515,368068,41996
48,0.37955995809124676,0.3920357524087277,1.2458263635635376,368068,41996
52,0.315506238689399,0.3265305300486706,1.405595064163208,368068,41996
56,0.3185303362224974,0.3277701379985772,1.4689615964889526,368068,41996
60,0.37784550909610437,0.3884934011890735,1.3703148365020752,368068,41996
