activation_site,layer,comparison,angle_index,angle_degrees
pre_mlp,8,persona_pc1_pc3_vs_role_probe_subspace,0,85.59763755624797
pre_mlp,8,assistant_axis_vs_role_probe_subspace,0,86.15126626588061
pre_mlp,10,persona_pc1_pc3_vs_role_probe_subspace,0,86.60960897862194
pre_mlp,10,assistant_axis_vs_role_probe_subspace,0,87.1272669082377
pre_mlp,12,persona_pc1_pc3_vs_role_probe_subspace,0,86.00170159549096
pre_mlp,12,persona_pc1_pc3_vs_role_probe_subspace,1,88.48628110240024
pre_mlp,12,persona_pc1_pc3_vs_role_probe_subspace,2,89.51479292704018
pre_mlp,12,assistant_axis_vs_role_probe_subspace,0,86.73684936156762
pre_mlp,14,persona_pc1_pc3_vs_role_probe_subspace,0,85.33065637845635
pre_mlp,14,assistant_axis_vs_role_probe_subspace,0,84.61582720770218
pre_mlp,16,persona_pc1_pc3_vs_role_probe_subspace,0,83.70767155990603
pre_mlp,16,persona_pc1_pc3_vs_role_probe_subspace,1,88.30068714667665
pre_mlp,16,persona_pc1_pc3_vs_role_probe_subspace,2,89.07820921695306
pre_mlp,16,assistant_axis_vs_role_probe_subspace,0,82.97973942934185
pre_mlp,18,persona_pc1_pc3_vs_role_probe_subspace,0,82.48829625153682
pre_mlp,18,assistant_axis_vs_role_probe_subspace,0,82.41116383733456
block_output,8,persona_pc1_pc3_vs_role_probe_subspace,0,88.4124725239415
block_output,8,assistant_axis_vs_role_probe_subspace,0,88.70887664549586
block_output,10,persona_pc1_pc3_vs_role_probe_subspace,0,87.84501356623471
block_output,10,assistant_axis_vs_role_probe_subspace,0,88.55199347182466
block_output,12,persona_pc1_pc3_vs_role_probe_subspace,0,86.52926579035554
block_output,12,persona_pc1_pc3_vs_role_probe_subspace,1,87.93710088584913
block_output,12,persona_pc1_pc3_vs_role_probe_subspace,2,89.48182221052969
block_output,12,assistant_axis_vs_role_probe_subspace,0,87.74362285278427
block_output,14,persona_pc1_pc3_vs_role_probe_subspace,0,85.76586463977353
block_output,14,assistant_axis_vs_role_probe_subspace,0,86.03771294192495
block_output,16,persona_pc1_pc3_vs_role_probe_subspace,0,84.11532809143617
block_output,16,persona_pc1_pc3_vs_role_probe_subspace,1,88.26846478324308
block_output,16,persona_pc1_pc3_vs_role_probe_subspace,2,89.5045608026965
block_output,16,assistant_axis_vs_role_probe_subspace,0,84.30026615788017
block_output,18,persona_pc1_pc3_vs_role_probe_subspace,0,84.49793365785125
block_output,18,assistant_axis_vs_role_probe_subspace,0,84.22377421021449
