activation_site,layer,persona,family,condition,axis_projection
pre_mlp,8,anarchist,spiritual_adversarial,persona,1.9848477576909498
pre_mlp,8,comedian,theatrical_fictional,persona,-5.04554790417014
pre_mlp,8,consultant,helpful_professional,persona,0.81352992852903
pre_mlp,8,devils_advocate,spiritual_adversarial,persona,-0.605707496939091
pre_mlp,8,engineer,ordinary_occupation,persona,1.7432168337743845
pre_mlp,8,genie,theatrical_fictional,persona,-3.3422511148437364
pre_mlp,8,librarian,ordinary_occupation,persona,0.1104100757626812
pre_mlp,8,mystic,spiritual_adversarial,persona,-1.5610766174458144
pre_mlp,8,pirate,theatrical_fictional,persona,-1.322507800763038
pre_mlp,8,tutor,helpful_professional,persona,2.1388739032012714
pre_mlp,8,default_assistant,default,default,4.835322862810047
pre_mlp,9,anarchist,spiritual_adversarial,persona,3.281213988602051
pre_mlp,9,comedian,theatrical_fictional,persona,-5.386237132397958
pre_mlp,9,consultant,helpful_professional,persona,0.8608844820319641
pre_mlp,9,devils_advocate,spiritual_adversarial,persona,-0.03302794620405357
pre_mlp,9,engineer,ordinary_occupation,persona,2.154085878362175
pre_mlp,9,genie,theatrical_fictional,persona,-2.5313099519544053
pre_mlp,9,librarian,ordinary_occupation,persona,-0.02627262301214711
pre_mlp,9,mystic,spiritual_adversarial,persona,-1.2691020892753944
pre_mlp,9,pirate,theatrical_fictional,persona,-0.4493922576037346
pre_mlp,9,tutor,helpful_professional,persona,3.275319802599582
pre_mlp,9,default_assistant,default,default,6.312399440362654
pre_mlp,10,anarchist,spiritual_adversarial,persona,3.945350933068657
pre_mlp,10,comedian,theatrical_fictional,persona,-5.583982548816245
pre_mlp,10,consultant,helpful_professional,persona,0.23315199104470052
pre_mlp,10,devils_advocate,spiritual_adversarial,persona,0.27212643026916894
pre_mlp,10,engineer,ordinary_occupation,persona,2.3266237455760637
pre_mlp,10,genie,theatrical_fictional,persona,-1.99356849323012
pre_mlp,10,librarian,ordinary_occupation,persona,-0.16344513683459658
pre_mlp,10,mystic,spiritual_adversarial,persona,-1.0429299630132804
pre_mlp,10,pirate,theatrical_fictional,persona,0.5602623204153278
pre_mlp,10,tutor,helpful_professional,persona,3.6276117486275146
pre_mlp,10,default_assistant,default,default,6.948284959389227
pre_mlp,11,anarchist,spiritual_adversarial,persona,3.9243367161306013
pre_mlp,11,comedian,theatrical_fictional,persona,-5.8036799695283765
pre_mlp,11,consultant,helpful_professional,persona,0.05092291112398241
pre_mlp,11,devils_advocate,spiritual_adversarial,persona,0.3832332390823926
pre_mlp,11,engineer,ordinary_occupation,persona,2.190507657388422
pre_mlp,11,genie,theatrical_fictional,persona,-2.0106111975875876
pre_mlp,11,librarian,ordinary_occupation,persona,-0.5300890611057039
pre_mlp,11,mystic,spiritual_adversarial,persona,-1.4447774690943465
pre_mlp,11,pirate,theatrical_fictional,persona,0.5732058097854492
pre_mlp,11,tutor,helpful_professional,persona,4.078259333115776
pre_mlp,11,default_assistant,default,default,7.47452915927033
pre_mlp,12,anarchist,spiritual_adversarial,persona,3.983154231007075
pre_mlp,12,comedian,theatrical_fictional,persona,-6.90436499184429
pre_mlp,12,consultant,helpful_professional,persona,0.40926927731030827
pre_mlp,12,devils_advocate,spiritual_adversarial,persona,0.32483820001253194
pre_mlp,12,engineer,ordinary_occupation,persona,2.69899120794743
pre_mlp,12,genie,theatrical_fictional,persona,-2.257996365118032
pre_mlp,12,librarian,ordinary_occupation,persona,-0.30307755876592335
pre_mlp,12,mystic,spiritual_adversarial,persona,-1.385184065395324
pre_mlp,12,pirate,theatrical_fictional,persona,0.7714780547725731
pre_mlp,12,tutor,helpful_professional,persona,4.527282862112248
pre_mlp,12,default_assistant,default,default,8.314697689033679
pre_mlp,13,anarchist,spiritual_adversarial,persona,3.051498525639481
pre_mlp,13,comedian,theatrical_fictional,persona,-7.581322051828206
pre_mlp,13,consultant,helpful_professional,persona,0.8609727100966575
pre_mlp,13,devils_advocate,spiritual_adversarial,persona,0.028581916712064365
pre_mlp,13,engineer,ordinary_occupation,persona,2.970307486340463
pre_mlp,13,genie,theatrical_fictional,persona,-3.289067881286883
pre_mlp,13,librarian,ordinary_occupation,persona,-0.08144250152001353
pre_mlp,13,mystic,spiritual_adversarial,persona,-2.163666451511218
pre_mlp,13,pirate,theatrical_fictional,persona,-0.255462005241226
pre_mlp,13,tutor,helpful_professional,persona,4.643890785492056
pre_mlp,13,default_assistant,default,default,8.564770600447197
pre_mlp,14,anarchist,spiritual_adversarial,persona,2.2412994863970663
pre_mlp,14,comedian,theatrical_fictional,persona,-8.479749786861566
pre_mlp,14,consultant,helpful_professional,persona,2.05594242475736
pre_mlp,14,devils_advocate,spiritual_adversarial,persona,-0.5953686849140565
pre_mlp,14,engineer,ordinary_occupation,persona,3.4244214823793038
pre_mlp,14,genie,theatrical_fictional,persona,-4.515720157312034
pre_mlp,14,librarian,ordinary_occupation,persona,0.2384385036656424
pre_mlp,14,mystic,spiritual_adversarial,persona,-2.983243151094184
pre_mlp,14,pirate,theatrical_fictional,persona,-1.3154908057013066
pre_mlp,14,tutor,helpful_professional,persona,4.504895988803202
pre_mlp,14,default_assistant,default,default,8.765573923032713
pre_mlp,15,anarchist,spiritual_adversarial,persona,1.3869931917578784
pre_mlp,15,comedian,theatrical_fictional,persona,-9.56640732978575
pre_mlp,15,consultant,helpful_professional,persona,2.1865462626475383
pre_mlp,15,devils_advocate,spiritual_adversarial,persona,-1.2891696029517046
pre_mlp,15,engineer,ordinary_occupation,persona,3.048313279197193
pre_mlp,15,genie,theatrical_fictional,persona,-5.8982868463410965
pre_mlp,15,librarian,ordinary_occupation,persona,-0.34877932391562316
pre_mlp,15,mystic,spiritual_adversarial,persona,-3.7525497803186756
pre_mlp,15,pirate,theatrical_fictional,persona,-2.686643215502171
pre_mlp,15,tutor,helpful_professional,persona,3.9533962928677826
pre_mlp,15,default_assistant,default,default,8.363089788958177
pre_mlp,16,anarchist,spiritual_adversarial,persona,1.9796442686985316
pre_mlp,16,comedian,theatrical_fictional,persona,-8.459072417407777
pre_mlp,16,consultant,helpful_professional,persona,2.563551749516587
pre_mlp,16,devils_advocate,spiritual_adversarial,persona,-0.7726955255450049
pre_mlp,16,engineer,ordinary_occupation,persona,3.514561627599391
pre_mlp,16,genie,theatrical_fictional,persona,-5.048148625044831
pre_mlp,16,librarian,ordinary_occupation,persona,0.33373059579517605
pre_mlp,16,mystic,spiritual_adversarial,persona,-3.004816860689333
pre_mlp,16,pirate,theatrical_fictional,persona,-2.1010124686260956
pre_mlp,16,tutor,helpful_professional,persona,4.077920024150643
pre_mlp,16,default_assistant,default,default,8.299460113536798
pre_mlp,17,anarchist,spiritual_adversarial,persona,1.6956723744294209
pre_mlp,17,comedian,theatrical_fictional,persona,-9.330603836590155
pre_mlp,17,consultant,helpful_professional,persona,2.9736312761911208
pre_mlp,17,devils_advocate,spiritual_adversarial,persona,-1.1419243219527861
pre_mlp,17,engineer,ordinary_occupation,persona,3.4922150903806526
pre_mlp,17,genie,theatrical_fictional,persona,-6.616246328043967
pre_mlp,17,librarian,ordinary_occupation,persona,0.2993152188491575
pre_mlp,17,mystic,spiritual_adversarial,persona,-4.19228803480538
pre_mlp,17,pirate,theatrical_fictional,persona,-3.8803969782271075
pre_mlp,17,tutor,helpful_professional,persona,4.123527681517272
pre_mlp,17,default_assistant,default,default,8.39165452468318
pre_mlp,18,anarchist,spiritual_adversarial,persona,1.327273419894957
pre_mlp,18,comedian,theatrical_fictional,persona,-10.398227260599068
pre_mlp,18,consultant,helpful_professional,persona,2.9543806916417688
pre_mlp,18,devils_advocate,spiritual_adversarial,persona,-1.952207823891222
pre_mlp,18,engineer,ordinary_occupation,persona,3.2866717391906635
