activation_site,layer,metric,held_out,value
pre_mlp,8,leave_one_persona_out_cosine,anarchist,0.9866251645959214
pre_mlp,8,leave_one_persona_out_cosine,comedian,0.9849859084025436
pre_mlp,8,leave_one_persona_out_cosine,consultant,0.9886690496917416
pre_mlp,8,leave_one_persona_out_cosine,devils_advocate,0.9920742526211781
pre_mlp,8,leave_one_persona_out_cosine,engineer,0.991974083977451
pre_mlp,8,leave_one_persona_out_cosine,genie,0.9927780674491741
pre_mlp,8,leave_one_persona_out_cosine,librarian,0.9924353571756078
pre_mlp,8,leave_one_persona_out_cosine,mystic,0.9912273540079432
pre_mlp,8,leave_one_persona_out_cosine,pirate,0.9946781388131293
pre_mlp,8,leave_one_persona_out_cosine,tutor,0.9969922021837937
pre_mlp,8,split_half_question_cosine,q0_vs_q5,0.33935649575403004
pre_mlp,9,leave_one_persona_out_cosine,anarchist,0.9823758141297636
pre_mlp,9,leave_one_persona_out_cosine,comedian,0.9852010737806053
pre_mlp,9,leave_one_persona_out_cosine,consultant,0.9865811152354457
pre_mlp,9,leave_one_persona_out_cosine,devils_advocate,0.9921420053974502
pre_mlp,9,leave_one_persona_out_cosine,engineer,0.9899112528177952
pre_mlp,9,leave_one_persona_out_cosine,genie,0.9924412615152469
pre_mlp,9,leave_one_persona_out_cosine,librarian,0.9906395398176266
pre_mlp,9,leave_one_persona_out_cosine,mystic,0.9895775586965033
pre_mlp,9,leave_one_persona_out_cosine,pirate,0.9939896262400276
pre_mlp,9,leave_one_persona_out_cosine,tutor,0.9970825867229196
pre_mlp,9,split_half_question_cosine,q0_vs_q5,0.3035724825362307
pre_mlp,10,leave_one_persona_out_cosine,anarchist,0.9818844443821523
pre_mlp,10,leave_one_persona_out_cosine,comedian,0.9846067111960041
pre_mlp,10,leave_one_persona_out_cosine,consultant,0.9860223629587194
pre_mlp,10,leave_one_persona_out_cosine,devils_advocate,0.9918146916610414
pre_mlp,10,leave_one_persona_out_cosine,engineer,0.9893654961180907
pre_mlp,10,leave_one_persona_out_cosine,genie,0.9927578215359547
pre_mlp,10,leave_one_persona_out_cosine,librarian,0.9898672222891385
pre_mlp,10,leave_one_persona_out_cosine,mystic,0.9883610185506929
pre_mlp,10,leave_one_persona_out_cosine,pirate,0.9938923818101747
pre_mlp,10,leave_one_persona_out_cosine,tutor,0.9968961176784745
pre_mlp,10,split_half_question_cosine,q0_vs_q5,0.25135282785205654
pre_mlp,11,leave_one_persona_out_cosine,anarchist,0.9802190309157797
pre_mlp,11,leave_one_persona_out_cosine,comedian,0.9849832505940516
pre_mlp,11,leave_one_persona_out_cosine,consultant,0.9861563087924445
pre_mlp,11,leave_one_persona_out_cosine,devils_advocate,0.992148809847839
pre_mlp,11,leave_one_persona_out_cosine,engineer,0.9896636353406423
pre_mlp,11,leave_one_persona_out_cosine,genie,0.9932373848982351
pre_mlp,11,leave_one_persona_out_cosine,librarian,0.9893934652710586
pre_mlp,11,leave_one_persona_out_cosine,mystic,0.9880521657841898
pre_mlp,11,leave_one_persona_out_cosine,pirate,0.9940986467319484
pre_mlp,11,leave_one_persona_out_cosine,tutor,0.9971323675005428
pre_mlp,11,split_half_question_cosine,q0_vs_q5,0.2550160480295756
pre_mlp,12,leave_one_persona_out_cosine,anarchist,0.9811663110060459
pre_mlp,12,leave_one_persona_out_cosine,comedian,0.9845652366620564
pre_mlp,12,leave_one_persona_out_cosine,consultant,0.9863708846711268
pre_mlp,12,leave_one_persona_out_cosine,devils_advocate,0.9919529529949378
pre_mlp,12,leave_one_persona_out_cosine,engineer,0.9899400693570544
pre_mlp,12,leave_one_persona_out_cosine,genie,0.9931777429550451
pre_mlp,12,leave_one_persona_out_cosine,librarian,0.9897320729335631
pre_mlp,12,leave_one_persona_out_cosine,mystic,0.988788381835759
pre_mlp,12,leave_one_persona_out_cosine,pirate,0.9942350857280221
pre_mlp,12,leave_one_persona_out_cosine,tutor,0.9971626005793129
pre_mlp,12,split_half_question_cosine,q0_vs_q5,0.26825758225238705
pre_mlp,13,leave_one_persona_out_cosine,anarchist,0.9812443063729843
pre_mlp,13,leave_one_persona_out_cosine,comedian,0.9844863469111099
pre_mlp,13,leave_one_persona_out_cosine,consultant,0.9864456437314588
pre_mlp,13,leave_one_persona_out_cosine,devils_advocate,0.9918375216516285
pre_mlp,13,leave_one_persona_out_cosine,engineer,0.9906967996891399
pre_mlp,13,leave_one_persona_out_cosine,genie,0.9930571319308263
pre_mlp,13,leave_one_persona_out_cosine,librarian,0.9904615908798047
pre_mlp,13,leave_one_persona_out_cosine,mystic,0.9886014614123977
pre_mlp,13,leave_one_persona_out_cosine,pirate,0.993551676725285
pre_mlp,13,leave_one_persona_out_cosine,tutor,0.99710027939854
pre_mlp,13,split_half_question_cosine,q0_vs_q5,0.30283023354309624
pre_mlp,14,leave_one_persona_out_cosine,anarchist,0.9830619260411367
pre_mlp,14,leave_one_persona_out_cosine,comedian,0.9850365511669249
pre_mlp,14,leave_one_persona_out_cosine,consultant,0.9876683296231097
pre_mlp,14,leave_one_persona_out_cosine,devils_advocate,0.9919308250025771
pre_mlp,14,leave_one_persona_out_cosine,engineer,0.9918478546303429
pre_mlp,14,leave_one_persona_out_cosine,genie,0.9933202372169797
pre_mlp,14,leave_one_persona_out_cosine,librarian,0.991272302804637
pre_mlp,14,leave_one_persona_out_cosine,mystic,0.9894915933441175
pre_mlp,14,leave_one_persona_out_cosine,pirate,0.9941327057126498
pre_mlp,14,leave_one_persona_out_cosine,tutor,0.9971752266207046
pre_mlp,14,split_half_question_cosine,q0_vs_q5,0.3506496234358128
pre_mlp,15,leave_one_persona_out_cosine,anarchist,0.9850282786294116
pre_mlp,15,leave_one_persona_out_cosine,comedian,0.9851734134564986
pre_mlp,15,leave_one_persona_out_cosine,consultant,0.9892466737998951
pre_mlp,15,leave_one_persona_out_cosine,devils_advocate,0.9920268751821127
pre_mlp,15,leave_one_persona_out_cosine,engineer,0.9927974576151664
pre_mlp,15,leave_one_persona_out_cosine,genie,0.9935225513893222
pre_mlp,15,leave_one_persona_out_cosine,librarian,0.9923234920817643
pre_mlp,15,leave_one_persona_out_cosine,mystic,0.990489066102741
pre_mlp,15,leave_one_persona_out_cosine,pirate,0.9940695961450307
pre_mlp,15,leave_one_persona_out_cosine,tutor,0.9972496258920378
pre_mlp,15,split_half_question_cosine,q0_vs_q5,0.3959135298050032
pre_mlp,16,leave_one_persona_out_cosine,anarchist,0.985177102926326
pre_mlp,16,leave_one_persona_out_cosine,comedian,0.9840071096557195
pre_mlp,16,leave_one_persona_out_cosine,consultant,0.9882926448083466
pre_mlp,16,leave_one_persona_out_cosine,devils_advocate,0.9918671280632342
pre_mlp,16,leave_one_persona_out_cosine,engineer,0.9922706694319093
pre_mlp,16,leave_one_persona_out_cosine,genie,0.9934164527190902
pre_mlp,16,leave_one_persona_out_cosine,librarian,0.9920184499804067
pre_mlp,16,leave_one_persona_out_cosine,mystic,0.9901741233265696
pre_mlp,16,leave_one_persona_out_cosine,pirate,0.9940814970420003
pre_mlp,16,leave_one_persona_out_cosine,tutor,0.9968871176515676
pre_mlp,16,split_half_question_cosine,q0_vs_q5,0.36512775839252537
pre_mlp,17,leave_one_persona_out_cosine,anarchist,0.9854904927120993
pre_mlp,17,leave_one_persona_out_cosine,comedian,0.9848349334366435
pre_mlp,17,leave_one_persona_out_cosine,consultant,0.9889018927944752
pre_mlp,17,leave_one_persona_out_cosine,devils_advocate,0.9925195612354353
pre_mlp,17,leave_one_persona_out_cosine,engineer,0.9928075984009378
pre_mlp,17,leave_one_persona_out_cosine,genie,0.992992104203682
pre_mlp,17,leave_one_persona_out_cosine,librarian,0.9924950787408926
pre_mlp,17,leave_one_persona_out_cosine,mystic,0.9888438125925392
pre_mlp,17,leave_one_persona_out_cosine,pirate,0.9919561047333225
pre_mlp,17,leave_one_persona_out_cosine,tutor,0.9971546135274263
pre_mlp,17,split_half_question_cosine,q0_vs_q5,0.4074246204986987
pre_mlp,18,leave_one_persona_out_cosine,anarchist,0.9870474577877932
pre_mlp,18,leave_one_persona_out_cosine,comedian,0.9846645982382894
pre_mlp,18,leave_one_persona_out_cosine,consultant,0.9900956140551357
pre_mlp,18,leave_one_persona_out_cosine,devils_advocate,0.9931582756313314
pre_mlp,18,leave_one_persona_out_cosine,engineer,0.9932428768919458
pre_mlp,18,leave_one_persona_out_cosine,genie,0.9930052638730728
pre_mlp,18,leave_one_persona_out_cosine,librarian,0.9930016800667818
pre_mlp,18,leave_one_persona_out_cosine,mystic,0.9889498612076018
pre_mlp,18,leave_one_persona_out_cosine,pirate,0.9924626513196394
pre_mlp,18,leave_one_persona_out_cosine,tutor,0.997422750011634
pre_mlp,18,split_half_question_cosine,q0_vs_q5,0.4308805655804294
pre_mlp,19,leave_one_persona_out_cosine,anarchist,0.9860489446117698
pre_mlp,19,leave_one_persona_out_cosine,comedian,0.9830732451897577
pre_mlp,19,leave_one_persona_out_cosine,consultant,0.9896078607560056
pre_mlp,19,leave_one_persona_out_cosine,devils_advocate,0.9930692031870263
pre_mlp,19,leave_one_persona_out_cosine,engineer,0.9926504166702725
pre_mlp,19,leave_one_persona_out_cosine,genie,0.9923526512793265
pre_mlp,19,leave_one_persona_out_cosine,librarian,0.9921460645975398
pre_mlp,19,leave_one_persona_out_cosine,mystic,0.9871423067066019
pre_mlp,19,leave_one_persona_out_cosine,pirate,0.9894913922938152
pre_mlp,19,leave_one_persona_out_cosine,tutor,0.9972671879118082
